Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.19281,[292  15] ; [6 4],[288.59936909  18.40063091] ; [9.40063091 0.59936909],1
r3,1,2.8e-05,17.54229,[296  10] ; [7 3],[293.41139241  12.58860759] ; [9.58860759 0.41139241],1
n6,1,5.1e-05,16.414564,[275  29] ; [5 5],[271.08280255  32.91719745] ; [8.91719745 1.08280255],1
p9,1,0.001897,9.646262,[277  29] ; [6 4],[274.0443038  31.9556962] ; [8.9556962 1.0443038],0
r1,1,0.008416,6.94265,[254  53] ; [5 5],[250.829653  56.170347] ; [8.170347 1.829653],0
a5,1,0.01115,6.441235,[232  75] ; [4 6],[228.55520505  78.44479495] ; [7.44479495 2.55520505],0
a3,1,0.015418,5.868107,[227  78] ; [4 6],[223.66666667  81.33333333] ; [7.33333333 2.66666667],0
s8,1,0.020245,5.390638,[174 131] ; [2 8],[170.41269841 134.58730159] ; [5.58730159 4.41269841],0
d1,1,0.024209,5.079572,[199 108] ; [3 7],[195.62776025 111.37223975] ; [6.37223975 3.62776025],0
n3,1,0.035195,4.435683,[46 16] ; [1 3],[44.15151515 17.84848485] ; [2.84848485 1.15151515],0
n4,1,0.044982,4.019331,[258  49] ; [6 4],[255.67192429  51.32807571] ; [8.32807571 1.67192429],0
s3,1,0.057651,3.603713,[183 122] ; [3 7],[180.0952381 124.9047619] ; [5.9047619 4.0952381],0
b1,1,0.067833,3.334686,[126 181] ; [7 3],[128.8044164 178.1955836] ; [4.1955836 5.8044164],0
s6,1,0.075511,3.158967,[225  75] ; [5 5],[222.58064516  77.41935484] ; [7.41935484 2.58064516],0
s4,1,0.131059,2.279913,[ 61 240] ; [4 6],[ 62.90996785 238.09003215] ; [2.09003215 7.90996785],0
p10,1,0.161162,1.963288,[262  43] ; [7 3],[260.46031746  44.53968254] ; [8.53968254 1.46031746],0
d2,1,0.165197,1.925996,[160 146] ; [3 7],[157.84177215 148.15822785] ; [5.15822785 4.84177215],0
a4,1,0.191628,1.705057,[156 150] ; [3 7],[153.96835443 152.03164557] ; [5.03164557 4.96835443],0
b4,1,0.222965,1.485183,[182 125] ; [4 6],[180.13249211 126.86750789] ; [5.86750789 4.13249211],0
a2,1,0.251878,1.312858,[ 80 227] ; [1 9],[ 78.44479495 228.55520505] ; [2.55520505 7.44479495],0
u2,1,0.256971,1.285001,[48 32] ; [5 1],[49.30232558 30.69767442] ; [3.69767442 2.30232558],0
n2,1,0.322026,0.980698,[46 17] ; [2 2],[45.13432836 17.86567164] ; [2.86567164 1.13432836],0
