Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,8e-06,19.922095,[17 30] ; [67 22],[29.02941176 17.97058824] ; [54.97058824 34.02941176],1
d3,1,4.5e-05,16.636112,[20 27] ; [69 20],[30.75735294 16.24264706] ; [58.24264706 30.75735294],1
a2,1,0.000408,12.496614,[ 3 44] ; [30 59],[11.40441176 35.59558824] ; [21.59558824 67.40441176],1
b5,1,0.00289,8.875926,[21 26] ; [63 26],[29.02941176 17.97058824] ; [54.97058824 34.02941176],0
u1,1,0.00291,8.862767,[ 2 45] ; [22 67],[ 8.29411765 38.70588235] ; [15.70588235 73.29411765],0
d1,1,0.040513,4.196287,[28 19] ; [68 21],[33.17647059 13.82352941] ; [62.82352941 26.17647059],0
p10,1,0.081941,3.025974,[21 25] ; [54 34],[25.74626866 20.25373134] ; [49.25373134 38.74626866],0
n4,1,0.103212,2.655192,[25 22] ; [60 29],[29.375 17.625] ; [55.625 33.375],0
b1,1,0.10463,2.633517,[28 19] ; [40 49],[23.5 23.5] ; [44.5 44.5],0
n5,1,0.109882,2.555921,[24 23] ; [58 31],[28.33823529 18.66176471] ; [53.66176471 35.33823529],0
p6,1,0.110422,2.548172,[12 34] ; [13 75],[ 8.58208955 37.41791045] ; [16.41791045 71.58208955],0
n1,1,0.134089,2.244517,[11  9] ; [12 23],[ 8.36363636 11.63636364] ; [14.63636364 20.36363636],0
s2,1,0.149226,2.080142,[24 23] ; [34 55],[20.04411765 26.95588235] ; [37.95588235 51.04411765],0
p9,1,0.154977,2.022566,[23 22] ; [55 31],[26.79389313 18.20610687] ; [51.20610687 34.79389313],0
p4,1,0.15782,1.994993,[19 27] ; [26 63],[15.33333333 30.66666667] ; [29.66666667 59.33333333],0
s1,1,0.1593,1.98086,[ 5 41] ; [ 4 85],[ 3.06666667 42.93333333] ; [ 5.93333333 83.06666667],0
d4,1,0.16677,1.911738,[39  8] ; [81  8],[41.47058824  5.52941176] ; [78.52941176 10.47058824],0
u2,1,0.181423,1.78593,[5 7] ; [15  8],[6.85714286 5.14285714] ; [13.14285714  9.85714286],0
v1,1,0.213962,1.544417,[20 26] ; [28 58],[16.72727273 29.27272727] ; [31.27272727 54.72727273],0
b2,1,0.273968,1.196769,[14 18] ; [19 40],[11.6043956 20.3956044] ; [21.3956044 37.6043956],0
b3,1,0.273968,1.196769,[14 18] ; [19 40],[11.6043956 20.3956044] ; [21.3956044 37.6043956],0
s5,1,0.274668,1.193284,[14 29] ; [20 65],[11.421875 31.578125] ; [22.578125 62.421875],0
n2,1,0.285049,1.142857,[15  6] ; [20 15],[13.125  7.875] ; [21.875 13.125],0
s3,1,0.294965,1.096819,[24 22] ; [38 51],[21.12592593 24.87407407] ; [40.87407407 48.12592593],0
p12,1,0.357403,0.847,[ 1 45] ; [ 5 84],[ 2.04444444 43.95555556] ; [ 3.95555556 85.04444444],0
a1,1,0.359997,0.837905,[ 3 44] ; [10 79],[ 4.49264706 42.50735294] ; [ 8.50735294 80.49264706],0
a5,1,0.36985,0.804169,[32 15] ; [67 22],[34.21323529 12.78676471] ; [64.78676471 24.21323529],0
b4,1,0.388861,0.742502,[26 21] ; [56 33],[28.33823529 18.66176471] ; [53.66176471 35.33823529],0
n6,1,0.411862,0.67342,[31 16] ; [64 24],[33.07407407 13.92592593] ; [61.92592593 26.07407407],0
s6,1,0.429182,0.625035,[27 18] ; [47 42],[24.85074627 20.14925373] ; [49.14925373 39.85074627],0
a4,1,0.441208,0.59314,[28 18] ; [48 41],[25.8962963 20.1037037] ; [50.1037037 38.8962963],0
s8,1,0.470486,0.520833,[20 26] ; [33 56],[18.05925926 27.94074074] ; [34.94074074 54.05925926],0
r1,1,0.489248,0.478179,[30 17] ; [62 27],[31.79411765 15.20588235] ; [60.20588235 28.79411765],0
s4,1,0.48992,0.476703,[11 36] ; [16 71],[ 9.47014925 37.52985075] ; [17.52985075 69.47014925],0
v4,1,0.613014,0.25581,[38  9] ; [75 14],[39.05147059  7.94852941] ; [73.94852941 15.05147059],0
p11,1,0.677151,0.173351,[25 22] ; [44 45],[23.84558824 23.15441176] ; [45.15441176 43.84558824],0
a8,1,0.697292,0.151305,[ 3 43] ; [ 7 76],[ 3.56589147 42.43410853] ; [ 6.43410853 76.56589147],0
r3,1,0.738475,0.111472,[38  9] ; [74 15],[38.70588235  8.29411765] ; [73.29411765 15.70588235],0
p8,1,0.762299,0.091484,[10 37] ; [17 72],[ 9.33088235 37.66911765] ; [17.66911765 71.33088235],0
s7,1,0.770548,0.085064,[18 25] ; [37 46],[18.76984127 24.23015873] ; [36.23015873 46.76984127],0
p7,1,0.788089,0.07225,[15 30] ; [27 60],[14.31818182 30.68181818] ; [27.68181818 59.31818182],0
r2,1,0.790159,0.070811,[41  4] ; [78  9],[40.56818182  4.43181818] ; [78.43181818  8.56818182],0
p3,1,0.808143,0.058963,[14 33] ; [28 60],[14.62222222 32.37777778] ; [27.37777778 60.62222222],0
a3,1,0.819339,0.052165,[34 13] ; [66 23],[34.55882353 12.44117647] ; [65.44117647 23.55882353],0
u3,1,0.825298,0.048724,[8 5] ; [15  8],[8.30555556 4.69444444] ; [14.69444444  8.30555556],0
d2,1,0.840162,0.040677,[27 18] ; [55 34],[27.53731343 17.46268657] ; [54.46268657 34.53731343],0
p5,1,0.858165,0.031937,[ 3 43] ; [ 5 82],[ 2.76691729 43.23308271] ; [ 5.23308271 81.76691729],0
v2,1,0.890572,0.018928,[23 22] ; [44 40],[23.37209302 21.62790698] ; [43.62790698 40.37209302],0
v3,1,0.929978,0.007722,[14 29] ; [28 56],[14.22047244 28.77952756] ; [27.77952756 56.22047244],0
r4,1,0.93115,0.007465,[34 13] ; [65 24],[34.21323529 12.78676471] ; [64.78676471 24.21323529],0
