Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,3.6e-05,17.079989,[52 20] ; [ 8 21],[42.77227723 29.22772277] ; [17.22772277 11.77227723],1
d3,1,0.003633,8.458485,[56 16] ; [14 15],[49.9009901 22.0990099] ; [20.0990099  8.9009901],0
r4,1,0.003713,8.419085,[63  9] ; [18 11],[57.74257426 14.25742574] ; [23.25742574  5.74257426],0
a2,1,0.013282,6.131201,[25 47] ; [ 3 26],[19.96039604 52.03960396] ; [ 8.03960396 20.96039604],0
u1,1,0.016596,5.73858,[17 55] ; [ 1 28],[12.83168317 59.16831683] ; [ 5.16831683 23.83168317],0
r2,1,0.034109,4.489228,[70  2] ; [25  4],[67.72277228  4.27722772] ; [27.27722772  1.72277228],0
d5,1,0.049702,3.851474,[60 12] ; [19 10],[56.31683168 15.68316832] ; [22.68316832  6.31683168],0
v4,1,0.082507,3.014804,[66  6] ; [23  6],[63.44554455  8.55445545] ; [25.55445545  3.44554455],0
p3,1,0.083498,2.995472,[36 34] ; [ 9 19],[32.14285714 37.85714286] ; [12.85714286 15.14285714],0
a1,1,0.084822,2.970004,[ 3 69] ; [ 4 25],[ 4.99009901 67.00990099] ; [ 2.00990099 26.99009901],0
p6,1,0.092456,2.83109,[26 42] ; [ 6 23],[22.43298969 45.56701031] ; [ 9.56701031 19.43298969],0
a5,1,0.098361,2.73192,[52 20] ; [16 13],[48.47524752 23.52475248] ; [19.52475248  9.47524752],0
s2,1,0.122431,2.385939,[37 34] ; [20  9],[40.47 30.53] ; [16.53 12.47],0
p1,1,0.122953,2.3793,[10 61] ; [ 1 28],[ 7.81 63.19] ; [ 3.19 25.81],0
r3,1,0.143928,2.135457,[64  7] ; [23  6],[61.77  9.23] ; [25.23  3.77],0
a8,1,0.205931,1.599803,[10 50] ; [ 2 27],[ 8.08988764 51.91011236] ; [ 3.91011236 25.08988764],0
r1,1,0.236742,1.39989,[56 14] ; [20  9],[53.73737374 16.26262626] ; [22.26262626  6.73737374],0
p8,1,0.242584,1.365517,[28 42] ; [ 8 21],[25.45454545 44.54545455] ; [10.54545455 18.45454545],0
p4,1,0.270506,1.214182,[38 33] ; [12 17],[35.5 35.5] ; [14.5 14.5],0
b1,1,0.271269,1.21032,[36 36] ; [18 11],[38.4950495 33.5049505] ; [15.5049505 13.4950495],0
b5,1,0.297679,1.084561,[50 22] ; [17 12],[47.76237624 24.23762376] ; [19.23762376  9.76237624],0
p2,1,0.321704,0.982005,[55 16] ; [19  9],[53.07070707 17.92929293] ; [20.92929293  7.07070707],0
d1,1,0.328691,0.954047,[40 32] ; [13 16],[37.78217822 34.21782178] ; [15.21782178 13.78217822],0
s6,1,0.330799,0.945768,[52 17] ; [17  9],[50.11578947 18.88421053] ; [18.88421053  7.11578947],0
s4,1,0.396293,0.719547,[15 56] ; [ 4 25],[13.49 57.51] ; [ 5.51 23.49],0
n3,1,0.447332,0.577404,[13  6] ; [12  3],[13.97058824  5.02941176] ; [11.02941176  3.97058824],0
s5,1,0.495985,0.463517,[27 39] ; [ 9 18],[25.5483871 40.4516129] ; [10.4516129 16.5483871],0
p9,1,0.515872,0.422139,[49 20] ; [18 10],[47.65979381 21.34020619] ; [19.34020619  8.65979381],0
a3,1,0.532222,0.390148,[48 22] ; [18 11],[46.66666667 23.33333333] ; [19.33333333  9.66666667],0
d4,1,0.576809,0.311421,[56 16] ; [24  5],[57.02970297 14.97029703] ; [22.97029703  6.02970297],0
s7,1,0.599247,0.276133,[37 29] ; [13 13],[35.86956522 30.13043478] ; [14.13043478 11.86956522],0
b2,1,0.604252,0.268631,[ 9 23] ; [ 6 11],[ 9.79591837 22.20408163] ; [ 5.20408163 11.79591837],0
b3,1,0.604252,0.268631,[ 9 23] ; [ 6 11],[ 9.79591837 22.20408163] ; [ 5.20408163 11.79591837],0
s1,1,0.609109,0.261475,[ 5 64] ; [ 3 26],[ 5.63265306 63.36734694] ; [ 2.36734694 26.63265306],0
n5,1,0.616215,0.251224,[47 24] ; [20  8],[48.05050505 22.94949495] ; [18.94949495  9.05050505],0
u2,1,0.618402,0.24812,[10 12] ; [4 7],[ 9.33333333 12.66666667] ; [4.66666667 6.33333333],0
p10,1,0.656444,0.197872,[41 28] ; [18 10],[41.96907216 27.03092784] ; [17.03092784 10.96907216],0
p12,1,0.673002,0.17811,[ 4 67] ; [ 1 27],[ 3.58585859 67.41414141] ; [ 1.41414141 26.58585859],0
n6,1,0.718527,0.129909,[50 21] ; [18  9],[49.26530612 21.73469388] ; [18.73469388  8.26530612],0
v2,1,0.755476,0.096987,[41 29] ; [16 13],[40.3030303 29.6969697] ; [16.6969697 12.3030303],0
d2,1,0.777101,0.080145,[35 37] ; [15 14],[35.64356436 36.35643564] ; [14.35643564 14.64356436],0
n1,1,0.79026,0.070742,[ 8 11] ; [7 8],[ 8.38235294 10.61764706] ; [6.61764706 8.38235294],0
p7,1,0.799325,0.064628,[35 34] ; [15 13],[35.56701031 33.43298969] ; [14.43298969 13.56701031],0
a4,1,0.825575,0.048567,[35 36] ; [15 14],[35.5 35.5] ; [14.5 14.5],0
b4,1,0.827209,0.047647,[38 34] ; [16 13],[38.4950495 33.5049505] ; [15.5049505 13.4950495],0
v3,1,0.845409,0.038017,[29 41] ; [11 17],[28.57142857 41.42857143] ; [11.42857143 16.57142857],0
n4,1,0.874618,0.024899,[47 24] ; [19  9],[47.33333333 23.66666667] ; [18.66666667  9.33333333],0
s3,1,0.880496,0.022602,[38 33] ; [16 13],[38.34 32.66] ; [15.66 13.34],0
p5,1,0.898811,0.016171,[ 7 64] ; [ 3 25],[ 7.17171717 63.82828283] ; [ 2.82828283 25.17171717],0
s8,1,0.941996,0.005294,[31 40] ; [12 16],[30.83838384 40.16161616] ; [12.16161616 15.83838384],0
n2,1,0.981629,0.00053,[14  5] ; [11  4],[13.97058824  5.02941176] ; [11.02941176  3.97058824],0
u3,1,0.983339,0.000436,[13 11] ; [6 5],[13.02857143 10.97142857] ; [5.97142857 5.02857143],0
