Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.006296,7.463664,[ 4 36] ; [2 1],[ 5.58139535 34.41860465] ; [0.41860465 2.58139535],0
p11,1,0.009236,6.776596,[39  5] ; [1 2],[37.44680851  6.55319149] ; [2.55319149 0.44680851],0
s1,1,0.048428,3.895087,[ 2 42] ; [1 2],[ 2.80851064 41.19148936] ; [0.19148936 2.80851064],0
p8,1,0.182021,1.781045,[31 13] ; [1 2],[29.95744681 14.04255319] ; [2.04255319 0.95744681],0
v4,1,0.187619,1.736219,[40  4] ; [2 1],[39.31914894  4.68085106] ; [2.68085106 0.31914894],0
b4,1,0.217771,1.519,[30 14] ; [1 2],[29.0212766 14.9787234] ; [1.9787234 1.0212766],0
r3,1,0.269898,1.217264,[39  5] ; [2 1],[38.38297872  5.61702128] ; [2.61702128 0.38297872],0
b1,1,0.338461,0.916254,[17 27] ; [2 1],[17.78723404 26.21276596] ; [1.21276596 1.78723404],0
r2,1,0.366244,0.816367,[37  6] ; [2 1],[36.45652174  6.54347826] ; [2.54347826 0.45652174],0
r4,1,0.518716,0.416445,[36  8] ; [2 1],[35.57446809  8.42553191] ; [2.42553191 0.57446809],0
n2,1,0.52179,0.410354,[8 3] ; [1 1],[7.61538462 3.38461538] ; [1.38461538 0.61538462],0
d2,1,0.525468,0.403148,[21 23] ; [2 1],[21.53191489 22.46808511] ; [1.46808511 1.53191489],0
d1,1,0.576334,0.312198,[22 22] ; [1 2],[21.53191489 22.46808511] ; [1.46808511 1.53191489],0
v3,1,0.576905,0.311265,[21 21] ; [2 1],[21.46666667 20.53333333] ; [1.53333333 1.46666667],0
b3,1,0.579817,0.30653,[17 17] ; [1 2],[16.54054054 17.45945946] ; [1.45945946 1.54054054],0
b2,1,0.579817,0.30653,[17 17] ; [1 2],[16.54054054 17.45945946] ; [1.45945946 1.54054054],0
p1,1,0.597941,0.278112,[ 9 35] ; [1 2],[ 9.36170213 34.63829787] ; [0.63829787 2.36170213],0
a5,1,0.597941,0.278112,[35  9] ; [2 1],[34.63829787  9.36170213] ; [2.36170213 0.63829787],0
d4,1,0.597941,0.278112,[35  9] ; [2 1],[34.63829787  9.36170213] ; [2.36170213 0.63829787],0
s5,1,0.635161,0.225127,[19 21] ; [1 2],[18.60465116 21.39534884] ; [1.39534884 1.60465116],0
d5,1,0.674632,0.176232,[34 10] ; [2 1],[33.70212766 10.29787234] ; [2.29787234 0.70212766],0
s3,1,0.674632,0.176232,[10 34] ; [1 2],[10.29787234 33.70212766] ; [0.70212766 2.29787234],0
p7,1,0.692373,0.156529,[33 10] ; [2 1],[32.7173913 10.2826087] ; [2.2826087 0.7173913],0
n3,1,0.715388,0.132955,[7 4] ; [1 1],[6.76923077 4.23076923] ; [1.23076923 0.76923077],0
r1,1,0.748756,0.102579,[33 11] ; [2 1],[32.76595745 11.23404255] ; [2.23404255 0.76595745],0
d3,1,0.795862,0.066929,[26 18] ; [2 1],[26.21276596 17.78723404] ; [1.78723404 1.21276596],0
p3,1,0.820377,0.051556,[32 12] ; [2 1],[31.82978723 12.17021277] ; [2.17021277 0.82978723],0
s6,1,0.885498,0.020737,[25 15] ; [2 1],[25.11627907 14.88372093] ; [1.88372093 1.11627907],0
a6,1,0.889603,0.019267,[31 13] ; [2 1],[30.89361702 13.10638298] ; [2.10638298 0.89361702],0
a3,1,0.889603,0.019267,[31 13] ; [2 1],[30.89361702 13.10638298] ; [2.10638298 0.89361702],0
a7,1,0.978625,0.000718,[29 15] ; [2 1],[29.0212766 14.9787234] ; [1.9787234 1.0212766],0
