Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3e-06,21.669136,[23 19] ; [ 54 204],[10.78 31.22] ; [ 66.22 191.78],1
s7,1,0.000187,13.952721,[21 18] ; [ 60 183],[11.20212766 27.79787234] ; [ 69.79787234 173.20212766],1
s6,1,0.000852,11.125083,[29 13] ; [106 150],[19.02684564 22.97315436] ; [115.97315436 140.02684564],1
p6,1,0.002227,9.352468,[22 20] ; [ 73 182],[13.43434343 28.56565657] ; [ 81.56565657 173.43434343],0
n1,1,0.021597,5.277963,[ 1 11] ; [29 38],[4.55696203 7.44303797] ; [25.44303797 41.55696203],0
n6,1,0.03408,4.4907,[40  1] ; [222  37],[35.80666667  5.19333333] ; [226.19333333  32.80666667],0
d4,1,0.03965,4.232792,[37  5] ; [190  69],[31.6744186 10.3255814] ; [195.3255814  63.6744186],0
u1,1,0.059038,3.564198,[11 31] ; [ 38 222],[ 6.81456954 35.18543046] ; [ 42.18543046 217.81456954],0
n3,1,0.060455,3.524856,[5 7] ; [46 20],[7.84615385 4.15384615] ; [43.15384615 22.84615385],0
p10,1,0.069857,3.286377,[38  4] ; [200  55],[33.65656566  8.34343434] ; [204.34343434  50.65656566],0
p7,1,0.075419,3.160955,[30 12] ; [145 110],[24.74747475 17.25252525] ; [150.25252525 104.74747475],0
b5,1,0.10134,2.684327,[30 12] ; [151 109],[25.17218543 16.82781457] ; [155.82781457 104.17218543],0
r3,1,0.119573,2.4229,[40  2] ; [224  34],[36.96  5.04] ; [227.04  30.96],0
v3,1,0.158251,1.990857,[20 22] ; [ 92 162],[15.89189189 26.10810811] ; [ 96.10810811 157.89189189],0
d1,1,0.165576,1.922551,[26 16] ; [131 129],[21.83443709 20.16556291] ; [135.16556291 124.83443709],0
a3,1,0.186908,1.74182,[32 10] ; [170  88],[28.28 13.72] ; [173.72  84.28],0
s1,1,0.247468,1.337542,[ 2 39] ; [  5 253],[ 0.95986622 40.04013378] ; [  6.04013378 251.95986622],0
v2,1,0.27323,1.200459,[26 16] ; [132 118],[22.7260274 19.2739726] ; [135.2739726 114.7260274],0
a7,1,0.275872,1.187314,[31 11] ; [169  90],[27.90697674 14.09302326] ; [172.09302326  86.90697674],0
d3,1,0.296961,1.087791,[29 13] ; [157 102],[25.95348837 16.04651163] ; [160.04651163  98.95348837],0
b2,1,0.299868,1.07478,[12 12] ; [61 96],[ 9.67955801 14.32044199] ; [63.32044199 93.67955801],0
b3,1,0.299868,1.07478,[12 12] ; [61 96],[ 9.67955801 14.32044199] ; [63.32044199 93.67955801],0
n4,1,0.317828,0.997865,[38  4] ; [220  40],[35.8807947  6.1192053] ; [222.1192053  37.8807947],0
b1,1,0.327485,0.958818,[13 29] ; [101 159],[15.85430464 26.14569536] ; [ 98.14569536 161.85430464],0
p2,1,0.335801,0.926396,[35  7] ; [197  60],[32.58862876  9.41137124] ; [199.41137124  57.58862876],0
p1,1,0.338057,0.917786,[ 2 40] ; [ 24 236],[ 3.61589404 38.38410596] ; [ 22.38410596 237.61589404],0
p5,1,0.355588,0.853414,[ 3 39] ; [ 31 227],[ 4.76 37.24] ; [ 29.24 228.76],0
p8,1,0.40471,0.694288,[24 18] ; [126 125],[21.50170648 20.49829352] ; [128.49829352 122.50170648],0
p3,1,0.42345,0.640721,[22 20] ; [118 140],[19.6 22.4] ; [120.4 137.6],0
p11,1,0.438117,0.60121,[30 12] ; [200  60],[31.98675497 10.01324503] ; [198.01324503  61.98675497],0
