Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,3.8e-05,16.970118,[16 43] ; [23  9],[25.28571429 33.71428571] ; [13.71428571 18.28571429],1
b2,1,0.002922,8.85536,[ 9 30] ; [14  9],[14.46774194 24.53225806] ; [ 8.53225806 14.46774194],0
b3,1,0.002922,8.85536,[ 9 30] ; [14  9],[14.46774194 24.53225806] ; [ 8.53225806 14.46774194],0
s7,1,0.011349,6.409811,[12 46] ; [14 16],[17.13636364 40.86363636] ; [ 8.86363636 21.13636364],0
r1,1,0.020103,5.402967,[26 34] ; [22 10],[31.30434783 28.69565217] ; [16.69565217 15.30434783],0
a4,1,0.020391,5.378115,[ 6 54] ; [ 9 22],[ 9.89010989 50.10989011] ; [ 5.10989011 25.89010989],0
p3,1,0.020624,5.358274,[14 46] ; [15 17],[18.91304348 41.08695652] ; [10.08695652 21.91304348],0
p11,1,0.028624,4.790112,[33 27] ; [25  7],[37.82608696 22.17391304] ; [20.17391304 11.82608696],0
v3,1,0.038809,4.269191,[ 8 50] ; [10 21],[11.73033708 46.26966292] ; [ 6.26966292 24.73033708],0
a6,1,0.049482,3.858926,[21 39] ; [18 14],[25.43478261 34.56521739] ; [13.56521739 18.43478261],0
n3,1,0.050138,3.83684,[11 12] ; [7 1],[13.35483871  9.64516129] ; [4.64516129 3.35483871],0
s8,1,0.054421,3.699747,[13 47] ; [13 19],[16.95652174 43.04347826] ; [ 9.04347826 22.95652174],0
s6,1,0.057263,3.614936,[21 38] ; [18 14],[25.28571429 33.71428571] ; [13.71428571 18.28571429],0
b5,1,0.059266,3.557813,[33 27] ; [11 21],[28.69565217 31.30434783] ; [15.30434783 16.69565217],0
d4,1,0.095671,2.776271,[19 40] ; [16 16],[22.69230769 36.30769231] ; [12.30769231 19.69230769],0
r4,1,0.114202,2.495089,[33 27] ; [23  9],[36.52173913 23.47826087] ; [19.47826087 12.52173913],0
r3,1,0.129374,2.3,[42 18] ; [27  5],[45. 15.] ; [24.  8.],0
n2,1,0.19757,1.660248,[13 10] ; [8 2],[14.63636364  8.36363636] ; [6.36363636 3.63636364],0
p8,1,0.202585,1.623642,[20 40] ; [15 17],[22.82608696 37.17391304] ; [12.17391304 19.82608696],0
p1,1,0.235264,1.40875,[ 6 54] ; [ 6 26],[ 7.82608696 52.17391304] ; [ 4.17391304 27.82608696],0
p10,1,0.272735,1.202941,[29 30] ; [19 12],[31.46666667 27.53333333] ; [16.53333333 14.46666667],0
s2,1,0.305583,1.04967,[16 43] ; [12 20],[18.15384615 40.84615385] ; [ 9.84615385 22.15384615],0
p9,1,0.348695,0.8782,[36 23] ; [22  9],[38.02222222 20.97777778] ; [19.97777778 11.02222222],0
u3,1,0.349482,0.875336,[17 27] ; [2 7],[15.77358491 28.22641509] ; [3.22641509 5.77358491],0
n4,1,0.407596,0.685801,[36 24] ; [22 10],[37.82608696 22.17391304] ; [20.17391304 11.82608696],0
p7,1,0.435889,0.60708,[29 30] ; [13 19],[27.23076923 31.76923077] ; [14.76923077 17.23076923],0
