Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.009414,6.742464,[138 196] ; [ 6 27],[131.05177112 202.94822888] ; [12.94822888 20.05177112],0
s6,1,0.017991,5.596986,[145 186] ; [21 11],[151.36639118 179.63360882] ; [14.63360882 17.36639118],0
a6,1,0.039504,4.239071,[241  95] ; [18 15],[235.83739837 100.16260163] ; [23.16260163  9.83739837],0
d5,1,0.056699,3.63139,[263  73] ; [21 12],[258.60162602  77.39837398] ; [25.39837398  7.60162602],0
r2,1,0.056747,3.63,[303  27] ; [27  6],[300.  30.] ; [30.  3.],0
d2,1,0.078283,3.100194,[144 190] ; [ 9 24],[139.24250681 194.75749319] ; [13.75749319 19.24250681],0
v2,1,0.103961,2.6437,[183 137] ; [14 19],[178.58356941 141.41643059] ; [18.41643059 14.58356941],0
v3,1,0.109769,2.557551,[118 210] ; [ 7 25],[113.88888889 214.11111111] ; [11.11111111 20.88888889],0
r4,1,0.110963,2.540458,[297  39] ; [26  7],[294.11382114  41.88617886] ; [28.88617886  4.11382114],0
a8,1,0.112097,2.524399,[ 38 263] ; [ 1 31],[ 35.25225225 265.74774775] ; [ 3.74774775 28.25225225],0
s5,1,0.118882,2.431991,[ 58 271] ; [ 9 22],[ 61.23055556 267.76944444] ; [ 5.76944444 25.23055556],0
a7,1,0.126149,2.339269,[236  99] ; [19 14],[232.13315217 102.86684783] ; [22.86684783 10.13315217],0
b3,1,0.133557,2.250666,[ 78 125] ; [ 4 15],[ 74.98198198 128.01801802] ; [ 7.01801802 11.98198198],0
b2,1,0.133557,2.250666,[ 78 125] ; [ 4 15],[ 74.98198198 128.01801802] ; [ 7.01801802 11.98198198],0
b5,1,0.153655,2.035589,[196 140] ; [15 18],[192.1300813 143.8699187] ; [18.8699187 14.1300813],0
d1,1,0.207427,1.589293,[171 165] ; [13 20],[167.54471545 168.45528455] ; [16.45528455 16.54471545],0
a2,1,0.214378,1.541609,[ 59 277] ; [ 3 30],[ 56.45528455 279.54471545] ; [ 5.54471545 27.45528455],0
n4,1,0.259631,1.270725,[254  82] ; [22 11],[251.31707317  84.68292683] ; [24.68292683  8.31707317],0
n5,1,0.273303,1.200093,[232 101] ; [26  7],[234.73770492  98.26229508] ; [23.26229508  9.73770492],0
u1,1,0.276056,1.186407,[ 42 294] ; [ 2 31],[ 40.06504065 295.93495935] ; [ 3.93495935 29.06504065],0
n2,1,0.290117,1.119079,[53 23] ; [7 1],[54.28571429 21.71428571] ; [5.71428571 2.28571429],0
p10,1,0.293498,1.103506,[266  65] ; [29  4],[268.25549451  62.74450549] ; [26.74450549  6.25549451],0
s3,1,0.296906,1.088039,[ 74 258] ; [10 23],[ 76.40547945 255.59452055] ; [ 7.59452055 25.40547945],0
d3,1,0.331835,0.941725,[216 120] ; [24  9],[218.53658537 117.46341463] ; [21.46341463 11.53658537],0
r1,1,0.34516,0.89117,[258  77] ; [23 10],[255.80163043  79.19836957] ; [25.19836957  7.80163043],0
b1,1,0.348291,0.879674,[119 217] ; [ 9 24],[116.55284553 219.44715447] ; [11.44715447 21.55284553],0
p5,1,0.377336,0.779362,[ 37 299] ; [ 2 31],[ 35.51219512 300.48780488] ; [ 3.48780488 29.51219512],0
u2,1,0.383269,0.76019,[67 47] ; [6 7],[65.52755906 48.47244094] ; [7.47244094 5.52755906],0
v1,1,0.397368,0.716278,[164 163] ; [14 19],[161.68333333 165.31666667] ; [16.31666667 16.68333333],0
a5,1,0.453418,0.562094,[235 101] ; [21 12],[233.10569106 102.89430894] ; [22.89430894 10.10569106],0
n3,1,0.507148,0.439947,[58 17] ; [7 1],[58.73493976 16.26506024] ; [6.26506024 1.73493976],0
p1,1,0.510065,0.433934,[ 29 305] ; [ 4 29],[ 30.03269755 303.96730245] ; [ 2.96730245 30.03269755],0
a3,1,0.551742,0.354206,[221 115] ; [20 13],[219.44715447 116.55284553] ; [21.55284553 11.44715447],0
p7,1,0.583797,0.300136,[204 126] ; [22 11],[205.45454545 124.54545455] ; [20.54545455 12.45454545],0
p2,1,0.594969,0.282651,[284  49] ; [27  6],[282.95901639  50.04098361] ; [28.04098361  4.95901639],0
v4,1,0.597086,0.279414,[312  23] ; [29  3],[311.26702997  23.73297003] ; [29.73297003  2.26702997],0
s8,1,0.624131,0.240104,[ 88 246] ; [10 23],[ 89.1880109 244.8119891] ; [ 8.8119891 24.1880109],0
s1,1,0.62514,0.238709,[  6 326] ; [ 1 32],[  6.36712329 325.63287671] ; [ 0.63287671 32.36712329],0
p9,1,0.654796,0.199907,[283  50] ; [29  4],[283.86885246  49.13114754] ; [28.13114754  4.86885246],0
n1,1,0.673643,0.17737,[23 53] ; [3 5],[23.52380952 52.47619048] ; [2.47619048 5.52380952],0
p6,1,0.680256,0.169838,[ 98 230] ; [11 22],[ 99.03601108 228.96398892] ; [ 9.96398892 23.03601108],0
r3,1,0.682355,0.167487,[319  15] ; [31  2],[318.52861035  15.47138965] ; [31.47138965  1.52861035],0
u3,1,0.701913,0.14649,[59 55] ; [6 7],[58.34645669 55.65354331] ; [6.65354331 6.34645669],0
p4,1,0.734121,0.115361,[182 152] ; [19 14],[182.92643052 151.07356948] ; [18.07356948 14.92643052],0
s7,1,0.735242,0.114353,[ 87 229] ; [10 23],[ 87.82808023 228.17191977] ; [ 9.17191977 23.82808023],0
p12,1,0.756589,0.096077,[ 16 315] ; [ 2 31],[ 16.36813187 314.63186813] ; [ 1.63186813 31.36813187],0
p3,1,0.782195,0.07643,[154 181] ; [16 17],[154.75543478 180.24456522] ; [15.24456522 17.75543478],0
n6,1,0.784953,0.074458,[278  57] ; [28  5],[278.55978261  56.44021739] ; [27.44021739  5.55978261],0
p8,1,0.915574,0.011238,[178 151] ; [17 15],[177.71468144 151.28531856] ; [17.28531856 14.71468144],0
b4,1,0.93007,0.007701,[201 135] ; [20 13],[201.23577236 134.76422764] ; [19.76422764 13.23577236],0
d4,1,0.932116,0.007256,[256  79] ; [25  8],[255.80163043  79.19836957] ; [25.19836957  7.80163043],0
