Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,172.112443,[  6 102] ; [411 156],[66.72 41.28] ; [350.28 216.72],1
d3,1,0.0,119.573032,[29 78] ; [450 117],[76.04302671 30.95697329] ; [402.95697329 164.04302671],1
d5,1,0.0,93.887544,[55 52] ; [507  60],[89.21958457 17.78041543] ; [472.78041543  94.21958457],1
d2,1,0.0,33.715462,[25 83] ; [303 262],[52.6359584 55.3640416] ; [275.3640416 289.6359584],1
a3,1,0.0,25.569816,[58 50] ; [436 129],[79.27488856 28.72511144] ; [414.72511144 150.27488856],1
a4,1,1e-06,23.913567,[26 82] ; [281 285],[49.19287834 58.80712166] ; [257.80712166 308.19287834],1
a5,1,9e-06,19.742863,[65 43] ; [453 114],[82.88 25.12] ; [435.12 131.88],1
u1,1,1.3e-05,18.960262,[  4 104] ; [122 445],[20.16 87.84] ; [105.84 461.16],1
a2,1,0.000148,14.391227,[11 97] ; [155 412],[26.56 81.44] ; [139.44 427.56],1
p2,1,0.006879,7.304192,[85 23] ; [499  66],[93.71768202 14.28231798] ; [490.28231798  74.71768202],0
p1,1,0.008511,6.92258,[17 91] ; [ 44 520],[ 9.80357143 98.19642857] ; [ 51.19642857 512.80357143],0
p4,1,0.014549,5.970251,[58 50] ; [373 192],[69.16493314 38.83506686] ; [361.83506686 203.16493314],0
r1,1,0.016352,5.764637,[83 24] ; [490  76],[91.10104012 15.89895988] ; [481.89895988  84.10104012],0
u2,1,0.017417,5.653846,[23 27] ; [85 45],[30. 20.] ; [78. 52.],0
b2,1,0.019203,5.482975,[16 46] ; [141 198],[24.27431421 37.72568579] ; [132.72568579 206.27431421],0
b3,1,0.019203,5.482975,[16 46] ; [141 198],[24.27431421 37.72568579] ; [132.72568579 206.27431421],0
s2,1,0.020411,5.376436,[47 59] ; [319 245],[57.90447761 48.09552239] ; [308.09552239 255.90447761],0
s5,1,0.022733,5.188767,[29 75] ; [216 328],[39.32098765 64.67901235] ; [205.67901235 338.32098765],0
p6,1,0.030248,4.695155,[32 75] ; [230 330],[42.02998501 64.97001499] ; [219.97001499 340.02998501],0
b4,1,0.045702,3.992553,[53 55] ; [337 230],[62.4 45.6] ; [327.6 239.4],0
a1,1,0.047011,3.945003,[  1 107] ; [ 30 537],[  4.96 103.04] ; [ 26.04 540.96],0
v2,1,0.047195,3.938415,[51 49] ; [335 209],[59.9378882 40.0621118] ; [326.0621118 217.9378882],0
p7,1,0.056151,3.647564,[64 42] ; [386 167],[72.38239757 33.61760243] ; [377.61760243 175.38239757],0
v1,1,0.100047,2.704797,[52 52] ; [324 228],[59.6097561 44.3902439] ; [316.3902439 235.6097561],0
a8,1,0.116552,2.463053,[ 9 90] ; [ 78 439],[13.98214286 85.01785714] ; [ 73.01785714 443.98214286],0
n4,1,0.143346,2.141667,[81 27] ; [460 107],[86.56 21.44] ; [454.44 112.56],0
s8,1,0.163239,1.94396,[46 62] ; [282 283],[52.6359584 55.3640416] ; [275.3640416 289.6359584],0
a7,1,0.1976,1.660023,[75 32] ; [430 136],[80.2897474 26.7102526] ; [424.7102526 141.2897474],0
n3,1,0.277427,1.179653,[19  3] ; [78 25],[17.072  4.928] ; [79.928 23.072],0
s3,1,0.27821,1.175811,[57 49] ; [334 228],[62.04491018 43.95508982] ; [328.95508982 233.04491018],0
u3,1,0.280735,1.163529,[27 23] ; [81 48],[30.16759777 19.83240223] ; [77.83240223 51.16759777],0
p3,1,0.295534,1.094239,[53 54] ; [312 255],[57.94510386 49.05489614] ; [307.05489614 259.94510386],0
s4,1,0.365735,0.818105,[22 85] ; [ 95 466],[18.74101796 88.25898204] ; [ 98.25898204 462.74101796],0
v4,1,0.382807,0.761669,[104   3] ; [558   9],[105.09495549   1.90504451] ; [556.90504451  10.09495549],0
s6,1,0.396132,0.720038,[71 33] ; [403 154],[74.57791225 29.42208775] ; [399.42208775 157.57791225],0
v3,1,0.400157,0.707855,[41 65] ; [234 309],[44.91525424 61.08474576] ; [230.08474576 312.91525424],0
p9,1,0.404753,0.69416,[101   7] ; [540  26],[102.71216617   5.28783383] ; [538.28783383  27.71216617],0
p8,1,0.407572,0.685871,[57 49] ; [326 235],[60.86656672 45.13343328] ; [322.13343328 238.86656672],0
a6,1,0.450528,0.569323,[73 35] ; [403 163],[76.27299703 31.72700297] ; [399.72700297 166.27299703],0
n2,1,0.539027,0.377345,[18  4] ; [78 25],[16.896  5.104] ; [79.104 23.896],0
b5,1,0.548461,0.360082,[62 46] ; [343 224],[64.8 43.2] ; [340.2 226.8],0
n6,1,0.587682,0.293979,[94 14] ; [502  63],[95.64338782 12.35661218] ; [500.35661218  64.64338782],0
p12,1,0.61094,0.258808,[ 9 99] ; [ 56 509],[10.43090639 97.56909361] ; [ 54.56909361 510.43090639],0
s1,1,0.624335,0.239821,[  4 103] ; [ 16 544],[  3.2083958 103.7916042] ; [ 16.7916042 543.2083958],0
n5,1,0.707156,0.141134,[86 21] ; [445 120],[84.54910714 22.45089286] ; [446.45089286 118.54910714],0
p11,1,0.730654,0.118512,[91 17] ; [485  82],[92.16 15.84] ; [483.84  83.16],0
