Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.012529,6.23438,[19  8] ; [ 5 11],[15.06976744 11.93023256] ; [8.93023256 7.06976744],0
s2,1,0.046455,3.965035,[ 3 23] ; [ 6 10],[ 5.57142857 20.42857143] ; [ 3.42857143 12.57142857],0
d3,1,0.084392,2.978229,[19  8] ; [7 9],[16.3255814 10.6744186] ; [9.6744186 6.3255814],0
n4,1,0.087488,2.91999,[15 12] ; [13  3],[17.58139535  9.41860465] ; [10.41860465  5.58139535],0
p3,1,0.102308,2.669186,[ 8 18] ; [9 7],[10.52380952 15.47619048] ; [6.47619048 9.52380952],0
s3,1,0.117936,2.44452,[ 6 20] ; [7 8],[ 8.24390244 17.75609756] ; [ 4.75609756 10.24390244],0
a5,1,0.140917,2.167917,[18  9] ; [7 9],[15.69767442 11.30232558] ; [9.30232558 6.69767442],0
p7,1,0.167665,1.9037,[11 16] ; [10  6],[13.18604651 13.81395349] ; [7.81395349 8.18604651],0
n1,1,0.170904,1.875,[1 9] ; [2 3],[2. 8.] ; [1. 4.],0
b1,1,0.188536,1.729019,[13 14] ; [11  5],[15.06976744 11.93023256] ; [8.93023256 7.06976744],0
s5,1,0.200359,1.639759,[ 4 23] ; [ 5 11],[ 5.65116279 21.34883721] ; [ 3.34883721 12.65116279],0
b5,1,0.220095,1.503751,[17 10] ; [7 9],[15.06976744 11.93023256] ; [8.93023256 7.06976744],0
a8,1,0.224325,1.476488,[ 5 20] ; [ 1 15],[ 3.65853659 21.34146341] ; [ 2.34146341 13.65853659],0
p5,1,0.233081,1.421958,[ 3 24] ; [ 4 12],[ 4.39534884 22.60465116] ; [ 2.60465116 13.39534884],0
p1,1,0.273769,1.197762,[ 1 26] ; [ 2 14],[ 1.88372093 25.11627907] ; [ 1.11627907 14.88372093],0
a4,1,0.295177,1.095855,[11 16] ; [ 4 12],[ 9.41860465 17.58139535] ; [ 5.58139535 10.41860465],0
p9,1,0.30871,1.036187,[18  8] ; [8 7],[16.48780488  9.51219512] ; [9.51219512 5.48780488],0
v2,1,0.379631,0.771897,[15 11] ; [7 9],[13.61904762 12.38095238] ; [8.38095238 7.61904762],0
