Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.008365,6.953655,[6 1] ; [28 52],[2.73563218 4.26436782] ; [31.26436782 48.73563218],0
b3,1,0.008365,6.953655,[6 1] ; [28 52],[2.73563218 4.26436782] ; [31.26436782 48.73563218],0
p3,1,0.011359,6.408235,[8 8] ; [ 35 127],[ 3.86516854 12.13483146] ; [ 39.13483146 122.86516854],0
p4,1,0.016,5.802864,[9 7] ; [ 44 117],[ 4.79096045 11.20903955] ; [ 48.20903955 112.79096045],0
p9,1,0.037,4.3504,[15  1] ; [109  49],[11.40229885  4.59770115] ; [112.59770115  45.40229885],0
a6,1,0.052178,3.770046,[13  3] ; [91 71],[9.34831461 6.65168539] ; [94.65168539 67.34831461],0
a7,1,0.057737,3.601234,[13  3] ; [92 70],[9.43820225 6.56179775] ; [95.56179775 66.43820225],0
r4,1,0.079408,3.076969,[15  1] ; [120  42],[12.13483146  3.86516854] ; [122.86516854  39.13483146],0
s7,1,0.081475,3.035225,[7 8] ; [ 40 116],[ 4.12280702 10.87719298] ; [ 42.87719298 113.12280702],0
d3,1,0.085717,2.953016,[9 7] ; [ 56 106],[ 5.84269663 10.15730337] ; [ 59.15730337 102.84269663],0
s6,1,0.085937,2.948882,[11  5] ; [74 86],[7.72727273 8.27272727] ; [77.27272727 82.72727273],0
n2,1,0.097536,2.745378,[1 2] ; [39 12],[2.22222222 0.77777778] ; [37.77777778 13.22222222],0
u2,1,0.103053,2.657656,[6 2] ; [34 42],[3.80952381 4.19047619] ; [36.19047619 39.80952381],0
u3,1,0.128277,2.313231,[6 2] ; [36 41],[3.95294118 4.04705882] ; [38.04705882 38.95294118],0
u1,1,0.137064,2.210611,[ 1 15] ; [  2 160],[ 0.26966292 15.73033708] ; [  2.73033708 159.26966292],0
b5,1,0.202385,1.625079,[12  4] ; [95 67],[9.61797753 6.38202247] ; [97.38202247 64.61797753],0
v2,1,0.223542,1.481485,[8 8] ; [ 53 100],[ 5.77514793 10.22485207] ; [55.22485207 97.77514793],0
r3,1,0.23169,1.430455,[15  1] ; [132  29],[13.28813559  2.71186441] ; [133.71186441  27.28813559],0
n4,1,0.232962,1.422684,[13  3] ; [108  54],[10.87640449  5.12359551] ; [110.12359551  51.87640449],0
n1,1,0.287177,1.132808,[2 1] ; [18 32],[1.13207547 1.86792453] ; [18.86792453 31.13207547],0
v4,1,0.293566,1.103196,[15  1] ; [135  26],[13.55932203  2.44067797] ; [136.44067797  24.55932203],0
b1,1,0.315895,1.005868,[ 4 12] ; [ 61 101],[ 5.84269663 10.15730337] ; [ 59.15730337 102.84269663],0
r2,1,0.346882,0.884829,[15  1] ; [138  24],[13.75280899  2.24719101] ; [139.24719101  22.75280899],0
p11,1,0.362133,0.830482,[12  4] ; [103  59],[10.33707865  5.66292135] ; [104.66292135  57.33707865],0
v3,1,0.369033,0.806917,[ 6 10] ; [ 42 114],[ 4.46511628 11.53488372] ; [ 43.53488372 112.46511628],0
s3,1,0.385984,0.751555,[ 4 11] ; [60 98],[5.54913295 9.45086705] ; [58.45086705 99.54913295],0
s8,1,0.413247,0.669441,[ 5 11] ; [ 36 126],[ 3.68539326 12.31460674] ; [ 37.31460674 124.68539326],0
s2,1,0.432359,0.616478,[6 9] ; [ 48 111],[ 4.65517241 10.34482759] ; [ 49.34482759 109.65517241],0
v1,1,0.462501,0.539836,[8 8] ; [64 94],[6.62068966 9.37931034] ; [65.37931034 92.62068966],0
r1,1,0.495816,0.463881,[9 7] ; [105  57],[10.24719101  5.75280899] ; [103.75280899  58.24719101],0
p12,1,0.511316,0.431373,[ 1 15] ; [  5 155],[ 0.54545455 15.45454545] ; [  5.45454545 154.54545455],0
a4,1,0.535118,0.384663,[ 5 11] ; [ 39 122],[ 3.97740113 12.02259887] ; [ 40.02259887 120.97740113],0
b4,1,0.612882,0.256,[11  5] ; [101  61],[10.06741573  5.93258427] ; [101.93258427  60.06741573],0
d2,1,0.61894,0.24736,[ 2 14] ; [ 28 133],[ 2.71186441 13.28813559] ; [ 27.28813559 133.71186441],0
p10,1,0.642895,0.214976,[11  5] ; [100  59],[10.14857143  5.85142857] ; [100.85142857  58.14857143],0
n6,1,0.650778,0.204921,[12  4] ; [112  49],[11.20903955  4.79096045] ; [112.79096045  48.20903955],0
p1,1,0.683268,0.16647,[ 1 15] ; [ 15 146],[ 1.44632768 14.55367232] ; [ 14.55367232 146.44632768],0
a5,1,0.740794,0.10943,[8 8] ; [88 74],[8.62921348 7.37078652] ; [87.37078652 74.62921348],0
p8,1,0.764072,0.090083,[ 4 12] ; [ 35 126],[ 3.52542373 12.47457627] ; [ 35.47457627 125.52542373],0
a3,1,0.811298,0.057002,[8 8] ; [85 75],[8.45454545 7.54545455] ; [84.54545455 75.45454545],0
p5,1,0.81929,0.052193,[ 1 15] ; [  8 154],[ 0.80898876 15.19101124] ; [  8.19101124 153.80898876],0
s4,1,0.831818,0.045101,[ 3 13] ; [ 27 135],[ 2.69662921 13.30337079] ; [ 27.30337079 134.69662921],0
s5,1,0.851303,0.03514,[ 3 11] ; [ 30 125],[ 2.73372781 11.26627219] ; [ 30.26627219 124.73372781],0
d4,1,0.882485,0.021851,[9 7] ; [88 74],[8.71910112 7.28089888] ; [88.28089888 73.71910112],0
