Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,79.967615,[39 58] ; [426  90],[73.58075041 23.41924959] ; [391.41924959 124.58075041],1
n4,1,0.0,48.040402,[53 45] ; [438  79],[78.24065041 19.75934959] ; [412.75934959 104.24065041],1
p10,1,0.0,28.167709,[59 35] ; [440  74],[77.14802632 16.85197368] ; [421.85197368  92.14802632],1
p11,1,1e-06,25.203703,[57 41] ; [420  97],[76.0097561 21.9902439] ; [400.9902439 116.0097561],1
p9,1,1e-06,23.738589,[63 31] ; [445  66],[78.92892562 15.07107438] ; [429.07107438  81.92892562],1
s6,1,9.7e-05,15.203774,[52 45] ; [372 135],[68.09271523 28.90728477] ; [355.90728477 151.09271523],1
s7,1,0.000273,13.248392,[30 59] ; [270 224],[45.79759863 43.20240137] ; [254.20240137 239.79759863],1
p4,1,0.000282,13.187605,[45 52] ; [339 176],[60.8627451 36.1372549] ; [323.1372549 191.8627451],1
u1,1,0.000367,12.694064,[ 9 89] ; [133 384],[22.62764228 75.37235772] ; [119.37235772 397.62764228],1
p6,1,0.001204,10.484111,[20 73] ; [200 312],[33.81818182 59.18181818] ; [186.18181818 325.81818182],0
r4,1,0.001467,10.119155,[87 11] ; [498  19],[93.2195122  4.7804878] ; [491.7804878  25.2195122],0
s8,1,0.001899,9.644647,[33 65] ; [260 252],[47.07213115 50.92786885] ; [245.92786885 266.07213115],0
s5,1,0.002016,9.534877,[20 73] ; [191 309],[33.09106239 59.90893761] ; [177.90893761 322.09106239],0
p7,1,0.002265,9.320943,[47 45] ; [340 163],[59.83865546 32.16134454] ; [327.16134454 175.83865546],0
p3,1,0.002297,9.295429,[36 61] ; [278 237],[49.76797386 47.23202614] ; [264.23202614 250.76797386],0
s2,1,0.002617,9.056959,[37 60] ; [280 231],[50.57401316 46.42598684] ; [266.42598684 244.57401316],0
a5,1,0.003398,8.580641,[67 31] ; [421  96],[77.76260163 20.23739837] ; [410.23739837 106.76260163],0
d1,1,0.004785,7.958959,[60 38] ; [388 129],[71.38861789 26.61138211] ; [376.61138211 140.38861789],0
a4,1,0.006107,7.518325,[38 60] ; [278 238],[50.43648208 47.56351792] ; [265.56351792 250.43648208],0
v4,1,0.00729,7.200209,[89  8] ; [501  14],[93.5130719  3.4869281] ; [496.4869281  18.5130719],0
p2,1,0.009366,6.751753,[74 23] ; [445  69],[82.39443535 14.60556465] ; [436.60556465  77.39443535],0
d2,1,0.009573,6.712647,[43 55] ; [299 216],[54.67536705 43.32463295] ; [287.32463295 227.67536705],0
b1,1,0.010903,6.481039,[48 50] ; [183 334],[36.8097561 61.1902439] ; [194.1902439 322.8097561],0
v3,1,0.018603,5.538466,[27 62] ; [218 281],[37.08333333 51.91666667] ; [207.91666667 291.08333333],0
a8,1,0.023124,5.159195,[ 6 85] ; [ 72 387],[12.90545455 78.09454545] ; [ 65.09454545 393.90545455],0
s3,1,0.025641,4.98006,[44 52] ; [296 213],[53.95041322 42.04958678] ; [286.04958678 222.95041322],0
b2,1,0.037228,4.33994,[13 42] ; [122 197],[19.85294118 35.14705882] ; [115.14705882 203.85294118],0
b3,1,0.037228,4.33994,[13 42] ; [122 197],[19.85294118 35.14705882] ; [115.14705882 203.85294118],0
a3,1,0.038064,4.302166,[67 31] ; [402 113],[74.97879282 23.02120718] ; [394.02120718 120.97879282],0
p5,1,0.038204,4.295901,[ 5 90] ; [ 65 449],[10.91954023 84.08045977] ; [ 59.08045977 454.91954023],0
a2,1,0.038705,4.273788,[20 78] ; [159 358],[28.52357724 69.47642276] ; [150.47642276 366.52357724],0
r2,1,0.042852,4.10125,[92  6] ; [500  12],[95.10819672  2.89180328] ; [496.89180328  15.10819672],0
p8,1,0.044623,4.032813,[42 53] ; [282 227],[50.9602649 44.0397351] ; [273.0397351 235.9602649],0
u2,1,0.050558,3.822855,[22  8] ; [61 53],[17.29166667 12.70833333] ; [65.70833333 48.29166667],0
p12,1,0.065891,3.382532,[ 3 91] ; [ 45 469],[ 7.42105263 86.57894737] ; [ 40.57894737 473.42105263],0
r3,1,0.07884,3.088663,[91  6] ; [500  14],[93.82487725  3.17512275] ; [497.17512275  16.82487725],0
v1,1,0.078974,3.0859,[46 50] ; [291 214],[53.83028286 42.16971714] ; [283.16971714 221.83028286],0
n3,1,0.134559,2.239106,[20 12] ; [79 25],[23.29411765  8.70588235] ; [75.70588235 28.29411765],0
p1,1,0.182697,1.775547,[ 4 93] ; [ 41 473],[ 7.14402619 89.85597381] ; [ 37.85597381 476.14402619],0
s1,1,0.193607,1.689952,[ 5 90] ; [ 14 498],[ 2.97364086 92.02635914] ; [ 16.02635914 495.97364086],0
a1,1,0.240631,1.376895,[ 2 96] ; [ 24 493],[ 4.14308943 93.85691057] ; [ 21.85691057 495.14308943],0
d4,1,0.270454,1.214445,[86 12] ; [471  45],[88.90228013  9.09771987] ; [468.09771987  47.90228013],0
u4,1,0.320738,0.985935,[ 1 97] ; [ 14 503],[ 2.3902439 95.6097561] ; [ 12.6097561 504.3902439],0
n1,1,0.345031,0.891648,[10 23] ; [41 63],[12.28467153 20.71532847] ; [38.71532847 65.28467153],0
n2,1,0.354068,0.858824,[21 12] ; [75 29],[23.12408759  9.87591241] ; [72.87591241 31.12408759],0
