Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,4e-06,21.083749,[15 11] ; [16 90],[ 6.10606061 19.89393939] ; [24.89393939 81.10606061],1
p7,1,1.1e-05,19.312986,[18  8] ; [24 77],[ 8.5984252 17.4015748] ; [33.4015748 67.5984252],1
s6,1,0.000329,12.900112,[23  2] ; [55 49],[15.11627907  9.88372093] ; [62.88372093 41.11627907],1
p3,1,0.001296,10.34795,[15 10] ; [28 78],[ 8.20610687 16.79389313] ; [34.79389313 71.20610687],0
p4,1,0.004193,8.198235,[14 11] ; [27 76],[ 8.0078125 16.9921875] ; [32.9921875 70.0078125],0
v1,1,0.004295,8.154864,[17  9] ; [36 68],[10.6 15.4] ; [42.4 61.6],0
s2,1,0.006323,7.455837,[18  8] ; [41 63],[11.8 14.2] ; [47.2 56.8],0
s5,1,0.009123,6.798642,[12 12] ; [23 76],[ 6.82926829 17.17073171] ; [28.17073171 70.82926829],0
p9,1,0.017211,5.674711,[21  5] ; [58 47],[15.67938931 10.32061069] ; [63.32061069 41.67938931],0
p5,1,0.028743,4.782922,[ 5 21] ; [ 6 97],[ 2.21705426 23.78294574] ; [ 8.78294574 94.21705426],0
s7,1,0.032422,4.576043,[16 10] ; [37 60],[11.20325203 14.79674797] ; [41.79674797 55.20325203],0
s8,1,0.03379,4.505277,[14 10] ; [37 69],[ 9.41538462 14.58461538] ; [41.58461538 64.41538462],0
v2,1,0.043309,4.083285,[18  8] ; [47 53],[13.41269841 12.58730159] ; [51.58730159 48.41269841],0
n6,1,0.044891,4.022714,[22  3] ; [72 34],[17.9389313  7.0610687] ; [76.0610687 29.9389313],0
b2,1,0.054824,3.687445,[9 8] ; [19 48],[ 5.66666667 11.33333333] ; [22.33333333 44.66666667],0
b3,1,0.054824,3.687445,[9 8] ; [19 48],[ 5.66666667 11.33333333] ; [22.33333333 44.66666667],0
b5,1,0.08882,2.895625,[19  7] ; [58 48],[15.16666667 10.83333333] ; [61.83333333 44.16666667],0
a8,1,0.143859,2.136188,[ 5 19] ; [10 90],[ 2.90322581 21.09677419] ; [12.09677419 87.90322581],0
r3,1,0.149104,2.08139,[25  1] ; [91 15],[22.84848485  3.15151515] ; [93.15151515 12.84848485],0
r4,1,0.149104,2.08139,[25  1] ; [91 15],[22.84848485  3.15151515] ; [93.15151515 12.84848485],0
p12,1,0.151294,2.059153,[ 4 22] ; [ 7 98],[ 2.18320611 23.81679389] ; [ 8.81679389 96.18320611],0
u3,1,0.163309,1.943311,[9 2] ; [23 16],[7.04 3.96] ; [24.96 14.04],0
v4,1,0.211594,1.560489,[25  1] ; [93 13],[23.24242424  2.75757576] ; [94.75757576 11.24242424],0
p10,1,0.246001,1.345871,[18  8] ; [59 45],[15.4 10.6] ; [61.6 42.4],0
