Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,37.279234,[39 69] ; [164  67],[64.67256637 43.32743363] ; [138.32743363  92.67256637],1
a6,1,0.0,34.675826,[45 63] ; [173  59],[69.24705882 38.75294118] ; [148.75294118  83.24705882],1
d5,1,0.0,26.889522,[59 49] ; [189  43],[78.77647059 29.22352941] ; [169.22352941  62.77647059],1
d4,1,1.7e-05,18.527033,[65 43] ; [190  42],[81. 27.] ; [174.  58.],1
r1,1,4.1e-05,16.80589,[57 51] ; [172  57],[73.38872404 34.61127596] ; [155.61127596  73.38872404],1
r3,1,9.2e-05,15.291261,[84 24] ; [214  17],[94.9380531 13.0619469] ; [203.0619469  27.9380531],1
r4,1,0.000139,14.51111,[71 37] ; [195  37],[84.49411765 23.50588235] ; [181.50588235  50.49411765],1
u1,1,0.00046,12.271008,[  1 107] ; [ 29 203],[ 9.52941176 98.47058824] ; [ 20.47058824 211.52941176],1
v4,1,0.0009,11.022799,[84 24] ; [210  21],[93.66371681 14.33628319] ; [200.33628319  30.66371681],1
d1,1,0.001533,10.038058,[36 72] ; [120 112],[49.55294118 58.44705882] ; [106.44705882 125.55294118],0
a2,1,0.002581,9.082496,[  6 102] ; [ 41 191],[14.92941176 93.07058824] ; [ 32.07058824 199.92941176],0
p2,1,0.003161,8.712297,[67 39] ; [182  50],[78.0887574 27.9112426] ; [170.9112426  61.0887574],0
a3,1,0.005769,7.621063,[47 60] ; [138  92],[58.7388724 48.2611276] ; [126.2611276 103.7388724],0
a5,1,0.006411,7.431007,[54 54] ; [152  80],[65.43529412 42.56470588] ; [140.56470588  91.43529412],0
p4,1,0.006992,7.274983,[35 71] ; [113 119],[46.41420118 59.58579882] ; [101.58579882 130.41420118],0
p10,1,0.013414,6.113692,[61 44] ; [165  65],[70.8358209 34.1641791] ; [155.1641791  74.8358209],0
u3,1,0.015911,5.812672,[23 38] ; [53 39],[30.30065359 30.69934641] ; [45.69934641 46.30065359],0
s5,1,0.016891,5.707622,[30 73] ; [ 40 188],[21.78247734 81.21752266] ; [ 48.21752266 179.78247734],0
b5,1,0.019911,5.419687,[56 52] ; [151  81],[65.75294118 42.24705882] ; [141.24705882  90.75294118],0
u2,1,0.043774,4.06526,[21 39] ; [48 45],[27.05882353 32.94117647] ; [41.94117647 51.05882353],0
r2,1,0.053161,3.738853,[87 20] ; [203  25],[92.62686567 14.37313433] ; [197.37313433  30.62686567],0
p5,1,0.064843,3.408965,[ 8 99] ; [  7 224],[  4.74852071 102.25147929] ; [ 10.25147929 220.74852071],0
s6,1,0.066789,3.360214,[41 62] ; [117 114],[48.7245509 54.2754491] ; [109.2754491 121.7245509],0
p9,1,0.07534,3.162672,[69 36] ; [172  57],[75.76347305 29.23652695] ; [165.23652695  63.76347305],0
s2,1,0.076557,3.136515,[21 86] ; [ 66 164],[27.6231454 79.3768546] ; [ 59.3768546 170.6231454],0
p3,1,0.124079,2.365063,[32 75] ; [ 89 142],[38.30473373 68.69526627] ; [ 82.69526627 148.30473373],0
p8,1,0.136328,2.218928,[38 69] ; [101 128],[44.26488095 62.73511905] ; [ 94.73511905 134.26488095],0
n3,1,0.187565,1.736644,[21 13] ; [47 16],[23.83505155 10.16494845] ; [44.16494845 18.83505155],0
b3,1,0.227308,1.45763,[26 42] ; [34 81],[22.29508197 45.70491803] ; [37.70491803 77.29508197],0
b2,1,0.227308,1.45763,[26 42] ; [34 81],[22.29508197 45.70491803] ; [37.70491803 77.29508197],0
n1,1,0.234346,1.414286,[ 9 26] ; [24 40],[11.66666667 23.33333333] ; [21.33333333 42.66666667],0
b1,1,0.250757,1.319079,[49 59] ; [ 90 142],[44.15294118 63.84705882] ; [ 94.84705882 137.15294118],0
n4,1,0.264392,1.245615,[64 44] ; [152  80],[68.61176471 39.38823529] ; [147.38823529  84.61176471],0
n6,1,0.270096,1.216258,[76 31] ; [177  54],[80.09171598 26.90828402] ; [172.90828402  58.09171598],0
s4,1,0.354839,0.856076,[13 95] ; [ 36 191],[15.79701493 92.20298507] ; [ 33.20298507 193.79701493],0
a1,1,0.362598,0.828876,[  6 102] ; [  8 224],[  4.44705882 103.55294118] ; [  9.55294118 222.44705882],0
p6,1,0.492195,0.471725,[23 79] ; [ 60 170],[25.5 76.5] ; [ 57.5 172.5],0
s8,1,0.513887,0.426143,[15 92] ; [ 39 193],[17.04424779 89.95575221] ; [ 36.95575221 195.04424779],0
u4,1,0.578511,0.308648,[  1 107] ; [  1 231],[  0.63529412 107.36470588] ; [  1.36470588 230.63529412],0
v2,1,0.586237,0.296259,[36 69] ; [ 83 139],[38.21100917 66.78899083] ; [ 80.78899083 141.21100917],0
s3,1,0.595191,0.282311,[36 70] ; [ 85 145],[38.17261905 67.82738095] ; [ 82.82738095 147.17261905],0
a8,1,0.622498,0.242373,[ 9 93] ; [ 23 194],[10.23197492 91.76802508] ; [ 21.76802508 195.23197492],0
p1,1,0.639064,0.219969,[  8 100] ; [ 14 217],[  7.00884956 100.99115044] ; [ 14.99115044 216.00884956],0
p7,1,0.659698,0.193891,[53 52] ; [121 107],[54.86486486 50.13513514] ; [119.13513514 108.86486486],0
n5,1,0.716399,0.131969,[69 37] ; [145  85],[67.51190476 38.48809524] ; [146.48809524  83.51190476],0
b4,1,0.74599,0.104931,[63 45] ; [131 101],[61.62352941 46.37647059] ; [132.37647059  99.62352941],0
a4,1,0.758446,0.09457,[39 67] ; [ 81 150],[37.74480712 68.25519288] ; [ 82.25519288 148.74480712],0
p11,1,0.773441,0.082873,[78 30] ; [171  61],[79.09411765 28.90588235] ; [169.90588235  62.09411765],0
v1,1,0.792872,0.06895,[41 66] ; [ 90 136],[42.09309309 64.90690691] ; [ 88.90690691 137.09309309],0
n2,1,0.847218,0.037121,[24 11] ; [42 21],[23.57142857 11.42857143] ; [42.42857143 20.57142857],0
p12,1,0.872293,0.02584,[  2 104] ; [  5 227],[  2.19526627 103.80473373] ; [  4.80473373 227.19526627],0
d2,1,0.895479,0.017259,[41 65] ; [ 88 144],[40.4556213 65.5443787] ; [ 88.5443787 143.4556213],0
s1,1,0.902047,0.015148,[  3 103] ; [  6 225],[  2.83086053 103.16913947] ; [  6.16913947 224.83086053],0
