Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n3,1,0.000329,12.900048,[ 4 14] ; [10  1],[8.68965517 9.31034483] ; [5.31034483 5.68965517],1
p3,1,0.002241,9.341038,[ 8 36] ; [16 15],[14.08 29.92] ; [ 9.92 21.08],0
r3,1,0.005098,7.844242,[22 23] ; [25  6],[27.82894737 17.17105263] ; [19.17105263 11.82894737],0
r4,1,0.005923,7.573707,[12 33] ; [18 13],[17.76315789 27.23684211] ; [12.23684211 18.76315789],0
p6,1,0.022953,5.17203,[ 4 39] ; [ 9 21],[ 7.65753425 35.34246575] ; [ 5.34246575 24.65753425],0
b2,1,0.027885,4.835165,[15 11] ; [ 3 11],[11.7 14.3] ; [6.3 7.7],0
b3,1,0.027885,4.835165,[15 11] ; [ 3 11],[11.7 14.3] ; [6.3 7.7],0
p2,1,0.068014,3.33032,[18 27] ; [19 12],[21.90789474 23.09210526] ; [15.09210526 15.90789474],0
p4,1,0.074592,3.178964,[12 33] ; [14 16],[15.6 29.4] ; [10.4 19.6],0
s3,1,0.074865,3.172995,[13 31] ; [15 15],[16.64864865 27.35135135] ; [11.35135135 18.64864865],0
a1,1,0.085202,2.962766,[ 7 38] ; [ 1 30],[ 4.73684211 40.26315789] ; [ 3.26315789 27.73684211],0
a6,1,0.102286,2.669534,[19 26] ; [19 12],[22.5 22.5] ; [15.5 15.5],0
s2,1,0.106932,2.598989,[11 34] ; [13 18],[14.21052632 30.78947368] ; [ 9.78947368 21.21052632],0
b5,1,0.122186,2.389079,[24 21] ; [22  9],[27.23684211 17.76315789] ; [18.76315789 12.23684211],0
n2,1,0.137276,2.208236,[ 8 10] ; [8 3],[9.93103448 8.06896552] ; [6.06896552 4.93103448],0
n5,1,0.141548,2.161051,[28 17] ; [14 17],[24.86842105 20.13157895] ; [17.13157895 13.86842105],0
a4,1,0.142149,2.154536,[17 27] ; [ 7 24],[14.08 29.92] ; [ 9.92 21.08],0
v4,1,0.161301,1.961989,[28 17] ; [24  7],[30.78947368 14.21052632] ; [21.21052632  9.78947368],0
p8,1,0.208855,1.579346,[ 7 38] ; [ 8 21],[ 9.12162162 35.87837838] ; [ 5.87837838 23.12162162],0
s6,1,0.215304,1.535396,[11 34] ; [11 18],[13.37837838 31.62162162] ; [ 8.62162162 20.37837838],0
v2,1,0.225658,1.468021,[10 34] ; [11 20],[12.32 31.68] ; [ 8.68 22.32],0
u2,1,0.263107,1.252336,[ 7 18] ; [6 7],[ 8.55263158 16.44736842] ; [4.44736842 8.55263158],0
b4,1,0.286443,1.136265,[23 22] ; [12 19],[20.72368421 24.27631579] ; [14.27631579 16.72368421],0
a3,1,0.299651,1.075747,[20 25] ; [17 13],[22.2 22.8] ; [14.8 15.2],0
r2,1,0.326929,0.961023,[30 13] ; [24  6],[31.80821918 11.19178082] ; [22.19178082  7.80821918],0
u1,1,0.327747,0.957779,[ 4 41] ; [ 1 30],[ 2.96052632 42.03947368] ; [ 2.03947368 28.96052632],0
n1,1,0.331171,0.944312,[ 5 13] ; [5 6],[ 6.20689655 11.79310345] ; [3.79310345 7.20689655],0
n6,1,0.331856,0.941642,[24 21] ; [20 11],[26.05263158 18.94736842] ; [17.94736842 13.05263158],0
a8,1,0.411158,0.67545,[ 2 40] ; [ 3 28],[ 2.87671233 39.12328767] ; [ 2.12328767 28.87671233],0
