Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,38.804024,[333  43] ; [58 36],[312.8  63.2] ; [78.2 15.8],1
p9,1,0.0,30.673015,[341  34] ; [65 29],[324.62686567  50.37313433] ; [81.37313433 12.62686567],1
p8,1,2e-06,22.534652,[223 147] ; [31 63],[202.54310345 167.45689655] ; [51.45689655 42.54310345],1
p2,1,3e-06,21.959075,[331  47] ; [65 31],[315.79746835  62.20253165] ; [80.20253165 15.79746835],1
n5,1,3.7e-05,17.00023,[300  78] ; [56 39],[284.49894292  93.50105708] ; [71.50105708 23.49894292],1
p7,1,0.000182,14.005782,[264 106] ; [48 46],[248.79310345 121.20689655] ; [63.20689655 30.79310345],1
n6,1,0.000264,13.311547,[337  41] ; [71 24],[326.05496829  51.94503171] ; [81.94503171 13.05496829],1
n4,1,0.00066,11.597661,[311  70] ; [63 33],[298.72955975  82.27044025] ; [75.27044025 20.72955975],1
r4,1,0.0034,8.579391,[366  17] ; [85 12],[359.86041667  23.13958333] ; [91.13958333  5.86041667],0
b1,1,0.004083,8.246381,[122 261] ; [46 51],[134.05 248.95] ; [33.95 63.05],0
p12,1,0.007805,7.0776,[ 41 335] ; [ 2 93],[ 34.32696391 341.67303609] ; [ 8.67303609 86.32696391],0
v4,1,0.0094,6.745155,[371  10] ; [89  8],[366.65271967  14.34728033] ; [93.34728033  3.65271967],0
p3,1,0.014373,5.991766,[218 160] ; [42 54],[207.34177215 170.65822785] ; [52.65822785 43.34177215],0
p5,1,0.014865,5.932414,[ 49 330] ; [ 4 92],[ 42.28842105 336.71157895] ; [10.71157895 85.28842105],0
r3,1,0.017495,5.646026,[375   5] ; [91  5],[372.01680672   7.98319328] ; [93.98319328  2.01680672],0
s4,1,0.018445,5.55335,[ 47 331] ; [21 75],[ 54.2278481 323.7721519] ; [13.7721519 82.2278481],0
p4,1,0.036975,4.351571,[241 134] ; [50 45],[232.18085106 142.81914894] ; [58.81914894 36.18085106],0
v3,1,0.064953,3.406174,[220 153] ; [45 48],[212.11373391 160.88626609] ; [52.88626609 40.11373391],0
s1,1,0.071125,3.256859,[  5 369] ; [ 4 92],[  7.16170213 366.83829787] ; [ 1.83829787 94.16170213],0
a2,1,0.09124,2.85235,[ 94 289] ; [32 65],[100.5375 282.4625] ; [25.4625 71.5375],0
