Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.005289,7.777778,[ 4 10] ; [16  5],[8. 6.] ; [12.  9.],0
r4,1,0.02231,5.221445,[ 2 12] ; [11 10],[5.2 8.8] ; [ 7.8 13.2],0
p3,1,0.070655,3.267747,[ 1 13] ; [ 7 14],[ 3.2 10.8] ; [ 4.8 16.2],0
n3,1,0.078983,3.085714,[4 1] ; [2 5],[2.5 2.5] ; [3.5 3.5],0
s5,1,0.104756,2.631595,[ 1 13] ; [ 6 14],[ 2.88235294 11.11764706] ; [ 4.11764706 15.88235294],0
a8,1,0.106312,2.608199,[5 8] ; [ 3 18],[3.05882353 9.94117647] ; [ 4.94117647 16.05882353],0
d5,1,0.139135,2.1875,[9 5] ; [18  3],[10.8  3.2] ; [16.2  4.8],0
s3,1,0.152419,2.047874,[ 3 10] ; [10 11],[4.97058824 8.02941176] ; [ 8.02941176 12.97058824],0
a5,1,0.190732,1.711957,[11  3] ; [12  9],[9.2 4.8] ; [13.8  7.2],0
a6,1,0.198674,1.652098,[7 7] ; [15  6],[8.8 5.2] ; [13.2  7.8],0
r1,1,0.214006,1.544118,[5 9] ; [12  9],[6.8 7.2] ; [10.2 10.8],0
d1,1,0.259796,1.269841,[ 4 10] ; [10 11],[5.6 8.4] ; [ 8.4 12.6],0
p11,1,0.267783,1.22807,[8 6] ; [ 8 13],[6.4 7.6] ; [ 9.6 11.4],0
a2,1,0.300623,1.071429,[ 4 10] ; [ 3 18],[ 2.8 11.2] ; [ 4.2 16.8],0
u1,1,0.324127,0.972222,[ 2 12] ; [ 1 20],[ 1.2 12.8] ; [ 1.8 19.2],0
s6,1,0.331974,0.941183,[ 4 10] ; [ 9 11],[5.35294118 8.64705882] ; [ 7.64705882 12.35294118],0
a4,1,0.383057,0.76087,[6 8] ; [ 6 15],[4.8 9.2] ; [ 7.2 13.8],0
p2,1,0.407434,0.686275,[6 8] ; [12  9],[7.2 6.8] ; [10.8 10.2],0
v2,1,0.485667,0.486111,[5 9] ; [10 11],[6. 8.] ; [ 9. 12.],0
s8,1,0.510961,0.432099,[ 4 10] ; [ 4 17],[ 3.2 10.8] ; [ 4.8 16.2],0
s1,1,0.515252,0.423387,[ 1 13] ; [ 3 18],[ 1.6 12.4] ; [ 2.4 18.6],0
a1,1,0.515252,0.423387,[ 1 13] ; [ 3 18],[ 1.6 12.4] ; [ 2.4 18.6],0
s7,1,0.531403,0.391708,[ 2 10] ; [ 5 14],[2.70967742 9.29032258] ; [ 4.29032258 14.70967742],0
n2,1,0.558185,0.342857,[2 3] ; [4 3],[2.5 2.5] ; [3.5 3.5],0
v1,1,0.560891,0.338164,[ 4 10] ; [ 8 13],[4.8 9.2] ; [ 7.2 13.8],0
p4,1,0.560891,0.338164,[ 4 10] ; [ 8 13],[4.8 9.2] ; [ 7.2 13.8],0
d2,1,0.580758,0.305011,[6 8] ; [11 10],[6.8 7.2] ; [10.2 10.8],0
b5,1,0.580758,0.305011,[8 6] ; [10 11],[7.2 6.8] ; [10.8 10.2],0
b4,1,0.635738,0.224359,[11  3] ; [15  6],[10.4  3.6] ; [15.6  5.4],0
v3,1,0.635738,0.224359,[ 3 11] ; [ 6 15],[ 3.6 10.4] ; [ 5.4 15.6],0
r3,1,0.654865,0.199821,[9 4] ; [16  5],[9.55882353 3.44117647] ; [15.44117647  5.55882353],0
p7,1,0.65564,0.198864,[5 9] ; [ 6 15],[4.4 9.6] ; [ 6.6 14.4],0
b1,1,0.677726,0.172697,[7 7] ; [12  9],[7.6 6.4] ; [11.4  9.6],0
n1,1,0.678845,0.171429,[2 3] ; [2 5],[1.66666667 3.33333333] ; [2.33333333 4.66666667],0
n6,1,0.681314,0.168651,[6 8] ; [10 10],[6.58823529 7.41176471] ; [ 9.41176471 10.58823529],0
p5,1,0.724159,0.124542,[ 1 12] ; [ 1 20],[ 0.76470588 12.23529412] ; [ 1.23529412 19.76470588],0
n5,1,0.77816,0.079365,[8 6] ; [13  8],[8.4 5.6] ; [12.6  8.4],0
p8,1,0.801106,0.063462,[4 9] ; [ 7 13],[4.33333333 8.66666667] ; [ 6.66666667 13.33333333],0
u2,1,0.818971,0.052381,[2 3] ; [2 4],[1.81818182 3.18181818] ; [2.18181818 3.81818182],0
p10,1,0.850768,0.035396,[6 7] ; [ 9 12],[5.73529412 7.26470588] ; [ 9.26470588 11.73529412],0
p6,1,0.869467,0.027006,[ 3 11] ; [ 5 16],[ 3.2 10.8] ; [ 4.8 16.2],0
b2,1,0.88242,0.021875,[2 7] ; [3 9],[2.14285714 6.85714286] ; [2.85714286 9.14285714],0
b3,1,0.88242,0.021875,[2 7] ; [3 9],[2.14285714 6.85714286] ; [2.85714286 9.14285714],0
d4,1,0.884411,0.021135,[9 5] ; [14  7],[9.2 4.8] ; [13.8  7.2],0
n4,1,0.886436,0.020396,[9 5] ; [13  8],[8.8 5.2] ; [13.2  7.8],0
a3,1,0.891284,0.018681,[9 4] ; [15  6],[9.17647059 3.82352941] ; [14.82352941  6.17647059],0
p9,1,0.933708,0.006919,[7 6] ; [11 10],[6.88235294 6.11764706] ; [11.11764706  9.88235294],0
