Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,33.396938,[115  35] ; [28 47],[95.33333333 54.66666667] ; [47.66666667 27.33333333],1
p9,1,2e-06,22.597333,[121  30] ; [37 38],[105.56637168  45.43362832] ; [52.43362832 22.56637168],1
r3,1,4e-06,21.149628,[137  15] ; [51 27],[124.24347826  27.75652174] ; [63.75652174 14.24347826],1
b1,1,9e-06,19.728057,[ 53 100] ; [51 27],[68.88311688 84.11688312] ; [35.11688312 42.88311688],1
v4,1,1.9e-05,18.250524,[140  11] ; [56 22],[129.24017467  21.75982533] ; [66.75982533 11.24017467],1
p2,1,2.7e-05,17.643449,[125  27] ; [44 34],[111.68695652  40.31304348] ; [57.31304348 20.68695652],1
r4,1,3.1e-05,17.325642,[124  29] ; [43 35],[110.61038961  42.38961039] ; [56.38961039 21.61038961],1
n6,1,8.8e-05,15.369304,[123  30] ; [43 34],[110.42608696  42.57391304] ; [55.57391304 21.42608696],1
p8,1,0.000124,14.725961,[73 78] ; [17 60],[59.60526316 91.39473684] ; [30.39473684 46.60526316],1
s6,1,0.002204,9.371617,[90 59] ; [30 47],[79.11504425 69.88495575] ; [40.88495575 36.11504425],0
a6,1,0.021927,5.251541,[91 62] ; [34 44],[82.79220779 70.20779221] ; [42.20779221 35.79220779],0
a1,1,0.031827,4.607805,[  4 149] ; [ 7 71],[  7.28571429 145.71428571] ; [ 3.71428571 74.28571429],0
v3,1,0.032172,4.589325,[ 21 131] ; [19 56],[ 26.78414097 125.21585903] ; [13.21585903 61.78414097],0
n3,1,0.042685,4.107846,[28  9] ; [15 14],[24.10606061 12.89393939] ; [18.89393939 10.10606061],0
r2,1,0.045815,3.988376,[131  21] ; [59 19],[125.56521739  26.43478261] ; [64.43478261 13.56521739],0
p6,1,0.050502,3.824704,[ 41 110] ; [12 65],[ 35.10087719 115.89912281] ; [17.89912281 59.10087719],0
s3,1,0.054532,3.69635,[78 73] ; [29 47],[71.17621145 79.82378855] ; [35.82378855 40.17621145],0
s8,1,0.057801,3.599396,[ 43 109] ; [13 64],[ 37.17030568 114.82969432] ; [18.82969432 58.17030568],0
n4,1,0.070666,3.267493,[104  49] ; [43 34],[97.78695652 55.21304348] ; [49.21304348 27.78695652],0
s7,1,0.07715,3.12395,[56 89] ; [20 55],[50.09090909 94.90909091] ; [25.90909091 49.09090909],0
u2,1,0.088785,2.896266,[39 35] ; [14 25],[34.7079646 39.2920354] ; [18.2920354 20.7079646],0
s1,1,0.089123,2.890141,[  7 145] ; [ 8 68],[ 10. 142.] ; [ 5. 71.],0
p7,1,0.089863,2.876826,[81 65] ; [34 44],[74.95535714 71.04464286] ; [40.04464286 37.95535714],0
p4,1,0.093102,2.819909,[73 79] ; [28 49],[67.03930131 84.96069869] ; [33.96069869 43.03930131],0
u3,1,0.099515,2.713307,[40 33] ; [15 24],[35.84821429 37.15178571] ; [19.15178571 19.84821429],0
s5,1,0.108115,2.581557,[ 40 108] ; [13 62],[ 35.17488789 112.82511211] ; [17.82511211 57.17488789],0
p3,1,0.116345,2.465847,[57 96] ; [21 57],[ 51.66233766 101.33766234] ; [26.33766234 51.66233766],0
d4,1,0.122905,2.3799,[87 66] ; [36 42],[81.46753247 71.53246753] ; [41.53246753 36.46753247],0
p12,1,0.138284,2.196954,[  8 143] ; [ 1 77],[  5.93449782 145.06550218] ; [ 3.06550218 74.93449782],0
n1,1,0.138825,2.190939,[19 18] ; [10 20],[16.01492537 20.98507463] ; [12.98507463 17.01492537],0
a5,1,0.151294,2.059155,[80 73] ; [33 45],[74.84415584 78.15584416] ; [38.15584416 39.84415584],0
n5,1,0.164667,1.930836,[103  48] ; [46 32],[98.2489083 52.7510917] ; [50.7510917 27.2489083],0
r1,1,0.170537,1.878216,[92 61] ; [39 38],[87.14347826 65.85652174] ; [43.85652174 33.14347826],0
d5,1,0.176995,1.822676,[80 73] ; [33 44],[75.16956522 77.83043478] ; [37.83043478 39.16956522],0
d2,1,0.222143,1.490475,[ 25 127] ; [18 60],[ 28.4173913 123.5826087] ; [14.5826087 63.4173913],0
a8,1,0.225406,1.469616,[ 24 119] ; [ 8 67],[ 20.99082569 122.00917431] ; [11.00917431 63.99082569],0
s2,1,0.314188,1.012988,[61 91] ; [26 52],[57.49565217 94.50434783] ; [29.50434783 48.49565217],0
n2,1,0.314472,1.011799,[28  9] ; [20 11],[26.11764706 10.88235294] ; [21.88235294  9.11764706],0
b4,1,0.324621,0.970236,[85 68] ; [38 40],[81.46753247 71.53246753] ; [41.53246753 36.46753247],0
a4,1,0.489083,0.478544,[ 42 110] ; [18 59],[ 39.82532751 112.17467249] ; [20.17467249 56.82532751],0
a2,1,0.547655,0.361536,[ 11 142] ; [ 4 74],[  9.93506494 143.06493506] ; [ 5.06493506 72.93506494],0
v1,1,0.596821,0.279818,[54 96] ; [25 52],[52.20264317 97.79735683] ; [26.79735683 50.20264317],0
d3,1,0.644229,0.213253,[ 53 100] ; [24 52],[ 51.44541485 101.55458515] ; [25.55458515 50.44541485],0
b3,1,0.831065,0.045512,[27 61] ; [13 32],[26.46616541 61.53383459] ; [13.53383459 31.46616541],0
b2,1,0.831065,0.045512,[27 61] ; [13 32],[26.46616541 61.53383459] ; [13.53383459 31.46616541],0
p5,1,0.832802,0.044567,[ 13 138] ; [ 6 71],[ 12.58333333 138.41666667] ; [ 6.41666667 70.58333333],0
a7,1,0.881673,0.022156,[89 64] ; [44 33],[88.47391304 64.52608696] ; [44.52608696 32.47391304],0
a3,1,0.890796,0.01885,[79 74] ; [38 37],[78.51315789 74.48684211] ; [38.48684211 36.51315789],0
s4,1,0.908502,0.013209,[ 30 121] ; [15 63],[ 29.67248908 121.32751092] ; [15.32751092 62.67248908],0
p1,1,0.929141,0.007908,[ 14 136] ; [ 7 71],[ 13.81578947 136.18421053] ; [ 7.18421053 70.81578947],0
b5,1,0.938103,0.00603,[93 60] ; [47 31],[92.72727273 60.27272727] ; [47.27272727 30.72727273],0
