Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,76.303042,[119  25] ; [ 1 31],[98.18181818 45.81818182] ; [21.81818182 10.18181818],1
v4,1,0.0,41.308001,[127  14] ; [13 19],[114.10404624  26.89595376] ; [25.89595376  6.10404624],1
r1,1,0.0,28.615049,[110  33] ; [ 9 23],[97.24 45.76] ; [21.76 10.24],1
p11,1,1e-06,24.653066,[92 52] ; [ 5 27],[79.36363636 64.63636364] ; [17.63636364 14.36363636],1
s6,1,2.2e-05,17.979658,[77 66] ; [ 4 28],[66.18857143 76.81142857] ; [14.81142857 17.18857143],1
p4,1,3.3e-05,17.229196,[65 77] ; [ 2 30],[54.67816092 87.32183908] ; [12.32183908 19.67816092],1
v2,1,4.2e-05,16.758125,[67 67] ; [ 3 28],[56.84848485 77.15151515] ; [13.15151515 17.84848485],1
p2,1,7.8e-05,15.608786,[102  41] ; [11 21],[92.33714286 50.66285714] ; [20.66285714 11.33714286],1
a1,1,0.000187,13.956188,[  5 139] ; [ 7 25],[  9.81818182 134.18181818] ; [ 2.18181818 29.81818182],1
s2,1,0.000253,13.388609,[63 80] ; [ 3 29],[53.93142857 89.06857143] ; [12.06857143 19.93142857],1
r2,1,0.000305,13.037325,[125  17] ; [19 12],[118.19653179  23.80346821] ; [25.80346821  5.19653179],1
p8,1,0.00075,11.359906,[58 84] ; [ 3 29],[49.7816092 92.2183908] ; [11.2183908 20.7816092],1
p10,1,0.001798,9.745426,[85 57] ; [ 9 22],[77.15606936 64.84393064] ; [16.84393064 14.15606936],0
p7,1,0.002252,9.331889,[74 66] ; [ 7 24],[66.31578947 73.68421053] ; [14.68421053 16.31578947],0
s3,1,0.002619,9.055404,[79 63] ; [ 8 23],[71.41040462 70.58959538] ; [15.58959538 15.41040462],0
d4,1,0.003707,8.422241,[111  31] ; [17 15],[104.45977011  37.54022989] ; [23.54022989  8.45977011],0
p9,1,0.004031,8.269832,[95 48] ; [12 19],[87.93678161 55.06321839] ; [19.06321839 11.93678161],0
s8,1,0.004647,8.011891,[ 44 100] ; [ 2 30],[ 37.63636364 106.36363636] ; [ 8.36363636 23.63636364],0
d5,1,0.005473,7.716143,[107  36] ; [16 16],[100.50857143  42.49142857] ; [22.49142857  9.50857143],0
b5,1,0.007618,7.121042,[91 53] ; [12 20],[84.27272727 59.72727273] ; [18.72727273 13.27272727],0
u3,1,0.00888,6.846717,[35 17] ; [ 4 10],[30.72727273 21.27272727] ; [8.27272727 5.72727273],0
n2,1,0.016938,5.702836,[36 13] ; [6 9],[32.15625 16.84375] ; [9.84375 5.15625],0
a5,1,0.018833,5.516975,[91 53] ; [13 19],[85.09090909 58.90909091] ; [18.90909091 13.09090909],0
p6,1,0.019046,5.497294,[ 35 104] ; [ 2 30],[ 30.07602339 108.92397661] ; [ 6.92397661 25.07602339],0
a6,1,0.020594,5.360795,[98 45] ; [15 17],[92.33714286 50.66285714] ; [20.66285714 11.33714286],0
b2,1,0.021696,5.270035,[19 63] ; [9 9],[22.96 59.04] ; [ 5.04 12.96],0
b3,1,0.021696,5.270035,[19 63] ; [9 9],[22.96 59.04] ; [ 5.04 12.96],0
n3,1,0.034941,4.448047,[33 14] ; [6 9],[29.56451613 17.43548387] ; [9.43548387 5.56451613],0
a7,1,0.035875,4.403049,[96 48] ; [15 17],[90.81818182 53.18181818] ; [20.18181818 11.81818182],0
d3,1,0.04078,4.185133,[90 52] ; [14 18],[84.87356322 57.12643678] ; [19.12643678 12.87356322],0
u2,1,0.048574,3.89001,[37 15] ; [6 8],[33.87878788 18.12121212] ; [9.12121212 4.87878788],0
d1,1,0.048863,3.880071,[68 76] ; [ 9 23],[63. 81.] ; [14. 18.],0
s7,1,0.050575,3.822298,[44 90] ; [ 4 24],[39.7037037 94.2962963] ; [ 8.2962963 19.7037037],0
p3,1,0.052724,3.752641,[52 90] ; [ 6 26],[47.33333333 94.66666667] ; [10.66666667 21.33333333],0
b1,1,0.176677,1.825354,[71 73] ; [20 12],[74.45454545 69.54545455] ; [16.54545455 15.45454545],0
n5,1,0.179557,1.801288,[57 85] ; [17 15],[60.3908046 81.6091954] ; [13.6091954 18.3908046],0
v1,1,0.256697,1.286482,[59 81] ; [10 22],[56.1627907 83.8372093] ; [12.8372093 19.1627907],0
s5,1,0.334665,0.930761,[ 27 109] ; [ 4 28],[ 25.0952381 110.9047619] ; [ 5.9047619 26.0952381],0
p1,1,0.379836,0.771234,[ 11 132] ; [ 4 28],[ 12.25714286 130.74285714] ; [ 2.74285714 29.25714286],0
a4,1,0.479763,0.499403,[49 95] ; [13 19],[50.72727273 93.27272727] ; [11.27272727 20.72727273],0
a8,1,0.491108,0.474097,[ 14 119] ; [ 2 29],[ 12.97560976 120.02439024] ; [ 3.02439024 27.97560976],0
n4,1,0.569447,0.323608,[73 71] ; [18 14],[74.45454545 69.54545455] ; [16.54545455 15.45454545],0
a3,1,0.592945,0.285769,[91 53] ; [18 13],[89.69142857 54.30857143] ; [19.30857143 11.69142857],0
v3,1,0.664616,0.187965,[34 99] ; [ 7 25],[33.04848485 99.95151515] ; [ 7.95151515 24.04848485],0
a2,1,0.688737,0.160456,[ 22 122] ; [ 4 28],[ 21.27272727 122.72727273] ; [ 4.72727273 27.27272727],0
n1,1,0.789205,0.071472,[17 30] ; [6 9],[17.43548387 29.56451613] ; [5.56451613 9.43548387],0
d2,1,0.861678,0.030359,[56 87] ; [12 20],[55.56571429 87.43428571] ; [12.43428571 19.56571429],0
s4,1,0.885756,0.020643,[ 24 120] ; [ 5 27],[ 23.72727273 120.27272727] ; [ 5.27272727 26.72727273],0
s1,1,0.899652,0.015901,[  8 133] ; [ 2 30],[  8.15028902 132.84971098] ; [ 1.84971098 30.15028902],0
b4,1,0.914837,0.011436,[78 66] ; [17 15],[77.72727273 66.27272727] ; [17.27272727 14.72727273],0
