Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,202.419038,[ 22 165] ; [335 123],[103.50232558  83.49767442] ; [253.49767442 204.50232558],1
d5,1,0.0,146.241636,[121  67] ; [451   9],[165.95061728  22.04938272] ; [406.04938272  53.95061728],1
d3,1,0.0,113.424214,[93 95] ; [406  54],[144.77160494  43.22839506] ; [354.22839506 105.77160494],1
a2,1,0.0,57.79065,[ 12 176] ; [164 296],[ 51.0617284 136.9382716] ; [124.9382716 335.0617284],1
a4,1,0.0,52.938028,[ 52 136] ; [271 187],[94. 94.] ; [229. 229.],1
a5,1,0.0,50.772988,[112  76] ; [392  68],[146.22222222  41.77777778] ; [357.77777778 102.22222222],1
u1,1,0.0,49.462773,[  8 180] ; [136 324],[ 41.77777778 146.22222222] ; [102.22222222 357.77777778],1
a3,1,1e-06,23.884067,[118  69] ; [372  86],[142.0620155  44.9379845] ; [347.9379845 110.0620155],1
a6,1,1.8e-05,18.443534,[106  82] ; [338 121],[129.01391036  58.98608964] ; [314.98608964 144.01391036],1
p4,1,0.000331,12.887508,[96 90] ; [305 152],[115.99688958  70.00311042] ; [285.00311042 171.99688958],1
r1,1,0.000343,12.8215,[137  51] ; [389  69],[153.07739938  34.92260062] ; [372.92260062  85.07739938],1
n4,1,0.00083,11.172087,[137  50] ; [389  71],[152.02782071  34.97217929] ; [373.97217929  86.02782071],1
s8,1,0.001255,10.407932,[ 69 118] ; [232 224],[87.53810264 99.46189736] ; [213.46189736 242.53810264],0
r2,1,0.004537,8.055272,[169  16] ; [437  15],[175.99686028   9.00313972] ; [430.00313972  21.99686028],0
a7,1,0.007833,7.071293,[125  62] ; [354 106],[138.44358578  48.55641422] ; [340.55641422 119.44358578],0
v3,1,0.014234,6.0089,[ 65 122] ; [199 240],[ 78.86261981 108.13738019] ; [185.13738019 253.86261981],0
v2,1,0.018275,5.569551,[94 87] ; [276 168],[107.152  73.848] ; [262.848 181.152],0
n5,1,0.018481,5.549969,[137  49] ; [376  83],[147.93488372  38.06511628] ; [365.06511628  93.93488372],0
s2,1,0.0189,5.510778,[ 86 101] ; [255 199],[99.48049922 87.51950078] ; [241.51950078 212.48049922],0
r4,1,0.023365,5.141158,[163  25] ; [425  35],[170.59259259  17.40740741] ; [417.40740741  42.59259259],0
u4,1,0.025927,4.960897,[  1 187] ; [ 17 442],[  5.23029366 182.76970634] ; [ 12.76970634 446.23029366],0
p3,1,0.02705,4.88764,[ 84 104] ; [249 210],[96.76043277 91.23956723] ; [236.23956723 222.76043277],0
s3,1,0.032425,4.5759,[91 95] ; [263 189],[103.20376176  82.79623824] ; [250.79623824 201.20376176],0
v4,1,0.037607,4.322697,[174  13] ; [443  15],[178.88217054   8.11782946] ; [438.11782946  19.88217054],0
s7,1,0.04107,4.173131,[82 99] ; [239 201],[93.56038647 87.43961353] ; [227.43961353 212.56038647],0
p12,1,0.069658,3.291072,[ 10 175] ; [ 45 413],[ 15.82426128 169.17573872] ; [ 39.17573872 418.82426128],0
p6,1,0.071149,3.256302,[ 62 123] ; [187 267],[ 72.08920188 112.91079812] ; [176.91079812 277.08920188],0
v1,1,0.080058,3.063724,[92 92] ; [257 189],[101.93015873  82.06984127] ; [247.06984127 198.93015873],0
p1,1,0.094462,2.796634,[ 10 176] ; [ 43 416],[ 15.28372093 170.71627907] ; [ 37.71627907 421.28372093],0
p9,1,0.12394,2.366807,[154  31] ; [397  55],[160.02354788  24.97645212] ; [390.97645212  61.02354788],0
n2,1,0.206295,1.597236,[34  9] ; [68 31],[30.88732394 12.11267606] ; [71.11267606 27.88732394],0
p10,1,0.222912,1.485529,[149  35] ; [388  69],[154.14664587  29.85335413] ; [382.85335413  74.14664587],0
u3,1,0.229813,1.442017,[36 32] ; [55 33],[39.66666667 28.33333333] ; [51.33333333 36.66666667],0
p8,1,0.284131,1.147223,[96 91] ; [253 199],[102.13302034  84.86697966] ; [246.86697966 205.13302034],0
s5,1,0.314741,1.010676,[ 61 119] ; [168 272],[ 66.48387097 113.51612903] ; [162.51612903 277.48387097],0
s4,1,0.390096,0.738641,[ 27 159] ; [ 78 373],[ 30.65934066 155.34065934] ; [ 74.34065934 376.65934066],0
b2,1,0.505467,0.44344,[46 57] ; [119 172],[43.13451777 59.86548223] ; [121.86548223 169.13451777],0
b3,1,0.505467,0.44344,[46 57] ; [119 172],[43.13451777 59.86548223] ; [121.86548223 169.13451777],0
r3,1,0.53112,0.392248,[179   9] ; [440  17],[180.42170543   7.57829457] ; [438.57829457  18.42170543],0
a8,1,0.596162,0.280824,[ 28 151] ; [ 57 351],[ 25.91993186 153.08006814] ; [ 59.08006814 348.91993186],0
p2,1,0.612512,0.256534,[155  32] ; [387  71],[157.1379845  29.8620155] ; [384.8620155  73.1379845],0
b4,1,0.61405,0.254319,[116  72] ; [274 186],[113.14814815  74.85185185] ; [276.85185185 183.14814815],0
s1,1,0.667774,0.184218,[  6 179] ; [ 12 445],[  5.18691589 179.81308411] ; [ 12.81308411 444.18691589],0
