Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.002143,9.423212,[29 84] ; [38 43],[39.0257732 73.9742268] ; [27.9742268 53.0257732],0
a5,1,0.002853,8.899318,[63 50] ; [62 19],[72.80927835 40.19072165] ; [52.19072165 28.80927835],0
s5,1,0.006629,7.37092,[38 74] ; [12 63],[29.94652406 82.05347594] ; [20.05347594 54.94652406],0
a2,1,0.009136,6.795986,[ 11 102] ; [19 62],[17.4742268 95.5257732] ; [12.5257732 68.4742268],0
s4,1,0.025156,5.013138,[25 88] ; [ 8 73],[19.22164948 93.77835052] ; [13.77835052 67.22164948],0
a3,1,0.039769,4.227696,[64 48] ; [58 23],[70.79792746 41.20207254] ; [51.20207254 29.79792746],0
s7,1,0.05171,3.785141,[32 78] ; [33 44],[38.23529412 71.76470588] ; [26.76470588 50.23529412],0
d2,1,0.061566,3.494699,[38 75] ; [38 43],[44.26804124 68.73195876] ; [31.73195876 49.26804124],0
a8,1,0.0637,3.438339,[ 5 99] ; [ 9 63],[ 8.27272727 95.72727273] ; [ 5.72727273 66.27272727],0
r4,1,0.064094,3.428135,[89 24] ; [72  9],[93.77835052 19.22164948] ; [67.22164948 13.77835052],0
d5,1,0.082548,3.014002,[79 33] ; [66 15],[84.14507772 27.85492228] ; [60.85492228 20.14507772],0
s1,1,0.104881,2.629715,[  2 111] ; [ 5 76],[  4.07731959 108.92268041] ; [ 2.92268041 78.07731959],0
b1,1,0.105523,2.620028,[36 77] ; [35 46],[41.3556701 71.6443299] ; [29.6443299 51.3556701],0
p11,1,0.139725,2.18099,[77 36] ; [63 18],[81.54639175 31.45360825] ; [58.45360825 22.54639175],0
b4,1,0.178263,1.812048,[66 47] ; [55 26],[70.47938144 42.52061856] ; [50.52061856 30.47938144],0
r1,1,0.184681,1.759547,[79 33] ; [64 17],[82.98445596 29.01554404] ; [60.01554404 20.98445596],0
p6,1,0.18701,1.741019,[27 83] ; [26 52],[31.0106383 78.9893617] ; [21.9893617 56.0106383],0
n3,1,0.262153,1.257353,[30 10] ; [15  2],[31.57894737  8.42105263] ; [13.42105263  3.57894737],0
b5,1,0.265692,1.238853,[65 48] ; [53 28],[68.73195876 44.26804124] ; [49.26804124 31.73195876],0
v3,1,0.282997,1.152643,[25 82] ; [24 55],[28.18817204 78.81182796] ; [20.81182796 58.18817204],0
a7,1,0.300578,1.071629,[90 22] ; [60 21],[87.04663212 24.95336788] ; [62.95336788 18.04663212],0
r3,1,0.316023,1.005337,[105   8] ; [78  3],[106.59278351   6.40721649] ; [76.40721649  4.59278351],0
p3,1,0.324928,0.969006,[45 68] ; [38 43],[48.34536082 64.65463918] ; [34.65463918 46.34536082],0
p1,1,0.3398,0.911186,[  7 105] ; [ 8 72],[  8.75 103.25] ; [ 6.25 73.75],0
s2,1,0.348667,0.878302,[48 65] ; [29 52],[44.85051546 68.14948454] ; [32.14948454 48.85051546],0
u3,1,0.349798,0.874191,[30 17] ; [12 11],[28.2 18.8] ; [13.8  9.2],0
s8,1,0.354217,0.858294,[36 77] ; [31 50],[39.0257732 73.9742268] ; [27.9742268 53.0257732],0
