Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.6e-05,18.638137,[225  73] ; [31 33],[210.74033149  87.25966851] ; [45.25966851 18.74033149],1
n4,1,0.000805,11.230606,[227  72] ; [36 29],[216.03571429  82.96428571] ; [46.96428571 18.03571429],1
r4,1,0.000899,11.025263,[268  32] ; [48 17],[259.7260274  40.2739726] ; [56.2739726  8.7260274],1
b1,1,0.005016,7.8737,[ 81 219] ; [29 36],[ 90.4109589 209.5890411] ; [19.5890411 45.4109589],0
r3,1,0.005821,7.60482,[289   9] ; [58  7],[284.86501377  13.13498623] ; [62.13498623  2.86501377],0
s5,1,0.006559,7.389973,[ 84 206] ; [ 8 56],[ 75.36723164 214.63276836] ; [16.63276836 47.36723164],0
p10,1,0.0081,7.011161,[240  56] ; [43 22],[232.04432133  63.95567867] ; [50.95567867 14.04432133],0
p9,1,0.021661,5.272813,[248  46] ; [47 18],[241.58774373  52.41225627] ; [53.41225627 11.58774373],0
r2,1,0.031985,4.599303,[275  22] ; [53 10],[270.6  26.4] ; [57.4  5.6],0
d1,1,0.034088,4.490275,[168 132] ; [27 38],[160.2739726 139.7260274] ; [34.7260274 30.2739726],0
v3,1,0.041665,4.14878,[ 99 190] ; [13 49],[ 92.21652422 196.78347578] ; [19.78347578 42.21652422],0
a5,1,0.045679,3.993395,[205  95] ; [36 29],[198.08219178 101.91780822] ; [42.91780822 22.08219178],0
a2,1,0.052152,3.770893,[ 58 242] ; [ 6 59],[ 52.60273973 247.39726027] ; [11.39726027 53.60273973],0
a4,1,0.067037,3.354111,[124 175] ; [19 46],[117.46428571 181.53571429] ; [25.53571429 39.46428571],0
u2,1,0.068018,3.330217,[51 45] ; [19  7],[55.08196721 40.91803279] ; [14.91803279 11.08196721],0
r1,1,0.077019,3.126701,[234  66] ; [44 21],[228.49315068  71.50684932] ; [49.50684932 15.49315068],0
n2,1,0.088162,2.907626,[56 20] ; [20  2],[58.93877551 17.06122449] ; [17.06122449  4.93877551],0
b2,1,0.100692,2.694552,[ 63 114] ; [ 8 29],[ 58.72429907 118.27570093] ; [12.27570093 24.72429907],0
b3,1,0.100692,2.694552,[ 63 114] ; [ 8 29],[ 58.72429907 118.27570093] ; [12.27570093 24.72429907],0
d2,1,0.111231,2.53664,[133 165] ; [22 43],[127.24517906 170.75482094] ; [27.75482094 37.24517906],0
s6,1,0.124686,2.357443,[184 110] ; [34 31],[178.52924791 115.47075209] ; [39.47075209 25.52924791],0
u3,1,0.12863,2.308957,[51 46] ; [18  8],[54.41463415 42.58536585] ; [14.58536585 11.41463415],0
s2,1,0.137833,2.20199,[136 159] ; [23 41],[130.6545961 164.3454039] ; [28.3454039 35.6545961],0
v4,1,0.149764,2.074651,[280  18] ; [56  7],[277.36288089  20.63711911] ; [58.63711911  4.36288089],0
u1,1,0.152608,2.04599,[ 37 263] ; [ 4 61],[ 33.69863014 266.30136986] ; [ 7.30136986 57.69863014],0
d4,1,0.154644,2.025835,[244  55] ; [48 17],[239.85714286  59.14285714] ; [52.14285714 12.85714286],0
n1,1,0.180602,1.792663,[26 51] ; [10 10],[28.57731959 48.42268041] ; [ 7.42268041 12.57731959],0
p2,1,0.201548,1.63112,[245  54] ; [48 16],[241.3415978  57.6584022] ; [51.6584022 12.3415978],0
s1,1,0.204054,1.613119,[  6 287] ; [ 3 59],[  7.42816901 285.57183099] ; [ 1.57183099 60.42816901],0
p6,1,0.210314,1.569265,[ 79 218] ; [12 51],[ 75.075 221.925] ; [15.925 47.075],0
d3,1,0.222152,1.490417,[208  92] ; [40 25],[203.83561644  96.16438356] ; [44.16438356 20.83561644],0
p8,1,0.222323,1.489313,[125 168] ; [22 42],[120.64705882 172.35294118] ; [26.35294118 37.64705882],0
a7,1,0.235594,1.406763,[211  88] ; [41 24],[207.  92.] ; [45. 20.],0
a3,1,0.235811,1.405465,[203  97] ; [39 26],[198.90410959 101.09589041] ; [43.09589041 21.90410959],0
a8,1,0.248893,1.329507,[ 44 234] ; [ 6 54],[ 41.12426036 236.87573964] ; [ 8.87573964 51.12426036],0
s7,1,0.25148,1.315065,[117 175] ; [20 42],[113.00564972 178.99435028] ; [23.99435028 38.00564972],0
a6,1,0.305403,1.050453,[200 100] ; [39 26],[196.43835616 103.56164384] ; [42.56164384 22.43835616],0
s8,1,0.333338,0.935887,[111 188] ; [20 45],[107.60714286 191.39285714] ; [23.39285714 41.60714286],0
d5,1,0.345393,0.890313,[229  71] ; [46 19],[226.02739726  73.97260274] ; [48.97260274 16.02739726],0
v1,1,0.349586,0.874959,[142 151] ; [26 36],[138.65915493 154.34084507] ; [29.34084507 32.65915493],0
p1,1,0.453647,0.561525,[ 16 282] ; [ 2 62],[ 14.81767956 283.18232044] ; [ 3.18232044 60.81767956],0
v2,1,0.485066,0.487453,[149 135] ; [29 32],[146.52753623 137.47246377] ; [31.47246377 29.52753623],0
b5,1,0.498188,0.458795,[185 115] ; [43 22],[187.39726027 112.60273973] ; [40.60273973 24.39726027],0
p7,1,0.610516,0.259424,[148 140] ; [33 27],[149.79310345 138.20689655] ; [31.20689655 28.79310345],0
s3,1,0.618563,0.247892,[148 145] ; [34 29],[149.79213483 143.20786517] ; [32.20786517 30.79213483],0
p12,1,0.674457,0.176432,[ 18 280] ; [ 3 61],[ 17.28729282 280.71270718] ; [ 3.71270718 60.28729282],0
p5,1,0.692155,0.156762,[ 15 283] ; [ 4 60],[ 15.64088398 282.35911602] ; [ 3.35911602 60.64088398],0
s4,1,0.817843,0.053047,[ 44 250] ; [ 9 56],[ 43.40389972 250.59610028] ; [ 9.59610028 55.40389972],0
p4,1,0.910159,0.012732,[114 184] ; [24 40],[113.60220994 184.39779006] ; [24.39779006 39.60220994],0
n3,1,0.928662,0.008015,[56 20] ; [16  6],[55.83673469 20.16326531] ; [16.16326531  5.83673469],0
u4,1,0.941252,0.005431,[  5 295] ; [ 1 64],[  4.93150685 295.06849315] ; [ 1.06849315 63.93150685],0
b4,1,0.944614,0.004826,[186 114] ; [40 25],[185.75342466 114.24657534] ; [40.24657534 24.75342466],0
