Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,41.360162,[ 11 112] ; [28 25],[27.25568182 95.74431818] ; [11.74431818 41.25568182],1
a1,1,0.01363,6.085477,[  1 122] ; [ 4 49],[  3.49431818 119.50568182] ; [ 1.50568182 51.49431818],0
p8,1,0.016788,5.718421,[80 42] ; [24 28],[72.91954023 49.08045977] ; [31.08045977 20.91954023],0
d5,1,0.023326,5.144034,[96 26] ; [33 20],[89.93142857 32.06857143] ; [39.06857143 13.93142857],0
s7,1,0.024054,5.090745,[26 88] ; [20 30],[31.97560976 82.02439024] ; [14.02439024 35.97560976],0
s1,1,0.048434,3.894853,[  2 120] ; [ 4 49],[  4.18285714 117.81714286] ; [ 1.81714286 51.18285714],0
a7,1,0.057536,3.607028,[87 35] ; [30 23],[81.56571429 40.43428571] ; [35.43428571 17.56571429],0
b4,1,0.065735,3.386443,[58 65] ; [33 20],[63.59659091 59.40340909] ; [27.40340909 25.59659091],0
n2,1,0.065986,3.380141,[17 10] ; [11  1],[19.38461538  7.61538462] ; [8.61538462 3.38461538],0
s8,1,0.070482,3.271763,[24 99] ; [17 36],[28.65340909 94.34659091] ; [12.34659091 40.65340909],0
p11,1,0.087229,2.924784,[104  19] ; [39 14],[99.9375 23.0625] ; [43.0625  9.9375],0
p1,1,0.088424,2.902834,[ 11 112] ; [ 1 52],[  8.38636364 114.61363636] ; [ 3.61363636 49.38636364],0
p10,1,0.099877,2.707506,[95 27] ; [35 18],[90.62857143 31.37142857] ; [39.37142857 13.62857143],0
v4,1,0.111099,2.538516,[117   6] ; [46  6],[114.56571429   8.43428571] ; [48.43428571  3.56571429],0
d1,1,0.128741,2.307623,[71 52] ; [24 29],[66.39204545 56.60795455] ; [28.60795455 24.39204545],0
n6,1,0.162004,1.955421,[101  21] ; [39 14],[97.6 24.4] ; [42.4 10.6],0
p9,1,0.164034,1.936639,[97 25] ; [37 16],[93.41714286 28.58285714] ; [40.58285714 12.41714286],0
p2,1,0.262702,1.254463,[106  15] ; [43 10],[103.61494253  17.38505747] ; [45.38505747  7.61494253],0
n1,1,0.271067,1.21134,[ 7 19] ; [5 6],[ 8.43243243 17.56756757] ; [3.56756757 7.43243243],0
p6,1,0.302225,1.064349,[48 71] ; [17 36],[44.97093023 74.02906977] ; [20.02906977 32.97093023],0
a3,1,0.306961,1.043707,[82 40] ; [39 13],[84.83908046 37.16091954] ; [36.16091954 15.83908046],0
p3,1,0.309473,1.032924,[70 52] ; [26 27],[66.92571429 55.07428571] ; [29.07428571 23.92571429],0
a2,1,0.313808,1.014578,[24 99] ; [ 7 46],[ 21.66477273 101.33522727] ; [ 9.33522727 43.66477273],0
v2,1,0.353659,0.860286,[74 46] ; [27 23],[71.29411765 48.70588235] ; [29.70588235 20.29411765],0
r1,1,0.379802,0.771342,[95 27] ; [38 15],[92.72 29.28] ; [40.28 12.72],0
a4,1,0.403177,0.698831,[50 73] ; [18 35],[47.52272727 75.47727273] ; [20.47727273 32.52272727],0
b2,1,0.46876,0.524899,[26 46] ; [16 21],[27.74311927 44.25688073] ; [14.25688073 22.74311927],0
b3,1,0.46876,0.524899,[26 46] ; [16 21],[27.74311927 44.25688073] ; [14.25688073 22.74311927],0
