Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000196,13.87179,[81 17] ; [ 7 10],[74.99130435 23.00869565] ; [13.00869565  3.99130435],1
r4,1,0.001024,10.783099,[93  5] ; [12  5],[89.47826087  8.52173913] ; [15.52173913  1.47826087],0
r2,1,0.026193,4.943244,[90  7] ; [12  4],[87.55752212  9.44247788] ; [14.44247788  1.55752212],0
s1,1,0.036308,4.382584,[ 2 95] ; [ 2 14],[ 3.43362832 93.56637168] ; [ 0.56637168 15.43362832],0
d3,1,0.058838,3.569832,[69 29] ; [8 9],[65.6173913 32.3826087] ; [11.3826087  5.6173913],0
v4,1,0.060544,3.522424,[93  5] ; [14  3],[91.1826087  6.8173913] ; [15.8173913  1.1826087],0
s5,1,0.062451,3.471055,[28 67] ; [ 1 14],[25.04545455 69.95454545] ; [ 3.95454545 11.04545455],0
p9,1,0.088155,2.907737,[88  9] ; [13  4],[85.93859649 11.06140351] ; [15.06140351  1.93859649],0
p1,1,0.102428,2.667331,[ 6 92] ; [ 3 14],[ 7.66956522 90.33043478] ; [ 1.33043478 15.66956522],0
b5,1,0.11218,2.523238,[55 43] ; [ 6 11],[51.9826087 46.0173913] ; [9.0173913 7.9826087],0
d5,1,0.112879,2.513439,[80 18] ; [11  6],[77.54782609 20.45217391] ; [13.45217391  3.54782609],0
a2,1,0.114937,2.484994,[22 76] ; [ 1 16],[19.6 78.4] ; [ 3.4 13.6],0
n5,1,0.131436,2.275457,[74 23] ; [10  7],[71.47368421 25.52631579] ; [12.52631579  4.47368421],0
a4,1,0.133192,2.254902,[42 56] ; [ 4 13],[39.2 58.8] ; [ 6.8 10.2],0
n3,1,0.138795,2.191263,[12 10] ; [6 1],[13.65517241  8.34482759] ; [4.34482759 2.65517241],0
n4,1,0.156643,2.006342,[83 15] ; [12  5],[80.95652174 17.04347826] ; [14.04347826  2.95652174],0
a8,1,0.171122,1.873084,[18 69] ; [ 1 15],[16.04854369 70.95145631] ; [ 2.95145631 13.04854369],0
p10,1,0.229255,1.445478,[84 13] ; [12  4],[82.40707965 14.59292035] ; [13.59292035  2.40707965],0
d4,1,0.243011,1.363042,[81 17] ; [12  5],[79.25217391 18.74782609] ; [13.74782609  3.25217391],0
d1,1,0.310294,1.029426,[59 39] ; [8 9],[57.09565217 40.90434783] ; [9.90434783 7.09565217],0
p6,1,0.321865,0.981353,[39 59] ; [8 7],[40.76106195 57.23893805] ; [6.23893805 8.76106195],0
v1,1,0.323002,0.976752,[52 44] ; [ 7 10],[50.12389381 45.87610619] ; [8.87610619 8.12389381],0
