Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.00046,12.272727,[ 1 47] ; [4 8],[ 4. 44.] ; [ 1. 11.],1
s2,1,0.001351,10.271739,[ 7 41] ; [7 5],[11.2 36.8] ; [2.8 9.2],0
p6,1,0.001665,9.886268,[ 3 43] ; [5 7],[ 6.34482759 39.65517241] ; [ 1.65517241 10.34482759],0
s3,1,0.004201,8.194811,[11 36] ; [8 4],[15.13559322 31.86440678] ; [3.86440678 8.13559322],0
s4,1,0.009375,6.75,[ 5 43] ; [5 7],[ 8. 40.] ; [ 2. 10.],0
u1,1,0.019517,5.454545,[ 2 46] ; [3 9],[ 4. 44.] ; [ 1. 11.],0
p11,1,0.026404,4.929397,[12 36] ; [7 5],[15.2 32.8] ; [3.8 8.2],0
s6,1,0.03998,4.21875,[13 35] ; [7 5],[16. 32.] ; [4. 8.],0
n6,1,0.051788,3.782609,[20 26] ; [9 3],[23. 23.] ; [6. 6.],0
a2,1,0.052808,3.75,[ 3 45] ; [3 9],[ 4.8 43.2] ; [ 1.2 10.8],0
b5,1,0.065087,3.402778,[26 22] ; [10  2],[28.8 19.2] ; [7.2 4.8],0
v1,1,0.089206,2.888638,[11 36] ; [5 5],[13.19298246 33.80701754] ; [2.80701754 7.19298246],0
n2,1,0.140801,2.169188,[10 15] ; [5 2],[11.71875 13.28125] ; [3.28125 3.71875],0
p2,1,0.147232,2.100694,[17 31] ; [7 5],[19.2 28.8] ; [4.8 7.2],0
a3,1,0.19477,1.681159,[21 25] ; [8 4],[23. 23.] ; [6. 6.],0
p3,1,0.210223,1.569891,[ 8 39] ; [4 8],[ 9.55932203 37.44067797] ; [2.44067797 9.55932203],0
n4,1,0.215453,1.534403,[26 21] ; [9 3],[27.88135593 19.11864407] ; [7.11864407 4.88135593],0
p4,1,0.251804,1.313269,[12 36] ; [5 7],[13.6 34.4] ; [3.4 8.6],0
d4,1,0.265806,1.238263,[27 20] ; [9 3],[28.6779661 18.3220339] ; [7.3220339 4.6779661],0
v4,1,0.272288,1.205184,[23 24] ; [8 4],[24.69491525 22.30508475] ; [6.30508475 5.69491525],0
d1,1,0.2839,1.148325,[16 32] ; [6 6],[17.6 30.4] ; [4.4 7.6],0
r3,1,0.290805,1.11589,[19 27] ; [7 5],[20.62068966 25.37931034] ; [5.37931034 6.62068966],0
d2,1,0.290805,1.11589,[19 27] ; [7 5],[20.62068966 25.37931034] ; [5.37931034 6.62068966],0
a5,1,0.365089,0.820312,[21 27] ; [7 5],[22.4 25.6] ; [5.6 6.4],0
a7,1,0.368638,0.80825,[22 24] ; [4 8],[20.62068966 25.37931034] ; [5.37931034 6.62068966],0
a1,1,0.386476,0.75,[ 9 39] ; [ 1 11],[ 8. 40.] ; [ 2. 10.],0
b2,1,0.420113,0.65,[11 19] ; [2 7],[10. 20.] ; [3. 6.],0
b3,1,0.420113,0.65,[11 19] ; [2 7],[10. 20.] ; [3. 6.],0
a4,1,0.431834,0.617887,[14 33] ; [5 7],[15.13559322 31.86440678] ; [3.86440678 8.13559322],0
d5,1,0.434464,0.61086,[26 22] ; [8 4],[27.2 20.8] ; [6.8 5.2],0
p7,1,0.435061,0.609274,[13 34] ; [ 2 10],[11.94915254 35.05084746] ; [3.05084746 8.94915254],0
n1,1,0.453508,0.56187,[ 7 18] ; [3 4],[ 7.8125 17.1875] ; [2.1875 4.8125],0
n5,1,0.477706,0.504097,[26 21] ; [8 4],[27.08474576 19.91525424] ; [6.91525424 5.08474576],0
a6,1,0.518605,0.416667,[23 25] ; [7 5],[24. 24.] ; [6. 6.],0
p8,1,0.526469,0.401203,[ 8 39] ; [3 9],[ 8.76271186 38.23728814] ; [2.23728814 9.76271186],0
n3,1,0.537957,0.379339,[11 14] ; [4 3],[11.71875 13.28125] ; [3.28125 3.71875],0
b4,1,0.605376,0.266963,[24 24] ; [5 7],[23.2 24.8] ; [5.8 6.2],0
r2,1,0.652891,0.202274,[24 22] ; [6 4],[24.64285714 21.35714286] ; [5.35714286 4.64285714],0
v2,1,0.658566,0.19527,[16 30] ; [5 7],[16.65517241 29.34482759] ; [4.34482759 7.65517241],0
s5,1,0.666923,0.185223,[ 7 41] ; [2 8],[ 7.44827586 40.55172414] ; [1.55172414 8.44827586],0
d3,1,0.697896,0.15067,[23 25] ; [5 7],[22.4 25.6] ; [5.6 6.4],0
u2,1,0.704111,0.144231,[ 9 17] ; [1 3],[ 8.66666667 17.33333333] ; [1.33333333 2.66666667],0
r1,1,0.723267,0.125384,[10 37] ; [ 2 10],[ 9.55932203 37.44067797] ; [2.44067797 9.55932203],0
b1,1,0.79525,0.06734,[26 22] ; [7 5],[26.4 21.6] ; [6.6 5.4],0
s1,1,0.813599,0.055595,[ 5 42] ; [ 1 11],[ 4.77966102 42.22033898] ; [ 1.22033898 10.77966102],0
p1,1,0.829638,0.046296,[ 5 43] ; [ 1 11],[ 4.8 43.2] ; [ 1.2 10.8],0
v3,1,0.843781,0.038832,[ 9 38] ; [ 2 10],[ 8.76271186 38.23728814] ; [2.23728814 9.76271186],0
a8,1,0.856643,0.032634,[ 3 41] ; [ 1 11],[ 3.14285714 40.85714286] ; [ 0.85714286 11.14285714],0
p9,1,0.875921,0.02438,[12 36] ; [3 8],[12.20338983 35.79661017] ; [2.79661017 8.20338983],0
u3,1,0.968494,0.00156,[ 7 20] ; [1 3],[ 6.96774194 20.03225806] ; [1.03225806 2.96774194],0
