Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.00022,13.65,[ 99 132] ; [31 11],[110. 121.] ; [20. 22.],1
p1,1,0.000675,11.557697,[ 10 226] ; [ 8 37],[ 15.11743772 220.88256228] ; [ 2.88256228 42.11743772],1
p8,1,0.013271,6.132569,[ 77 158] ; [23 21],[ 84.22939068 150.77060932] ; [15.77060932 28.22939068],0
s8,1,0.015775,5.827815,[ 77 161] ; [23 22],[ 84.09893993 153.90106007] ; [15.90106007 29.09893993],0
s7,1,0.017865,5.609386,[ 80 151] ; [24 21],[ 87.04347826 143.95652174] ; [16.95652174 28.04347826],0
s2,1,0.039318,4.247066,[ 95 142] ; [25 19],[101.20996441 135.79003559] ; [18.79003559 25.20996441],0
a1,1,0.088858,2.894937,[  5 234] ; [ 3 42],[  6.73239437 232.26760563] ; [ 1.26760563 43.73239437],0
b4,1,0.101728,2.678244,[148  91] ; [22 23],[143.06338028  95.93661972] ; [26.93661972 18.06338028],0
b3,1,0.129509,2.298384,[44 93] ; [14 16],[47.58083832 89.41916168] ; [10.41916168 19.58083832],0
b2,1,0.129509,2.298384,[44 93] ; [14 16],[47.58083832 89.41916168] ; [10.41916168 19.58083832],0
a7,1,0.131281,2.277294,[160  78] ; [25 20],[155.58303887  82.41696113] ; [29.41696113 15.58303887],0
p2,1,0.146893,2.104226,[177  61] ; [38  7],[180.81272085  57.18727915] ; [34.18727915 10.81272085],0
u3,1,0.170947,1.874622,[44 41] ; [10  4],[46.36363636 38.63636364] ; [7.63636364 6.36363636],0
s3,1,0.182314,1.778658,[119 117] ; [27 17],[123.05714286 112.94285714] ; [22.94285714 21.05714286],0
v1,1,0.196522,1.668037,[ 96 134] ; [23 21],[ 99.89051095 130.10948905] ; [19.10948905 24.89051095],0
s5,1,0.216195,1.52945,[ 58 173] ; [15 29],[ 61.32 169.68] ; [11.68 32.32],0
s1,1,0.219046,1.51061,[  4 232] ; [ 2 41],[  5.07526882 230.92473118] ; [ 0.92473118 42.07526882],0
s4,1,0.235533,1.407133,[ 38 199] ; [ 4 40],[ 35.42348754 201.57651246] ; [ 6.57651246 37.42348754],0
s6,1,0.241848,1.369792,[131 105] ; [28 15],[134.49462366 101.50537634] ; [24.50537634 18.49462366],0
n3,1,0.274875,1.192258,[46 16] ; [9 6],[44.28571429 17.71428571] ; [10.71428571  4.28571429],0
d3,1,0.330297,0.947734,[146  93] ; [24 21],[143.06338028  95.93661972] ; [26.93661972 18.06338028],0
r4,1,0.334679,0.930707,[205  34] ; [41  4],[207.02112676  31.97887324] ; [38.97887324  6.02112676],0
n5,1,0.352468,0.864551,[157  80] ; [33 12],[159.68085106  77.31914894] ; [30.31914894 14.68085106],0
p3,1,0.355621,0.853297,[ 49 190] ; [12 33],[ 51.33450704 187.66549296] ; [ 9.66549296 35.33450704],0
p5,1,0.382029,0.764163,[  9 228] ; [ 3 42],[ 10.08510638 226.91489362] ; [ 1.91489362 43.08510638],0
r2,1,0.395629,0.721573,[216  19] ; [43  2],[217.375  17.625] ; [41.625  3.375],0
p10,1,0.430045,0.622701,[186  52] ; [32 12],[183.9858156  54.0141844] ; [34.0141844  9.9858156],0
a3,1,0.440582,0.594765,[154  85] ; [31 13],[156.23674912  82.76325088] ; [28.76325088 15.23674912],0
d4,1,0.490401,0.475647,[179  59] ; [36  9],[180.81272085  57.18727915] ; [34.18727915 10.81272085],0
v3,1,0.520856,0.412198,[ 78 154] ; [17 27],[ 79.85507246 152.14492754] ; [15.14492754 28.85507246],0
r1,1,0.521342,0.411238,[180  58] ; [32 13],[178.28975265  59.71024735] ; [33.71024735 11.28975265],0
d5,1,0.550246,0.356876,[175  64] ; [31 14],[173.35915493  65.64084507] ; [32.64084507 12.35915493],0
a6,1,0.580239,0.305848,[157  82] ; [27 17],[155.39222615  83.60777385] ; [28.60777385 15.39222615],0
a4,1,0.581517,0.303789,[ 90 149] ; [15 30],[ 88.36267606 150.63732394] ; [16.63732394 28.36267606],0
n4,1,0.602353,0.271461,[166  73] ; [33 12],[167.46830986  71.53169014] ; [31.53169014 13.46830986],0
a8,1,0.620064,0.245777,[ 34 190] ; [ 5 36],[ 32.96603774 191.03396226] ; [ 6.03396226 34.96603774],0
b5,1,0.633448,0.227414,[145  94] ; [29 16],[146.42957746  92.57042254] ; [27.57042254 17.42957746],0
d2,1,0.641665,0.216571,[ 93 144] ; [16 29],[ 91.60638298 145.39361702] ; [17.39361702 27.60638298],0
a5,1,0.654242,0.200594,[157  82] ; [28 17],[155.68661972  83.31338028] ; [29.31338028 15.68661972],0
b1,1,0.661594,0.191593,[ 77 162] ; [16 29],[ 78.26408451 160.73591549] ; [14.73591549 30.26408451],0
n6,1,0.73382,0.115633,[196  42] ; [38  7],[196.79151943  41.20848057] ; [37.20848057  7.79151943],0
n2,1,0.737229,0.112577,[48 14] ; [11  4],[47.50649351 14.49350649] ; [11.49350649  3.50649351],0
