Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,31.977729,[143  15] ; [16 16],[132.22105263  25.77894737] ; [26.77894737  5.22105263],1
d2,1,4.6e-05,16.608452,[100  56] ; [ 8 24],[89.61702128 66.38297872] ; [18.38297872 13.61702128],1
r2,1,0.000103,15.084386,[148   7] ; [24  8],[142.56684492  12.43315508] ; [29.43315508  2.56684492],1
a4,1,0.002552,9.102852,[92 65] ; [ 9 22],[84.34574468 72.65425532] ; [16.65425532 14.34574468],0
d3,1,0.002906,8.865819,[80 78] ; [ 7 25],[72.34736842 85.65263158] ; [14.65263158 17.34736842],0
n6,1,0.004342,8.135078,[134  22] ; [20 11],[128.47058824  27.52941176] ; [25.52941176  5.47058824],0
p1,1,0.007502,7.148646,[  8 148] ; [ 6 26],[ 11.61702128 144.38297872] ; [ 2.38297872 29.61702128],0
p7,1,0.00835,6.95689,[101  53] ; [13 19],[94.38709677 59.61290323] ; [19.61290323 12.38709677],0
s5,1,0.009646,6.699044,[65 85] ; [ 6 26],[58.51648352 91.48351648] ; [12.48351648 19.51648352],0
v2,1,0.010536,6.541935,[84 71] ; [ 9 22],[77.5 77.5] ; [15.5 15.5],0
p6,1,0.019317,5.472579,[56 95] ; [ 5 27],[ 50.33333333 100.66666667] ; [10.66666667 21.33333333],0
p10,1,0.030732,4.667862,[123  32] ; [19 12],[118.33333333  36.66666667] ; [23.66666667  7.33333333],0
p2,1,0.045076,4.015786,[121  32] ; [20 12],[116.61081081  36.38918919] ; [24.38918919  7.61081081],0
p4,1,0.063662,3.439328,[86 69] ; [12 20],[81.22994652 73.77005348] ; [16.77005348 15.22994652],0
v1,1,0.067504,3.342703,[84 68] ; [12 20],[79.30434783 72.69565217] ; [16.69565217 15.30434783],0
v4,1,0.072637,3.222413,[144  13] ; [26  6],[141.21693122  15.78306878] ; [28.78306878  3.21693122],0
r4,1,0.07818,3.102333,[134  24] ; [23  9],[130.55789474  27.44210526] ; [26.44210526  5.55789474],0
n5,1,0.088998,2.892404,[124  32] ; [21 11],[120.31914894  35.68085106] ; [24.68085106  7.31914894],0
n4,1,0.107635,2.58861,[127  29] ; [22 10],[123.63829787  32.36170213] ; [25.36170213  6.63829787],0
a3,1,0.120462,2.411298,[132  26] ; [23  9],[128.89473684  29.10526316] ; [26.10526316  5.89473684],0
p9,1,0.135179,2.232,[128  27] ; [22  9],[125.  30.] ; [25.  6.],0
s2,1,0.146134,2.112149,[81 76] ; [12 20],[77.25396825 79.74603175] ; [15.74603175 16.25396825],0
a6,1,0.192772,1.696306,[69 89] ; [18 14],[72.34736842 85.65263158] ; [14.65263158 17.34736842],0
r3,1,0.197042,1.664165,[144  13] ; [27  5],[142.04761905  14.95238095] ; [28.95238095  3.04761905],0
