Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,7e-05,15.808218,[24 32] ; [34  7],[33.48453608 22.51546392] ; [24.51546392 16.48453608],1
p6,1,0.004071,8.251839,[12 45] ; [22 24],[18.81553398 38.18446602] ; [15.18446602 30.81553398],0
p11,1,0.004192,8.198917,[29 28] ; [36 10],[35.97087379 21.02912621] ; [29.02912621 16.97087379],0
a4,1,0.00705,7.260161,[24 33] ; [ 8 38],[17.70873786 39.29126214] ; [14.29126214 31.70873786],0
v3,1,0.012832,6.19219,[ 8 45] ; [16 27],[13.25 39.75] ; [10.75 32.25],0
p4,1,0.034537,4.467899,[24 33] ; [29 17],[29.33009709 27.66990291] ; [23.66990291 22.33009709],0
b1,1,0.034803,4.454825,[25 32] ; [11 35],[19.9223301 37.0776699] ; [16.0776699 29.9223301],0
p12,1,0.052363,3.764121,[ 1 55] ; [ 5 41],[ 3.29411765 52.70588235] ; [ 2.70588235 43.29411765],0
a3,1,0.081382,3.037078,[37 20] ; [22 24],[32.65048544 24.34951456] ; [26.34951456 19.65048544],0
a2,1,0.085217,2.962479,[12 45] ; [ 4 42],[ 8.85436893 48.14563107] ; [ 7.14563107 38.85436893],0
p3,1,0.09258,2.828936,[18 39] ; [22 24],[22.13592233 34.86407767] ; [17.86407767 28.13592233],0
u3,1,0.095593,2.777574,[16  3] ; [14  9],[13.57142857  5.42857143] ; [16.42857143  6.57142857],0
d4,1,0.096487,2.762676,[42 15] ; [40  6],[45.37864078 11.62135922] ; [36.62135922  9.37864078],0
v4,1,0.097509,2.745827,[56  1] ; [41  4],[54.20588235  2.79411765] ; [42.79411765  2.20588235],0
v2,1,0.098199,2.734545,[21 29] ; [26 18],[25. 25.] ; [22. 22.],0
s8,1,0.123261,2.375389,[26 31] ; [28 18],[29.88349515 27.11650485] ; [24.11650485 21.88349515],0
p2,1,0.134065,2.244788,[38 19] ; [36  9],[41.35294118 15.64705882] ; [32.64705882 12.35294118],0
r2,1,0.140046,2.177458,[55  2] ; [41  5],[53.12621359  3.87378641] ; [42.87378641  3.12621359],0
s4,1,0.145416,2.119689,[24 33] ; [13 33],[20.47572816 36.52427184] ; [16.52427184 29.47572816],0
a5,1,0.180081,1.796957,[31 26] ; [31 15],[34.31067961 22.68932039] ; [27.68932039 18.31067961],0
s5,1,0.183627,1.768023,[22 33] ; [23 20],[25.25510204 29.74489796] ; [19.74489796 23.25510204],0
r4,1,0.198609,1.652573,[50  7] ; [36 10],[47.59223301  9.40776699] ; [38.40776699  7.59223301],0
d5,1,0.202832,1.621863,[44 12] ; [31 15],[41.17647059 14.82352941] ; [33.82352941 12.17647059],0
p5,1,0.211258,1.562785,[ 1 55] ; [ 3 42],[ 2.21782178 53.78217822] ; [ 1.78217822 43.21782178],0
d3,1,0.220196,1.503093,[35 21] ; [34 12],[37.88235294 18.11764706] ; [31.11764706 14.88235294],0
d2,1,0.222342,1.489191,[24 33] ; [14 32],[21.02912621 35.97087379] ; [16.97087379 29.02912621],0
n6,1,0.331676,0.942344,[39 18] ; [26 18],[36.68316832 20.31683168] ; [28.31683168 15.68316832],0
n5,1,0.353057,0.862439,[17 39] ; [18 28],[19.21568627 36.78431373] ; [15.78431373 30.21568627],0
n1,1,0.363426,0.826019,[ 7 19] ; [5 7],[ 8.21052632 17.78947368] ; [3.78947368 8.21052632],0
s6,1,0.373519,0.791925,[45 11] ; [40  6],[46.66666667  9.33333333] ; [38.33333333  7.66666667],0
u1,1,0.401082,0.705079,[ 8 49] ; [ 4 42],[ 6.6407767 50.3592233] ; [ 5.3592233 40.6407767],0
u2,1,0.417887,0.65625,[9 9] ; [15  9],[10.28571429  7.71428571] ; [13.71428571 10.28571429],0
v1,1,0.420892,0.647824,[28 28] ; [18 25],[26.02020202 29.97979798] ; [19.97979798 23.02020202],0
r3,1,0.436494,0.605482,[56  1] ; [44  2],[55.33980583  1.66019417] ; [44.66019417  1.33980583],0
s1,1,0.436494,0.605482,[ 1 56] ; [ 2 44],[ 1.66019417 55.33980583] ; [ 1.33980583 44.66019417],0
n3,1,0.461743,0.541667,[19  8] ; [7 5],[18.  9.] ; [8. 4.],0
a7,1,0.46804,0.5266,[39 17] ; [35 11],[40.62745098 15.37254902] ; [33.37254902 12.62745098],0
s7,1,0.516155,0.421569,[22 30] ; [22 23],[23.58762887 28.41237113] ; [20.41237113 24.58762887],0
p9,1,0.519297,0.415289,[45  9] ; [36 10],[43.74 10.26] ; [37.26  8.74],0
n2,1,0.526452,0.401235,[20  7] ; [10  2],[20.76923077  6.23076923] ; [9.23076923 2.76923077],0
a1,1,0.565228,0.330733,[ 4 53] ; [ 2 44],[ 3.32038835 53.67961165] ; [ 2.67961165 43.32038835],0
s3,1,0.587697,0.293955,[46 11] ; [39  7],[47.03883495  9.96116505] ; [37.96116505  8.03883495],0
