Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.01004,[51 23] ; [ 57 107],[33.57983193 40.42016807] ; [74.42016807 89.57983193],1
s6,1,1e-06,23.823657,[62 10] ; [86 77],[45.34468085 26.65531915] ; [102.65531915  60.34468085],1
p5,1,0.002058,9.496735,[14 59] ; [ 10 154],[ 7.39240506 65.60759494] ; [ 16.60759494 147.39240506],0
s7,1,0.005197,7.809635,[40 32] ; [ 56 100],[30.31578947 41.68421053] ; [65.68421053 90.31578947],0
p12,1,0.006472,7.413983,[ 8 65] ; [  4 157],[ 3.74358974 69.25641026] ; [  8.25641026 152.74358974],0
s3,1,0.006997,7.273623,[47 26] ; [74 89],[37.4279661 35.5720339] ; [83.5720339 79.4279661],0
s8,1,0.00813,7.004677,[32 42] ; [ 43 122],[23.22175732 50.77824268] ; [ 51.77824268 113.22175732],0
p9,1,0.032297,4.582648,[62  9] ; [122  41],[55.82905983 15.17094017] ; [128.17094017  34.82905983],0
r4,1,0.034569,4.466316,[67  7] ; [131  34],[61.30543933 12.69456067] ; [136.69456067  28.30543933],0
p6,1,0.035494,4.421256,[28 44] ; [ 41 121],[21.23076923 50.76923077] ; [ 47.76923077 114.23076923],0
v1,1,0.03598,4.398053,[42 30] ; [70 91],[34.60944206 37.39055794] ; [77.39055794 83.60944206],0
n6,1,0.050523,3.824001,[61 11] ; [119  44],[55.14893617 16.85106383] ; [124.85106383  38.14893617],0
s4,1,0.054194,3.706714,[16 57] ; [ 20 144],[11.08860759 61.91139241] ; [ 24.91139241 139.08860759],0
p3,1,0.073887,3.194488,[36 37] ; [ 61 104],[29.75210084 43.24789916] ; [67.24789916 97.75210084],0
a8,1,0.076474,3.138283,[15 56] ; [ 19 138],[10.5877193 60.4122807] ; [ 23.4122807 133.5877193],0
p7,1,0.110598,2.545662,[49 23] ; [90 68],[43.51304348 28.48695652] ; [95.48695652 62.51304348],0
v4,1,0.123349,2.374271,[68  4] ; [145  20],[64.70886076  7.29113924] ; [148.29113924  16.70886076],0
a1,1,0.174186,1.846544,[ 7 67] ; [  8 157],[ 4.64435146 69.35564854] ; [ 10.35564854 154.64435146],0
a6,1,0.180532,1.793241,[38 36] ; [100  65],[42.72803347 31.27196653] ; [95.27196653 69.72803347],0
d2,1,0.185032,1.75674,[11 63] ; [ 15 150],[ 8.05020921 65.94979079] ; [ 17.94979079 147.05020921],0
d5,1,0.217984,1.517591,[51 23] ; [100  65],[46.75313808 27.24686192] ; [104.24686192  60.75313808],0
p10,1,0.303613,1.058257,[57 15] ; [118  44],[53.84615385 18.15384615] ; [121.15384615  40.84615385],0
a7,1,0.306735,1.044681,[46 28] ; [113  51],[49.43697479 24.56302521] ; [109.56302521  54.43697479],0
b5,1,0.388946,0.742234,[40 34] ; [99 66],[43.0376569 30.9623431] ; [95.9623431 69.0376569],0
p4,1,0.39648,0.718975,[37 35] ; [74 89],[34.00851064 37.99148936] ; [76.99148936 86.00851064],0
v2,1,0.402382,0.701197,[39 35] ; [73 83],[36.03478261 37.96521739] ; [75.96521739 80.03478261],0
p1,1,0.408934,0.681898,[ 5 68] ; [  7 156],[ 3.71186441 69.28813559] ; [  8.28813559 154.71186441],0
r3,1,0.412109,0.672709,[69  4] ; [150  14],[67.4556962  5.5443038] ; [151.5443038  12.4556962],0
r1,1,0.426108,0.633407,[57 17] ; [119  46],[54.49372385 19.50627615] ; [121.50627615  43.49372385],0
p8,1,0.463526,0.537367,[36 37] ; [72 91],[33.40677966 39.59322034] ; [74.59322034 88.40677966],0
a5,1,0.465243,0.533251,[45 29] ; [92 73],[42.41841004 31.58158996] ; [94.58158996 70.41841004],0
n3,1,0.474453,0.511585,[11  8] ; [25 12],[12.21428571  6.78571429] ; [23.78571429 13.21428571],0
