Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.00729,7.2,[13  2] ; [3 6],[10.  5.] ; [6. 3.],0
p8,1,0.013954,6.043956,[11  3] ; [2 6],[8.27272727 5.72727273] ; [4.72727273 3.27272727],0
a5,1,0.022243,5.226667,[12  3] ; [3 6],[9.375 5.625] ; [5.625 3.375],0
d3,1,0.035015,4.444444,[10  5] ; [2 7],[7.5 7.5] ; [4.5 4.5],0
p11,1,0.054319,3.702857,[11  4] ; [3 6],[8.75 6.25] ; [5.25 3.75],0
r2,1,0.054319,3.702857,[11  4] ; [3 6],[8.75 6.25] ; [5.25 3.75],0
p10,1,0.054319,3.702857,[11  4] ; [3 6],[8.75 6.25] ; [5.25 3.75],0
b4,1,0.072143,3.233566,[6 9] ; [7 2],[8.125 6.875] ; [4.875 4.125],0
n4,1,0.11259,2.517483,[10  5] ; [3 6],[8.125 6.875] ; [4.875 4.125],0
p3,1,0.11259,2.517483,[10  5] ; [3 6],[8.125 6.875] ; [4.875 4.125],0
r4,1,0.131707,2.272269,[6 9] ; [1 8],[ 4.375 10.625] ; [2.625 6.375],0
a6,1,0.134481,2.24,[8 7] ; [2 7],[6.25 8.75] ; [3.75 5.25],0
v4,1,0.202134,1.626891,[12  3] ; [5 4],[10.625  4.375] ; [6.375 2.625],0
d1,1,0.223543,1.481481,[ 5 10] ; [1 8],[ 3.75 11.25] ; [2.25 6.75],0
p6,1,0.231101,1.434074,[7 8] ; [2 7],[5.625 9.375] ; [3.375 5.625],0
p2,1,0.242809,1.364211,[13  2] ; [6 3],[11.875  3.125] ; [7.125 1.875],0
s6,1,0.310557,1.028307,[6 8] ; [2 7],[4.86956522 9.13043478] ; [3.13043478 5.86956522],0
s5,1,0.363646,0.825263,[ 4 11] ; [1 8],[ 3.125 11.875] ; [1.875 7.125],0
s4,1,0.363646,0.825263,[ 4 11] ; [1 8],[ 3.125 11.875] ; [1.875 7.125],0
n5,1,0.371093,0.8,[11  4] ; [5 4],[10.  5.] ; [6. 3.],0
b1,1,0.371093,0.8,[9 6] ; [7 2],[10.  5.] ; [6. 3.],0
v2,1,0.371093,0.8,[6 9] ; [2 7],[ 5. 10.] ; [3. 6.],0
b2,1,0.394344,0.725505,[4 7] ; [1 5],[3.23529412 7.76470588] ; [1.76470588 4.23529412],0
b3,1,0.394344,0.725505,[4 7] ; [1 5],[3.23529412 7.76470588] ; [1.76470588 4.23529412],0
n2,1,0.477267,0.505102,[5 2] ; [2 2],[4.45454545 2.54545455] ; [2.54545455 1.45454545],0
v1,1,0.521245,0.411429,[7 8] ; [3 6],[6.25 8.75] ; [3.75 5.25],0
d2,1,0.562069,0.336134,[ 5 10] ; [2 7],[ 4.375 10.625] ; [2.625 6.375],0
u3,1,0.67329,0.177778,[1 4] ; [1 2],[1.25 3.75] ; [0.75 2.25],0
d5,1,0.67329,0.177778,[8 7] ; [4 5],[7.5 7.5] ; [4.5 4.5],0
p9,1,0.675447,0.175296,[9 5] ; [5 4],[8.52173913 5.47826087] ; [5.47826087 3.52173913],0
r1,1,0.743971,0.106667,[6 9] ; [3 6],[5.625 9.375] ; [3.375 5.625],0
n1,1,0.818971,0.052381,[4 3] ; [2 2],[3.81818182 3.18181818] ; [2.18181818 1.81818182],0
b5,1,0.830696,0.045714,[9 6] ; [5 4],[8.75 6.25] ; [5.25 3.75],0
s3,1,0.906855,0.01369,[5 9] ; [3 6],[4.86956522 9.13043478] ; [3.13043478 5.86956522],0
d4,1,0.915759,0.011189,[8 7] ; [5 4],[8.125 6.875] ; [4.875 4.125],0
a7,1,0.915759,0.011189,[7 8] ; [4 5],[6.875 8.125] ; [4.125 4.875],0
p5,1,0.954928,0.003194,[ 2 13] ; [1 7],[ 1.95652174 13.04347826] ; [1.04347826 6.95652174],0
a4,1,1.0,0.0,[ 5 10] ; [3 6],[ 5. 10.] ; [3. 6.],0
a3,1,1.0,0.0,[10  5] ; [6 3],[10.  5.] ; [6. 3.],0
