Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000207,13.762573,[ 7 33] ; [11  5],[12.85714286 27.14285714] ; [ 5.14285714 10.85714286],1
p3,1,0.000299,13.07798,[ 3 37] ; [8 8],[ 7.85714286 32.14285714] ; [ 3.14285714 12.85714286],1
s6,1,0.000785,11.277291,[ 5 34] ; [9 7],[ 9.92727273 29.07272727] ; [ 4.07272727 11.92727273],1
p2,1,0.004225,8.184524,[10 30] ; [10  5],[14.54545455 25.45454545] ; [5.45454545 9.54545455],0
p5,1,0.005494,7.709167,[ 1 39] ; [ 4 11],[ 3.63636364 36.36363636] ; [ 1.36363636 13.63636364],0
p6,1,0.005713,7.638532,[ 2 37] ; [ 5 10],[ 5.05555556 33.94444444] ; [ 1.94444444 13.05555556],0
v2,1,0.009192,6.785085,[ 8 31] ; [9 7],[12.05454545 26.94545455] ; [ 4.94545455 11.05454545],0
d3,1,0.021726,5.267613,[14 26] ; [11  5],[17.85714286 22.14285714] ; [7.14285714 8.85714286],0
s1,1,0.032919,4.55,[ 1 39] ; [ 3 13],[ 2.85714286 37.14285714] ; [ 1.14285714 14.85714286],0
p9,1,0.04929,3.865439,[15 23] ; [11  5],[18.2962963 19.7037037] ; [7.7037037 8.2962963],0
a5,1,0.061469,3.49729,[19 21] ; [12  4],[22.14285714 17.85714286] ; [8.85714286 7.14285714],0
s4,1,0.073638,3.2,[ 3 37] ; [ 4 12],[ 5. 35.] ; [ 2. 14.],0
b5,1,0.075927,3.15,[17 23] ; [11  5],[20. 20.] ; [8. 8.],0
b2,1,0.082783,3.009404,[14 15] ; [2 9],[11.6 17.4] ; [4.4 6.6],0
b3,1,0.082783,3.009404,[14 15] ; [2 9],[11.6 17.4] ; [4.4 6.6],0
p10,1,0.115109,2.482639,[13 26] ; [9 7],[15.6 23.4] ; [6.4 9.6],0
p8,1,0.13007,2.291667,[ 6 34] ; [ 5 10],[ 8. 32.] ; [ 3. 12.],0
r4,1,0.168028,1.900452,[10 30] ; [7 9],[12.14285714 27.85714286] ; [ 4.85714286 11.14285714],0
r3,1,0.175389,1.836271,[19 20] ; [11  5],[21.27272727 17.72727273] ; [8.72727273 7.27272727],0
n6,1,0.184625,1.76,[16 24] ; [9 6],[18.18181818 21.81818182] ; [6.81818182 8.18181818],0
v1,1,0.189005,1.725353,[ 8 31] ; [ 6 10],[ 9.92727273 29.07272727] ; [ 4.07272727 11.92727273],0
d2,1,0.202621,1.62338,[17 22] ; [10  6],[19.14545455 19.85454545] ; [7.85454545 8.14545455],0
d5,1,0.2217,1.493333,[23 17] ; [12  4],[25. 15.] ; [10.  6.],0
u3,1,0.230785,1.436017,[ 2 15] ; [2 4],[ 2.95652174 14.04347826] ; [1.04347826 4.95652174],0
u2,1,0.230785,1.436017,[ 2 15] ; [2 4],[ 2.95652174 14.04347826] ; [1.04347826 4.95652174],0
a4,1,0.247882,1.335201,[13 26] ; [8 8],[14.89090909 24.10909091] ; [6.10909091 9.89090909],0
a8,1,0.266575,1.234286,[ 8 32] ; [ 1 13],[ 6.66666667 33.33333333] ; [ 2.33333333 11.66666667],0
r1,1,0.299129,1.078075,[14 26] ; [8 8],[15.71428571 24.28571429] ; [6.28571429 9.71428571],0
p11,1,0.35131,0.868718,[17 23] ; [9 7],[18.57142857 21.42857143] ; [7.42857143 8.57142857],0
n5,1,0.43614,0.606417,[23 17] ; [11  5],[24.28571429 15.71428571] ; [9.71428571 6.28571429],0
d4,1,0.46915,0.523977,[26 14] ; [12  4],[27.14285714 12.85714286] ; [10.85714286  5.14285714],0
n3,1,0.477968,0.503497,[9 9] ; [4 2],[9.75 8.25] ; [3.25 2.75],0
b1,1,0.49648,0.462452,[21 19] ; [10  6],[22.14285714 17.85714286] ; [8.85714286 7.14285714],0
p12,1,0.507183,0.439874,[ 1 38] ; [ 1 15],[ 1.41818182 37.58181818] ; [ 0.58181818 15.41818182],0
s3,1,0.5274,0.399399,[ 9 30] ; [ 5 11],[ 9.92727273 29.07272727] ; [ 4.07272727 11.92727273],0
b4,1,0.541193,0.373333,[26 14] ; [9 7],[25. 15.] ; [10.  6.],0
s8,1,0.545972,0.364583,[ 5 35] ; [ 3 13],[ 5.71428571 34.28571429] ; [ 2.28571429 13.71428571],0
r2,1,0.568991,0.324373,[20 17] ; [10  6],[20.94339623 16.05660377] ; [9.05660377 6.94339623],0
d1,1,0.665286,0.187166,[15 25] ; [7 9],[15.71428571 24.28571429] ; [6.28571429 9.71428571],0
n4,1,0.721087,0.127454,[27 13] ; [10  6],[26.42857143 13.57142857] ; [10.57142857  5.42857143],0
s5,1,0.75929,0.093889,[ 6 33] ; [ 3 13],[ 6.38181818 32.61818182] ; [ 2.61818182 13.38181818],0
a2,1,0.784659,0.074667,[ 4 36] ; [ 2 14],[ 4.28571429 35.71428571] ; [ 1.71428571 14.28571429],0
a6,1,0.799344,0.064615,[19 21] ; [7 9],[18.57142857 21.42857143] ; [7.42857143 8.57142857],0
a3,1,0.808466,0.058761,[23 16] ; [10  6],[23.4 15.6] ; [9.6 6.4],0
p1,1,0.80915,0.058333,[ 6 34] ; [ 2 14],[ 5.71428571 34.28571429] ; [ 2.28571429 13.71428571],0
u1,1,0.851135,0.03522,[ 2 38] ; [ 1 15],[ 2.14285714 37.85714286] ; [ 0.85714286 15.14285714],0
v3,1,0.875923,0.024379,[ 6 34] ; [ 2 13],[ 5.81818182 34.18181818] ; [ 2.18181818 12.81818182],0
n1,1,0.910443,0.012652,[ 9 10] ; [3 3],[9.12 9.88] ; [2.88 3.12],0
n2,1,0.910443,0.012652,[ 9 10] ; [3 3],[9.12 9.88] ; [2.88 3.12],0
s7,1,0.966571,0.001756,[ 8 31] ; [ 3 12],[ 7.94444444 31.05555556] ; [ 3.05555556 11.94444444],0
a7,1,1.0,0.0,[20 20] ; [8 8],[20. 20.] ; [8. 8.],0
