Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,7e-06,20.208639,[33 25] ; [ 8 44],[21.61818182 36.38181818] ; [19.38181818 32.61818182],1
a5,1,0.011703,6.355347,[41 17] ; [25 28],[34.48648649 23.51351351] ; [31.51351351 21.48648649],0
r1,1,0.031376,4.632246,[50  8] ; [36 16],[45.34545455 12.65454545] ; [40.65454545 11.34545455],0
s8,1,0.047243,3.936698,[31 27] ; [18 34],[25.83636364 32.16363636] ; [23.16363636 28.83636364],0
p3,1,0.053374,3.73216,[32 25] ; [20 33],[26.94545455 30.05454545] ; [25.05454545 27.94545455],0
u1,1,0.067082,3.353007,[ 6 52] ; [ 1 52],[ 3.65765766 54.34234234] ; [ 3.34234234 49.65765766],0
s7,1,0.072997,3.214315,[38 17] ; [26 24],[33.52380952 21.47619048] ; [30.47619048 19.52380952],0
b4,1,0.082485,3.015236,[30 28] ; [36 17],[34.48648649 23.51351351] ; [31.51351351 21.48648649],0
p6,1,0.118797,2.433105,[27 30] ; [17 35],[23.00917431 33.99082569] ; [20.99082569 31.00917431],0
d5,1,0.121041,2.403804,[39 19] ; [28 25],[35.00900901 22.99099099] ; [31.99099099 21.00900901],0
s1,1,0.127591,2.321572,[ 1 57] ; [ 4 47],[ 2.66055046 55.33944954] ; [ 2.33944954 48.66055046],0
p7,1,0.152819,2.043884,[43 14] ; [32 19],[39.58333333 17.41666667] ; [35.41666667 15.58333333],0
r2,1,0.155864,2.013906,[53  3] ; [46  7],[50.86238532  5.13761468] ; [48.13761468  4.86238532],0
r4,1,0.164736,1.930206,[54  4] ; [45  8],[51.72972973  6.27027027] ; [47.27027027  5.72972973],0
p9,1,0.17036,1.879772,[51  6] ; [40 10],[48.47663551  8.52336449] ; [42.52336449  7.47663551],0
p10,1,0.19227,1.700135,[48  9] ; [37 13],[45.28037383 11.71962617] ; [39.71962617 10.28037383],0
v1,1,0.214185,1.542912,[32 25] ; [23 29],[28.76146789 28.23853211] ; [26.23853211 25.76146789],0
d2,1,0.225683,1.467863,[ 8 50] ; [12 41],[10.45045045 47.54954955] ; [ 9.54954955 43.45045045],0
s6,1,0.230762,1.436158,[46 10] ; [46  5],[48.14953271  7.85046729] ; [43.85046729  7.14953271],0
p8,1,0.304869,1.052776,[33 24] ; [25 27],[30.33027523 26.66972477] ; [27.66972477 24.33027523],0
s4,1,0.320993,0.984894,[12 46] ; [15 37],[14.23636364 43.76363636] ; [12.76363636 39.23636364],0
b5,1,0.390106,0.738611,[27 31] ; [29 24],[29.26126126 28.73873874] ; [26.73873874 26.26126126],0
p1,1,0.395547,0.721821,[ 5 53] ; [ 7 44],[ 6.3853211 51.6146789] ; [ 5.6146789 45.3853211],0
n4,1,0.435591,0.607869,[44 14] ; [36 16],[42.18181818 15.81818182] ; [37.81818182 14.18181818],0
a3,1,0.502271,0.450135,[36 22] ; [29 23],[34.27272727 23.72727273] ; [30.72727273 21.27272727],0
p4,1,0.521054,0.411806,[32 25] ; [26 26],[30.33027523 26.66972477] ; [27.66972477 24.33027523],0
u3,1,0.536355,0.382338,[13  9] ; [12 12],[11.95652174 10.04347826] ; [13.04347826 10.95652174],0
n1,1,0.549563,0.3581,[5 9] ; [7 8],[5.79310345 8.20689655] ; [6.20689655 8.79310345],0
d3,1,0.550236,0.356894,[24 34] ; [19 34],[22.46846847 35.53153153] ; [20.53153153 32.46846847],0
b1,1,0.558018,0.343148,[22 36] ; [23 30],[23.51351351 34.48648649] ; [21.48648649 31.51351351],0
a7,1,0.575182,0.314088,[38 20] ; [32 21],[36.57657658 21.42342342] ; [33.42342342 19.57657658],0
v4,1,0.58705,0.294975,[54  2] ; [49  3],[53.40740741  2.59259259] ; [49.59259259  2.40740741],0
n3,1,0.604773,0.267857,[10  4] ; [10  6],[9.33333333 4.66666667] ; [10.66666667  5.33333333],0
a8,1,0.628815,0.233671,[ 9 46] ; [10 40],[ 9.95238095 45.04761905] ; [ 9.04761905 40.95238095],0
n5,1,0.693863,0.154935,[41 15] ; [37 16],[40.0733945 15.9266055] ; [37.9266055 15.0733945],0
n6,1,0.69434,0.154428,[49  7] ; [45  8],[48.29357798  7.70642202] ; [45.70642202  7.29357798],0
a4,1,0.714145,0.134172,[16 42] ; [13 40],[15.15315315 42.84684685] ; [13.84684685 39.15315315],0
a2,1,0.722644,0.125974,[ 3 55] ; [ 2 51],[ 2.61261261 55.38738739] ; [ 2.38738739 50.61261261],0
n2,1,0.743421,0.107143,[12  2] ; [13  3],[11.66666667  2.33333333] ; [13.33333333  2.66666667],0
b3,1,0.784688,0.074646,[11 18] ; [10 19],[10.5 18.5] ; [10.5 18.5],0
b2,1,0.784688,0.074646,[11 18] ; [10 19],[10.5 18.5] ; [10.5 18.5],0
p2,1,0.788566,0.071917,[46 11] ; [43  9],[46.5412844 10.4587156] ; [42.4587156  9.5412844],0
a1,1,0.788988,0.071623,[ 4 54] ; [ 3 50],[ 3.65765766 54.34234234] ; [ 3.34234234 49.65765766],0
a6,1,0.791853,0.069646,[31 27] ; [27 26],[30.30630631 27.69369369] ; [27.69369369 25.30630631],0
s3,1,0.82467,0.049081,[35 22] ; [33 19],[35.55963303 21.44036697] ; [32.44036697 19.55963303],0
p5,1,0.835195,0.043282,[13 44] ; [11 41],[12.55045872 44.44954128] ; [11.44954128 40.55045872],0
p12,1,0.848668,0.036412,[ 6 51] ; [ 5 48],[ 5.7 51.3] ; [ 5.3 47.7],0
u2,1,0.873351,0.025409,[10 11] ; [12 12],[10.26666667 10.73333333] ; [11.73333333 12.26666667],0
d4,1,0.893112,0.018055,[39 19] ; [35 18],[38.66666667 19.33333333] ; [35.33333333 17.66666667],0
s2,1,0.893112,0.018055,[39 19] ; [35 18],[38.66666667 19.33333333] ; [35.33333333 17.66666667],0
p11,1,0.961811,0.002293,[44 14] ; [40 13],[43.89189189 14.10810811] ; [40.10810811 12.89189189],0
