Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.962546,[62 16] ; [46 58],[46.28571429 31.71428571] ; [61.71428571 42.28571429],1
p10,1,4e-06,21.517873,[76  2] ; [73 30],[64.20994475 13.79005525] ; [84.79005525 18.20994475],1
s6,1,9.1e-05,15.319479,[68  8] ; [67 38],[56.68508287 19.31491713] ; [78.31491713 26.68508287],1
s7,1,0.00017,14.135841,[52 22] ; [42 59],[39.74857143 34.25142857] ; [54.25142857 46.74857143],1
s4,1,0.000455,12.291679,[27 48] ; [14 89],[17.2752809 57.7247191] ; [23.7247191 79.2752809],1
p9,1,0.006085,7.524928,[73  5] ; [83 22],[66.49180328 11.50819672] ; [89.50819672 15.49180328],0
s3,1,0.008866,6.849527,[53 25] ; [51 54],[44.32786885 33.67213115] ; [59.67213115 45.32786885],0
v1,1,0.01214,6.290316,[48 30] ; [44 59],[39.64640884 38.35359116] ; [52.35359116 50.64640884],0
d5,1,0.032265,4.58436,[69  9] ; [79 25],[63.42857143 14.57142857] ; [84.57142857 19.42857143],0
b4,1,0.041273,4.164774,[49 29] ; [50 55],[42.19672131 35.80327869] ; [56.80327869 48.19672131],0
a3,1,0.042159,4.128828,[60 18] ; [66 39],[53.70491803 24.29508197] ; [72.29508197 32.70491803],0
s8,1,0.042454,4.117003,[46 32] ; [46 59],[39.21311475 38.78688525] ; [52.78688525 52.21311475],0
b5,1,0.049148,3.870294,[40 38] ; [69 36],[46.45901639 31.54098361] ; [62.54098361 42.45901639],0
n3,1,0.054116,3.709123,[11  8] ; [21  4],[13.81818182  5.18181818] ; [18.18181818  6.81818182],0
n1,1,0.060341,3.528,[12  8] ; [ 8 17],[ 8.88888889 11.11111111] ; [11.11111111 13.88888889],0
r4,1,0.065298,3.39742,[74  4] ; [91 14],[70.32786885  7.67213115] ; [94.67213115 10.32786885],0
d4,1,0.067896,3.333156,[69  9] ; [82 23],[64.36065574 13.63934426] ; [86.63934426 18.36065574],0
p3,1,0.091471,2.848294,[52 26] ; [57 48],[46.45901639 31.54098361] ; [62.54098361 42.45901639],0
a7,1,0.096454,2.763226,[53 25] ; [82 22],[57.85714286 20.14285714] ; [77.14285714 26.85714286],0
n2,1,0.113436,2.505682,[17  3] ; [16  9],[14.66666667  5.33333333] ; [18.33333333  6.66666667],0
d1,1,0.11844,2.43783,[52 26] ; [58 47],[46.8852459 31.1147541] ; [63.1147541 41.8852459],0
n4,1,0.127048,2.328204,[64 14] ; [76 29],[59.67213115 18.32786885] ; [80.32786885 24.67213115],0
a5,1,0.130355,2.288266,[60 18] ; [70 35],[55.40983607 22.59016393] ; [74.59016393 30.40983607],0
n6,1,0.186985,1.741215,[70  8] ; [87 18],[66.91803279 11.08196721] ; [90.08196721 14.91803279],0
u3,1,0.20287,1.621588,[14  4] ; [23 15],[11.89285714  6.10714286] ; [25.10714286 12.89285714],0
v2,1,0.204185,1.612183,[29 48] ; [49 55],[33.18232044 43.81767956] ; [44.81767956 59.18232044],0
d3,1,0.205324,1.604097,[59 19] ; [69 34],[55.16022099 22.83977901] ; [72.83977901 30.16022099],0
p12,1,0.244972,1.351753,[ 7 70] ; [  5 100],[ 5.07692308 71.92307692] ; [ 6.92307692 98.07692308],0
n5,1,0.3001,1.07375,[62 16] ; [75 28],[59.03867403 18.96132597] ; [77.96132597 25.03867403],0
a6,1,0.303382,1.059269,[47 31] ; [71 34],[50.29508197 27.70491803] ; [67.70491803 37.29508197],0
u1,1,0.317968,0.997286,[18 60] ; [18 87],[15.3442623 62.6557377] ; [20.6557377 84.3442623],0
p7,1,0.366962,0.813927,[66 11] ; [83 20],[63.73888889 13.26111111] ; [85.26111111 17.73888889],0
r2,1,0.389652,0.740027,[75  3] ; [96  7],[73.69060773  4.30939227] ; [97.30939227  5.69060773],0
p5,1,0.455691,0.556457,[11 67] ; [11 94],[ 9.37704918 68.62295082] ; [12.62295082 92.37704918],0
a4,1,0.466873,0.529368,[41 37] ; [49 55],[38.57142857 39.42857143] ; [51.42857143 52.57142857],0
p11,1,0.509929,0.434213,[64 14] ; [82 23],[62.2295082 15.7704918] ; [83.7704918 21.2295082],0
a2,1,0.52761,0.398992,[21 57] ; [24 81],[19.18032787 58.81967213] ; [25.81967213 79.18032787],0
v4,1,0.563308,0.334009,[75  3] ; [99  6],[74.16393443  3.83606557] ; [99.83606557  5.16393443],0
p4,1,0.596843,0.279784,[62 16] ; [80 25],[60.52459016 17.47540984] ; [81.47540984 23.52459016],0
p1,1,0.622677,0.242123,[10 68] ; [11 94],[ 8.95081967 69.04918033] ; [12.04918033 92.95081967],0
a1,1,0.666132,0.18616,[ 4 74] ; [  4 101],[ 3.40983607 74.59016393] ; [  4.59016393 100.40983607],0
b1,1,0.679262,0.170958,[34 44] ; [49 56],[35.37704918 42.62295082] ; [47.62295082 57.37704918],0
s1,1,0.686607,0.162784,[ 4 74] ; [ 4 99],[ 3.44751381 74.55248619] ; [ 4.55248619 98.44751381],0
p8,1,0.688562,0.160647,[52 26] ; [67 38],[50.72131148 27.27868852] ; [68.27868852 36.72131148],0
b2,1,0.727998,0.120958,[24 32] ; [29 34],[24.94117647 31.05882353] ; [28.05882353 34.94117647],0
b3,1,0.727998,0.120958,[24 32] ; [29 34],[24.94117647 31.05882353] ; [28.05882353 34.94117647],0
r3,1,0.778329,0.079241,[74  3] ; [100   5],[73.61538462  3.38461538] ; [100.38461538   4.61538462],0
u2,1,0.827714,0.047365,[11  7] ; [25 14],[11.36842105  6.63157895] ; [24.63157895 14.36842105],0
d2,1,0.848397,0.036544,[39 39] ; [54 51],[39.63934426 38.36065574] ; [53.36065574 51.63934426],0
r1,1,0.931928,0.007296,[62 16] ; [84 21],[62.2295082 15.7704918] ; [83.7704918 21.2295082],0
a8,1,0.941471,0.005391,[10 62] ; [14 84],[10.16470588 61.83529412] ; [13.83529412 84.16470588],0
p2,1,0.961556,0.002323,[70  8] ; [94 11],[69.90163934  8.09836066] ; [94.09836066 10.90163934],0
