Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,2e-05,18.23369,[ 2 59] ; [14 26],[ 9.66336634 51.33663366] ; [ 6.33663366 33.66336634],1
s2,1,0.00058,11.837799,[ 3 59] ; [12 29],[ 9.02912621 52.97087379] ; [ 5.97087379 35.02912621],1
p8,1,0.000601,11.77285,[ 7 56] ; [16 24],[14.06796117 48.93203883] ; [ 8.93203883 31.06796117],1
p2,1,0.000828,11.17847,[25 38] ; [30 11],[33.31730769 29.68269231] ; [21.68269231 19.31730769],1
r4,1,0.003268,8.651613,[31 32] ; [32  9],[38.16346154 24.83653846] ; [24.83653846 16.16346154],0
d5,1,0.007186,7.225769,[47 16] ; [20 21],[40.58653846 22.41346154] ; [26.41346154 14.58653846],0
p3,1,0.010129,6.611993,[10 51] ; [16 25],[15.54901961 45.45098039] ; [10.45098039 30.54901961],0
p11,1,0.011553,6.378237,[24 39] ; [26 15],[30.28846154 32.71153846] ; [19.71153846 21.28846154],0
p4,1,0.012732,6.205929,[12 51] ; [17 24],[17.56730769 45.43269231] ; [11.43269231 29.56730769],0
v1,1,0.024801,5.037751,[12 51] ; [16 25],[16.96153846 46.03846154] ; [11.03846154 29.96153846],0
n3,1,0.027801,4.840336,[12 16] ; [13  4],[15.55555556 12.44444444] ; [9.44444444 7.55555556],0
v2,1,0.03827,4.292999,[17 45] ; [19 21],[21.88235294 40.11764706] ; [14.11764706 25.88235294],0
a2,1,0.038551,4.28056,[12 51] ; [ 2 39],[ 8.48076923 54.51923077] ; [ 5.51923077 35.48076923],0
s3,1,0.0461,3.977932,[13 49] ; [16 25],[17.45631068 44.54368932] ; [11.54368932 29.45631068],0
v4,1,0.050861,3.812844,[42 20] ; [34  6],[46.19607843 15.80392157] ; [29.80392157 10.19607843],0
a3,1,0.057601,3.605149,[39 23] ; [18 23],[34.31067961 27.68932039] ; [22.68932039 18.31067961],0
d4,1,0.058224,3.587272,[44 18] ; [21 19],[39.50980392 22.49019608] ; [25.49019608 14.50980392],0
a4,1,0.060441,3.525242,[28 34] ; [11 30],[23.47572816 38.52427184] ; [15.52427184 25.47572816],0
n6,1,0.084341,2.979196,[30 33] ; [26 14],[34.25242718 28.74757282] ; [21.74757282 18.25242718],0
b4,1,0.099057,2.720664,[41 22] ; [20 21],[36.95192308 26.04807692] ; [24.04807692 16.95192308],0
r3,1,0.112735,2.515462,[41 21] ; [33  8],[44.54368932 17.45631068] ; [29.45631068 11.54368932],0
n4,1,0.132975,2.257427,[43 20] ; [22 19],[39.375 23.625] ; [25.625 15.375],0
