Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.00652,7.40071,[ 7 10] ; [52 17],[11.6627907  5.3372093] ; [47.3372093 21.6627907],0
v4,1,0.027616,4.851901,[13  4] ; [63  4],[15.38095238  1.61904762] ; [60.61904762  6.38095238],0
v1,1,0.031778,4.610434,[ 3 14] ; [31 36],[ 6.88095238 10.11904762] ; [27.11904762 39.88095238],0
r1,1,0.049365,3.862901,[9 8] ; [53 16],[12.25581395  4.74418605] ; [49.74418605 19.25581395],0
s1,1,0.056702,3.631329,[ 3 14] ; [ 3 65],[ 1.2 15.8] ; [ 4.8 63.2],0
s6,1,0.069375,3.29774,[ 7 10] ; [45 24],[10.27906977  6.72093023] ; [41.72093023 27.27906977],0
d3,1,0.074701,3.176578,[7 9] ; [46 22],[10.0952381  5.9047619] ; [42.9047619 25.0952381],0
s2,1,0.076523,3.137255,[10  7] ; [24 44],[ 6.8 10.2] ; [27.2 40.8],0
s8,1,0.077738,3.111577,[ 3 14] ; [28 41],[ 6.12790698 10.87209302] ; [24.87209302 44.12790698],0
a8,1,0.080138,3.062094,[ 4 13] ; [ 5 56],[ 1.96153846 15.03846154] ; [ 7.03846154 53.96153846],0
p10,1,0.081157,3.041578,[8 9] ; [48 21],[11.06976744  5.93023256] ; [44.93023256 24.06976744],0
p4,1,0.089442,2.88439,[ 7 10] ; [44 25],[10.08139535  6.91860465] ; [40.91860465 28.08139535],0
n4,1,0.143935,2.135376,[ 6 11] ; [38 31],[8.69767442 8.30232558] ; [35.30232558 33.69767442],0
a2,1,0.160853,1.966184,[ 1 16] ; [14 55],[ 2.96511628 14.03488372] ; [12.03488372 56.96511628],0
r4,1,0.173274,1.85439,[10  7] ; [52 17],[12.25581395  4.74418605] ; [49.74418605 19.25581395],0
s3,1,0.209727,1.57331,[12  5] ; [36 31],[9.71428571 7.28571429] ; [38.28571429 28.71428571],0
a3,1,0.230131,1.440052,[13  4] ; [42 27],[10.87209302  6.12790698] ; [44.12790698 24.87209302],0
p3,1,0.253875,1.301851,[ 6 11] ; [35 34],[8.10465116 8.89534884] ; [32.89534884 36.10465116],0
r3,1,0.280143,1.166395,[14  3] ; [63  6],[15.22093023  1.77906977] ; [61.77906977  7.22093023],0
b5,1,0.291079,1.114623,[9 8] ; [46 23],[10.87209302  6.12790698] ; [44.12790698 24.87209302],0
s5,1,0.293727,1.102458,[ 2 14] ; [17 52],[ 3.57647059 12.42352941] ; [15.42352941 53.57647059],0
p8,1,0.302624,1.062595,[7 9] ; [40 29],[8.84705882 7.15294118] ; [38.15294118 30.84705882],0
a6,1,0.307254,1.042441,[9 7] ; [48 21],[10.72941176  5.27058824] ; [46.27058824 22.72941176],0
p9,1,0.331983,0.941145,[10  7] ; [49 20],[11.6627907  5.3372093] ; [47.3372093 21.6627907],0
d1,1,0.352534,0.864316,[ 6 11] ; [33 36],[7.70930233 9.29069767] ; [31.29069767 37.70930233],0
d5,1,0.360851,0.83493,[10  6] ; [51 18],[11.48235294  4.51764706] ; [49.51764706 19.48235294],0
r2,1,0.369077,0.806768,[12  5] ; [54 13],[13.35714286  3.64285714] ; [52.64285714 14.35714286],0
d4,1,0.379581,0.772059,[10  6] ; [50 18],[11.42857143  4.57142857] ; [48.57142857 19.42857143],0
b3,1,0.426187,0.633191,[1 9] ; [ 9 34],[1.88679245 8.11320755] ; [ 8.11320755 34.88679245],0
b2,1,0.426187,0.633191,[1 9] ; [ 9 34],[1.88679245 8.11320755] ; [ 8.11320755 34.88679245],0
b4,1,0.482674,0.492815,[8 9] ; [39 30],[9.29069767 7.70930233] ; [37.70930233 31.29069767],0
u1,1,0.490734,0.474916,[ 1 16] ; [ 8 61],[ 1.77906977 15.22093023] ; [ 7.22093023 61.77906977],0
u3,1,0.552234,0.353331,[2 2] ; [17  9],[2.53333333 1.46666667] ; [16.46666667  9.53333333],0
p6,1,0.619621,0.2464,[ 5 12] ; [24 43],[ 5.86904762 11.13095238] ; [23.13095238 43.86904762],0
b1,1,0.6748,0.176039,[12  5] ; [45 24],[11.26744186  5.73255814] ; [45.73255814 23.26744186],0
n2,1,0.697767,0.150806,[6 1] ; [15  4],[5.65384615 1.34615385] ; [15.34615385  3.65384615],0
v3,1,0.726318,0.122519,[ 3 12] ; [16 50],[ 3.51851852 11.48148148] ; [15.48148148 50.51851852],0
n1,1,0.738568,0.11139,[2 4] ; [ 5 14],[1.68 4.32] ; [ 5.32 13.68],0
n5,1,0.744865,0.105897,[9 8] ; [33 35],[8.4 8.6] ; [33.6 34.4],0
u2,1,0.759444,0.093765,[3 1] ; [22  5],[3.22580645 0.77419355] ; [21.77419355  5.22580645],0
p1,1,0.787842,0.072422,[ 1 16] ; [ 3 66],[ 0.79069767 16.20930233] ; [ 3.20930233 65.79069767],0
a1,1,0.787842,0.072422,[ 1 16] ; [ 3 66],[ 0.79069767 16.20930233] ; [ 3.20930233 65.79069767],0
a5,1,0.877176,0.023886,[10  7] ; [42 27],[10.27906977  6.72093023] ; [41.72093023 27.27906977],0
a4,1,0.878259,0.023463,[ 6 11] ; [23 46],[ 5.73255814 11.26744186] ; [23.26744186 45.73255814],0
d2,1,0.904032,0.014537,[ 6 10] ; [27 42],[6.21176471 9.78823529] ; [26.78823529 42.21176471],0
n3,1,0.908433,0.013229,[5 2] ; [14  5],[5.11538462 1.88461538] ; [13.88461538  5.11538462],0
