Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.7e-05,18.535431,[31 18] ; [ 5 28],[21.51219512 27.48780488] ; [14.48780488 18.51219512],1
s8,1,0.000118,14.831424,[26 23] ; [ 4 30],[17.71084337 31.28915663] ; [12.28915663 21.71084337],1
s3,1,0.000321,12.946295,[34 14] ; [10 23],[26.07407407 21.92592593] ; [17.92592593 15.07407407],1
s7,1,0.001873,9.670054,[23 24] ; [ 4 25],[16.69736842 30.30263158] ; [10.30263158 18.69736842],0
n2,1,0.004265,8.167421,[14  3] ; [4 9],[10.2  6.8] ; [7.8 5.2],0
p4,1,0.006177,7.49799,[29 20] ; [ 9 23],[22.98765432 26.01234568] ; [15.01234568 16.98765432],0
r3,1,0.007437,7.164242,[47  2] ; [26  8],[43.09638554  5.90361446] ; [29.90361446  4.09638554],0
p10,1,0.00859,6.906059,[37 12] ; [15 17],[31.45679012 17.54320988] ; [20.54320988 11.45679012],0
p2,1,0.015817,5.823144,[38 11] ; [16 15],[33.075 15.925] ; [20.925 10.075],0
s5,1,0.022341,5.219035,[16 30] ; [ 4 29],[11.64556962 34.35443038] ; [ 8.35443038 24.64556962],0
p6,1,0.02338,5.14008,[16 32] ; [ 3 26],[11.84415584 36.15584416] ; [ 7.15584416 21.84415584],0
p9,1,0.028135,4.819792,[38 11] ; [18 15],[33.46341463 15.53658537] ; [22.53658537 10.46341463],0
s4,1,0.041136,4.170421,[11 38] ; [ 2 32],[ 7.6746988 41.3253012] ; [ 5.3253012 28.6746988],0
p11,1,0.055432,3.669037,[32 17] ; [15 19],[27.74698795 21.25301205] ; [19.25301205 14.74698795],0
u2,1,0.060761,3.516484,[12  1] ; [4 3],[10.4  2.6] ; [5.6 1.4],0
r4,1,0.08109,3.042919,[40  9] ; [22 12],[36.60240964 12.39759036] ; [25.39759036  8.60240964],0
v4,1,0.08786,2.913152,[44  5] ; [25  8],[41.23170732  7.76829268] ; [27.76829268  5.23170732],0
v1,1,0.093407,2.814652,[24 23] ; [11 23],[20.30864198 26.69135802] ; [14.69135802 19.30864198],0
v2,1,0.108647,2.573796,[28 17] ; [14 18],[24.54545455 20.45454545] ; [17.45454545 14.54545455],0
n3,1,0.119358,2.425726,[12  5] ; [5 7],[9.96551724 7.03448276] ; [7.03448276 4.96551724],0
p7,1,0.153422,2.037895,[27 19] ; [14 19],[23.87341772 22.12658228] ; [17.12658228 15.87341772],0
b5,1,0.207863,1.586248,[34 15] ; [19 15],[31.28915663 17.71084337] ; [21.71084337 12.28915663],0
a4,1,0.212075,1.557205,[22 27] ; [20 14],[24.79518072 24.20481928] ; [17.20481928 16.79518072],0
p3,1,0.260897,1.263989,[22 27] ; [10 21],[19.6 29.4] ; [12.4 18.6],0
p5,1,0.329841,0.949522,[ 4 44] ; [ 1 32],[ 2.96296296 45.03703704] ; [ 2.03703704 30.96296296],0
a1,1,0.356479,0.85026,[ 1 48] ; [ 2 32],[ 1.77108434 47.22891566] ; [ 1.22891566 32.77108434],0
u3,1,0.357197,0.847724,[10  3] ; [4 3],[9.1 3.9] ; [4.9 2.1],0
d5,1,0.366662,0.814946,[47  1] ; [32  2],[46.24390244  1.75609756] ; [32.75609756  1.24390244],0
p1,1,0.371918,0.797247,[ 2 47] ; [ 3 31],[ 2.95180723 46.04819277] ; [ 2.04819277 31.95180723],0
r1,1,0.372834,0.794197,[38 10] ; [24 10],[36.29268293 11.70731707] ; [25.70731707  8.29268293],0
d2,1,0.391076,0.735594,[31 17] ; [25  9],[32.7804878 15.2195122] ; [23.2195122 10.7804878],0
a6,1,0.391076,0.735594,[31 17] ; [25  9],[32.7804878 15.2195122] ; [23.2195122 10.7804878],0
a5,1,0.473033,0.514882,[38 11] ; [24 10],[36.60240964 12.39759036] ; [25.39759036  8.60240964],0
a3,1,0.533602,0.387528,[36 13] ; [27  7],[37.19277108 11.80722892] ; [25.80722892  8.19277108],0
n4,1,0.535968,0.383063,[24 25] ; [19 15],[25.38554217 23.61445783] ; [17.61445783 16.38554217],0
b1,1,0.59066,0.289314,[23 26] ; [18 16],[24.20481928 24.79518072] ; [16.79518072 17.20481928],0
d3,1,0.599788,0.275316,[42  6] ; [31  3],[42.73170732  5.26829268] ; [30.26829268  3.73170732],0
r2,1,0.63144,0.230114,[45  3] ; [30  3],[44.44444444  3.55555556] ; [30.55555556  2.44444444],0
p8,1,0.637352,0.222222,[19 29] ; [11 21],[18. 30.] ; [12. 20.],0
