Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,4.9e-05,16.483864,[30  5] ; [ 5 12],[23.55769231 11.44230769] ; [11.44230769  5.55769231],1
n2,1,0.132391,2.264245,[11  2] ; [5 4],[9.45454545 3.54545455] ; [6.54545455 2.45454545],0
p6,1,0.139189,2.186902,[ 8 28] ; [ 1 16],[ 6.11320755 29.88679245] ; [ 2.88679245 14.11320755],0
a1,1,0.149477,2.077583,[ 2 35] ; [ 3 14],[ 3.42592593 33.57407407] ; [ 1.57407407 15.42592593],0
s8,1,0.149477,2.077583,[ 8 29] ; [ 1 16],[ 6.16666667 30.83333333] ; [ 2.83333333 14.16666667],0
p9,1,0.152095,2.051114,[24 13] ; [7 9],[21.64150943 15.35849057] ; [9.35849057 6.64150943],0
r2,1,0.152767,2.044399,[28  8] ; [10  7],[25.81132075 10.18867925] ; [12.18867925  4.81132075],0
d3,1,0.163535,1.941233,[16 21] ; [ 4 13],[13.7037037 23.2962963] ; [ 6.2962963 10.7037037],0
n5,1,0.168432,1.89684,[16 20] ; [11  6],[18.33962264 17.66037736] ; [8.66037736 8.33962264],0
v3,1,0.193537,1.690486,[10 26] ; [ 2 15],[ 8.1509434 27.8490566] ; [ 3.8490566 13.1509434],0
a7,1,0.250776,1.318977,[17 20] ; [ 5 12],[15.07407407 21.92592593] ; [ 6.92592593 10.07407407],0
s7,1,0.265956,1.237488,[ 9 25] ; [ 2 14],[ 7.48 26.52] ; [ 3.52 12.48],0
a8,1,0.278625,1.173783,[ 6 28] ; [ 1 15],[ 4.76 29.24] ; [ 2.24 13.76],0
s5,1,0.37361,0.791621,[ 5 30] ; [ 1 16],[ 4.03846154 30.96153846] ; [ 1.96153846 15.03846154],0
p2,1,0.394366,0.725437,[22 15] ; [8 9],[20.55555556 16.44444444] ; [9.44444444 7.55555556],0
s1,1,0.407253,0.686804,[ 2 35] ; [ 2 15],[ 2.74074074 34.25925926] ; [ 1.25925926 15.74074074],0
n1,1,0.428539,0.626781,[5 8] ; [5 4],[5.90909091 7.09090909] ; [4.09090909 4.90909091],0
a3,1,0.490904,0.474544,[20 17] ; [7 9],[18.8490566 18.1509434] ; [8.1509434 7.8490566],0
v1,1,0.547045,0.362638,[14 23] ; [ 5 12],[13.01851852 23.98148148] ; [ 5.98148148 11.01851852],0
b4,1,0.609038,0.261578,[18 19] ; [ 7 10],[17.12962963 19.87037037] ; [7.87037037 9.12962963],0
b1,1,0.632783,0.228306,[20 17] ; [8 9],[19.18518519 17.81481481] ; [8.81481481 8.18518519],0
a4,1,0.636604,0.223211,[11 26] ; [ 4 13],[10.27777778 26.72222222] ; [ 4.72222222 12.27777778],0
p1,1,0.666801,0.185367,[ 3 34] ; [ 2 15],[ 3.42592593 33.57407407] ; [ 1.57407407 15.42592593],0
s4,1,0.691279,0.157704,[ 5 32] ; [ 3 14],[ 5.48148148 31.51851852] ; [ 2.51851852 14.48148148],0
d2,1,0.875547,0.024529,[ 8 29] ; [ 4 13],[ 8.22222222 28.77777778] ; [ 3.77777778 13.22222222],0
n4,1,0.939282,0.005802,[17 20] ; [8 9],[17.12962963 19.87037037] ; [7.87037037 9.12962963],0
d1,1,0.943347,0.00505,[ 2 35] ; [ 1 16],[ 2.05555556 34.94444444] ; [ 0.94444444 16.05555556],0
a2,1,0.943347,0.00505,[ 2 35] ; [ 1 16],[ 2.05555556 34.94444444] ; [ 0.94444444 16.05555556],0
