Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0017,9.848507,[ 1 17] ; [14 14],[ 5.86956522 12.13043478] ; [ 9.13043478 18.86956522],0
a7,1,0.005315,7.769,[ 4 14] ; [18 10],[8.60869565 9.39130435] ; [13.39130435 14.60869565],0
d4,1,0.00777,7.08568,[ 8 10] ; [23  5],[12.13043478  5.86956522] ; [18.86956522  9.13043478],0
v2,1,0.012314,6.265023,[ 3 15] ; [15 13],[ 7.04347826 10.95652174] ; [10.95652174 17.04347826],0
a4,1,0.019267,5.477139,[ 1 17] ; [10 18],[ 4.30434783 13.69565217] ; [ 6.69565217 21.30434783],0
d2,1,0.038603,4.278274,[ 3 15] ; [13 15],[ 6.26086957 11.73913043] ; [ 9.73913043 18.26086957],0
p2,1,0.05064,3.820143,[10  8] ; [23  5],[12.91304348  5.08695652] ; [20.08695652  7.91304348],0
r1,1,0.064412,3.419969,[ 3 15] ; [12 16],[ 5.86956522 12.13043478] ; [ 9.13043478 18.86956522],0
a5,1,0.069885,3.285714,[ 6 12] ; [17 11],[9. 9.] ; [14. 14.],0
d3,1,0.09147,2.848314,[ 7 11] ; [18 10],[9.7826087 8.2173913] ; [15.2173913 12.7826087],0
p6,1,0.103888,2.644823,[ 1 16] ; [ 7 21],[ 3.02222222 13.97777778] ; [ 4.97777778 23.02222222],0
p11,1,0.112875,2.5135,[11  7] ; [23  5],[13.30434783  4.69565217] ; [20.69565217  7.30434783],0
n5,1,0.112875,2.5135,[11  7] ; [23  5],[13.30434783  4.69565217] ; [20.69565217  7.30434783],0
p4,1,0.115502,2.477273,[ 8 10] ; [19  9],[10.56521739  7.43478261] ; [16.43478261 11.56521739],0
r3,1,0.186966,1.741366,[11  6] ; [23  5],[12.84444444  4.15555556] ; [21.15555556  6.84444444],0
n1,1,0.200441,1.639156,[3 5] ; [1 8],[1.88235294 6.11764706] ; [2.11764706 6.88235294],0
b2,1,0.233887,1.417064,[2 8] ; [ 8 11],[3.44827586 6.55172414] ; [ 6.55172414 12.44827586],0
b3,1,0.233887,1.417064,[2 8] ; [ 8 11],[3.44827586 6.55172414] ; [ 6.55172414 12.44827586],0
a8,1,0.243022,1.362981,[ 1 15] ; [ 5 21],[ 2.28571429 13.71428571] ; [ 3.71428571 22.28571429],0
v3,1,0.243365,1.360994,[ 3 15] ; [ 9 19],[ 4.69565217 13.30434783] ; [ 7.30434783 20.69565217],0
p9,1,0.258362,1.277513,[11  7] ; [20  6],[12.68181818  5.31818182] ; [18.31818182  7.68181818],0
b1,1,0.279617,1.168949,[10  8] ; [11 17],[8.2173913 9.7826087] ; [12.7826087 15.2173913],0
p3,1,0.301099,1.06932,[ 5 13] ; [12 16],[ 6.65217391 11.34782609] ; [10.34782609 17.65217391],0
p1,1,0.311151,1.025784,[ 3 15] ; [ 2 26],[ 1.95652174 16.04347826] ; [ 3.04347826 24.95652174],0
s6,1,0.330592,0.946579,[ 7 11] ; [15 13],[8.60869565 9.39130435] ; [13.39130435 14.60869565],0
r4,1,0.331755,0.942035,[ 4 14] ; [10 18],[ 5.47826087 12.52173913] ; [ 8.52173913 19.47826087],0
v1,1,0.331755,0.942035,[ 4 14] ; [10 18],[ 5.47826087 12.52173913] ; [ 8.52173913 19.47826087],0
u3,1,0.340144,0.90989,[2 8] ; [5 8],[3.04347826 6.95652174] ; [3.95652174 9.04347826],0
s2,1,0.357467,0.846774,[ 7 11] ; [ 7 20],[ 5.6 12.4] ; [ 8.4 18.6],0
p7,1,0.378677,0.774993,[ 6 12] ; [13 15],[ 7.43478261 10.56521739] ; [11.56521739 16.43478261],0
v4,1,0.398898,0.711646,[10  8] ; [19  9],[11.34782609  6.65217391] ; [17.65217391 10.34782609],0
p10,1,0.451363,0.567227,[10  8] ; [18  9],[11.2  6.8] ; [16.8 10.2],0
n4,1,0.466296,0.530739,[11  7] ; [20  8],[12.13043478  5.86956522] ; [18.86956522  9.13043478],0
s7,1,0.480689,0.4973,[ 4 14] ; [ 8 17],[ 5.02325581 12.97674419] ; [ 6.97674419 18.02325581],0
n3,1,0.485845,0.485714,[4 4] ; [6 3],[4.70588235 3.29411765] ; [5.29411765 3.70588235],0
p5,1,0.503657,0.447222,[ 3 15] ; [ 7 21],[ 3.91304348 14.08695652] ; [ 6.08695652 21.91304348],0
u2,1,0.509903,0.434266,[4 6] ; [7 6],[4.7826087 5.2173913] ; [6.2173913 6.7826087],0
a6,1,0.545699,0.365079,[ 8 10] ; [15 13],[9. 9.] ; [14. 14.],0
a3,1,0.545699,0.365079,[ 8 10] ; [15 13],[9. 9.] ; [14. 14.],0
p8,1,0.553778,0.350592,[ 8 10] ; [10 18],[ 7.04347826 10.95652174] ; [10.95652174 17.04347826],0
s3,1,0.581989,0.30303,[ 4 14] ; [ 8 19],[ 4.8 13.2] ; [ 7.2 19.8],0
b4,1,0.683135,0.166618,[12  6] ; [17 11],[11.34782609  6.65217391] ; [17.65217391 10.34782609],0
s5,1,0.691123,0.157872,[ 3 15] ; [ 6 22],[ 3.52173913 14.47826087] ; [ 5.47826087 22.52173913],0
b5,1,0.728742,0.12027,[10  8] ; [17 11],[10.56521739  7.43478261] ; [16.43478261 11.56521739],0
s8,1,0.73193,0.117347,[ 6 12] ; [ 8 20],[ 5.47826087 12.52173913] ; [ 8.52173913 19.47826087],0
a1,1,0.747415,0.103716,[ 1 17] ; [ 1 27],[ 0.7826087 17.2173913] ; [ 1.2173913 26.7826087],0
