Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,6.6e-05,15.918981,[ 1 35] ; [2 1],[ 2.76923077 33.23076923] ; [0.23076923 2.76923077],1
r4,1,0.00067,11.571572,[ 2 35] ; [2 1],[ 3.7 33.3] ; [0.3 2.7],1
s7,1,0.015219,5.890909,[ 4 29] ; [2 1],[ 5.5 27.5] ; [0.5 2.5],0
u1,1,0.019221,5.481271,[ 1 36] ; [1 2],[ 1.85 35.15] ; [0.15 2.85],0
s2,1,0.01979,5.430365,[ 5 32] ; [2 1],[ 6.475 30.525] ; [0.525 2.475],0
p4,1,0.035637,4.414414,[ 6 31] ; [2 1],[ 7.4 29.6] ; [0.6 2.4],0
v3,1,0.05681,3.628144,[ 7 30] ; [2 1],[ 8.325 28.675] ; [0.675 2.325],0
p2,1,0.08311,3.003003,[ 8 29] ; [2 1],[ 9.25 27.75] ; [0.75 2.25],0
s3,1,0.13335,2.25307,[ 9 26] ; [2 1],[10.13157895 24.86842105] ; [0.86842105 2.13157895],0
r1,1,0.149596,2.076362,[10 27] ; [2 1],[11.1 25.9] ; [0.9 2.1],0
p8,1,0.170294,1.880357,[ 3 33] ; [1 2],[ 3.69230769 32.30769231] ; [0.30769231 2.69230769],0
a2,1,0.256601,1.287001,[ 4 33] ; [1 2],[ 4.625 32.375] ; [0.375 2.625],0
d3,1,0.326945,0.960961,[14 23] ; [2 1],[14.8 22.2] ; [1.2 1.8],0
b3,1,0.377822,0.777778,[10 15] ; [2 1],[10.71428571 14.28571429] ; [1.28571429 1.71428571],0
b2,1,0.377822,0.777778,[10 15] ; [2 1],[10.71428571 14.28571429] ; [1.28571429 1.71428571],0
a7,1,0.378645,0.775097,[15 22] ; [2 1],[15.725 21.275] ; [1.275 1.725],0
p3,1,0.45299,0.563161,[ 6 31] ; [1 2],[ 6.475 30.525] ; [0.525 2.475],0
v2,1,0.45299,0.563161,[ 6 31] ; [1 2],[ 6.475 30.525] ; [0.525 2.475],0
p11,1,0.548306,0.36036,[ 7 30] ; [1 2],[ 7.4 29.6] ; [0.6 2.4],0
v1,1,0.548306,0.36036,[ 7 30] ; [1 2],[ 7.4 29.6] ; [0.6 2.4],0
d5,1,0.548306,0.36036,[19 18] ; [1 2],[18.5 18.5] ; [1.5 1.5],0
d4,1,0.548306,0.36036,[19 18] ; [1 2],[18.5 18.5] ; [1.5 1.5],0
b5,1,0.548306,0.36036,[18 19] ; [2 1],[18.5 18.5] ; [1.5 1.5],0
p9,1,0.567063,0.327621,[ 7 29] ; [1 2],[ 7.38461538 28.61538462] ; [0.61538462 2.38461538],0
a6,1,0.609425,0.261013,[19 18] ; [2 1],[19.425 17.575] ; [1.575 1.425],0
b4,1,0.609425,0.261013,[19 18] ; [2 1],[19.425 17.575] ; [1.575 1.425],0
s4,1,0.640351,0.218283,[ 8 29] ; [1 2],[ 8.325 28.675] ; [0.675 2.325],0
p7,1,0.728904,0.12012,[ 9 28] ; [1 2],[ 9.25 27.75] ; [0.75 2.25],0
d2,1,0.777998,0.079484,[15 21] ; [1 2],[14.76923077 21.23076923] ; [1.23076923 1.76923077],0
a4,1,0.820643,0.051401,[14 21] ; [1 2],[13.81578947 21.18421053] ; [1.18421053 1.81578947],0
b1,1,0.876824,0.024024,[23 14] ; [2 1],[23.125 13.875] ; [1.875 1.125],0
d1,1,0.895778,0.01716,[11 26] ; [1 2],[11.1 25.9] ; [0.9 2.1],0
