Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3e-06,21.686581,[ 7 45] ; [10  3],[13.6 38.4] ; [3.4 9.6],1
s2,1,0.000242,13.474778,[16 41] ; [12  3],[22.16666667 34.83333333] ; [5.83333333 9.16666667],1
s6,1,0.001566,9.99886,[22 35] ; [12  2],[27.29577465 29.70422535] ; [6.70422535 7.29577465],0
p10,1,0.002807,8.928571,[23 33] ; [12  2],[28. 28.] ; [7. 7.],0
s5,1,0.003037,8.785332,[10 45] ; [8 6],[14.34782609 40.65217391] ; [ 3.65217391 10.34782609],0
v1,1,0.003493,8.530347,[15 42] ; [10  5],[19.79166667 37.20833333] ; [5.20833333 9.79166667],0
s3,1,0.005175,7.817143,[19 38] ; [11  4],[23.75 33.25] ; [6.25 8.75],0
p6,1,0.007191,7.224637,[ 6 50] ; [6 9],[ 9.46478873 46.53521127] ; [ 2.53521127 12.46478873],0
a4,1,0.013128,6.151743,[18 39] ; [10  5],[22.16666667 34.83333333] ; [5.83333333 9.16666667],0
d2,1,0.016287,5.77166,[22 35] ; [11  4],[26.125 30.875] ; [6.875 8.125],0
p9,1,0.016427,5.756614,[23 31] ; [11  3],[27. 27.] ; [7. 7.],0
r4,1,0.023984,5.095809,[36 21] ; [14  1],[39.58333333 17.41666667] ; [10.41666667  4.58333333],0
a3,1,0.029789,4.721404,[32 25] ; [13  2],[35.625 21.375] ; [9.375 5.625],0
p11,1,0.037928,4.308253,[21 36] ; [10  5],[24.54166667 32.45833333] ; [6.45833333 8.54166667],0
n5,1,0.071778,3.241878,[16 40] ; [8 7],[18.92957746 37.07042254] ; [5.07042254 9.92957746],0
p4,1,0.071778,3.241878,[16 40] ; [8 7],[18.92957746 37.07042254] ; [5.07042254 9.92957746],0
n2,1,0.085681,2.95371,[11 12] ; [8 2],[13.24242424  9.75757576] ; [5.75757576 4.24242424],0
d1,1,0.105514,2.62015,[21 36] ; [9 6],[23.75 33.25] ; [6.25 8.75],0
a2,1,0.10777,2.586621,[ 6 51] ; [ 4 11],[ 7.91666667 49.08333333] ; [ 2.08333333 12.91666667],0
v3,1,0.109057,2.567832,[16 39] ; [ 1 12],[13.75 41.25] ; [3.25 9.75],0
n1,1,0.11456,2.49016,[ 6 17] ; [5 4],[ 7.90625 15.09375] ; [3.09375 5.90625],0
a5,1,0.119393,2.425263,[29 28] ; [11  4],[31.66666667 25.33333333] ; [8.33333333 6.66666667],0
s4,1,0.244687,1.353383,[11 46] ; [ 5 10],[12.66666667 44.33333333] ; [ 3.33333333 11.66666667],0
a7,1,0.265229,1.241258,[32 25] ; [6 9],[30.08333333 26.91666667] ; [7.91666667 7.08333333],0
p12,1,0.274906,1.192102,[ 1 56] ; [ 1 13],[ 1.6056338 55.3943662] ; [ 0.3943662 13.6056338],0
a8,1,0.274906,1.192102,[ 1 56] ; [ 1 13],[ 1.6056338 55.3943662] ; [ 0.3943662 13.6056338],0
p7,1,0.319296,0.991827,[15 41] ; [6 9],[16.56338028 39.43661972] ; [ 4.43661972 10.56338028],0
v2,1,0.391897,0.733047,[22 32] ; [7 6],[23.37313433 30.62686567] ; [5.62686567 7.37313433],0
r1,1,0.392732,0.730465,[31 26] ; [10  5],[32.45833333 24.54166667] ; [8.54166667 6.45833333],0
p1,1,0.431012,0.620096,[ 4 53] ; [ 2 13],[ 4.75 52.25] ; [ 1.25 13.75],0
n6,1,0.453286,0.562422,[28 29] ; [9 6],[29.29166667 27.70833333] ; [7.70833333 7.29166667],0
b1,1,0.512334,0.429297,[25 32] ; [8 7],[26.125 30.875] ; [6.875 8.125],0
p3,1,0.55396,0.350271,[11 45] ; [ 4 11],[11.83098592 44.16901408] ; [ 3.16901408 11.83098592],0
a6,1,0.594145,0.283917,[26 31] ; [8 7],[26.91666667 30.08333333] ; [7.08333333 7.91666667],0
n3,1,0.599283,0.276078,[11 11] ; [6 4],[11.6875 10.3125] ; [5.3125 4.6875],0
b5,1,0.629418,0.232851,[38 19] ; [9 6],[37.20833333 19.79166667] ; [9.79166667 5.20833333],0
b4,1,0.697031,0.151579,[31 26] ; [9 6],[31.66666667 25.33333333] ; [8.33333333 6.66666667],0
b2,1,0.817085,0.053498,[ 8 19] ; [4 8],[ 8.30769231 18.69230769] ; [3.69230769 8.30769231],0
b3,1,0.817085,0.053498,[ 8 19] ; [4 8],[ 8.30769231 18.69230769] ; [3.69230769 8.30769231],0
a1,1,0.832774,0.044582,[ 3 54] ; [ 1 14],[ 3.16666667 53.83333333] ; [ 0.83333333 14.16666667],0
d3,1,0.865527,0.028677,[28 29] ; [7 8],[27.70833333 29.29166667] ; [7.29166667 7.70833333],0
d4,1,0.978114,0.000753,[42 15] ; [11  4],[41.95833333 15.04166667] ; [11.04166667  3.95833333],0
p8,1,0.99262,8.6e-05,[15 41] ; [ 4 11],[14.98591549 41.01408451] ; [ 4.01408451 10.98591549],0
