Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,59.463206,[101  23] ; [ 3 29],[82.66666667 41.33333333] ; [21.33333333 10.66666667],1
v4,1,0.0,31.203472,[109  14] ; [14 18],[97.60645161 25.39354839] ; [25.39354839  6.60645161],1
r2,1,3e-06,21.866895,[108  15] ; [15 15],[98.88235294 24.11764706] ; [24.11764706  5.88235294],1
r1,1,6e-06,20.443771,[88 35] ; [ 9 23],[76.97419355 46.02580645] ; [20.02580645 11.97419355],1
p2,1,0.000116,14.860141,[85 39] ; [10 22],[75.51282051 48.48717949] ; [19.48717949 12.51282051],1
p11,1,0.000656,11.610715,[69 55] ; [ 7 25],[60.41025641 63.58974359] ; [15.58974359 16.41025641],1
a1,1,0.003739,8.406553,[  5 119] ; [ 6 26],[  8.74358974 115.25641026] ; [ 2.25641026 29.74358974],0
p8,1,0.003827,8.363909,[41 83] ; [ 2 28],[34.62337662 89.37662338] ; [ 8.37662338 21.62337662],0
d4,1,0.004729,7.980192,[93 30] ; [16 16],[86.49677419 36.50322581] ; [22.50322581  9.49677419],0
v2,1,0.006725,7.345101,[46 76] ; [ 4 28],[39.61038961 82.38961039] ; [10.38961039 21.61038961],0
v1,1,0.00692,7.293699,[41 81] ; [ 3 29],[34.85714286 87.14285714] ; [ 9.14285714 22.85714286],0
p6,1,0.009824,6.666566,[35 87] ; [ 2 29],[29.50326797 92.49673203] ; [ 7.49673203 23.50326797],0
d5,1,0.010302,6.581966,[88 36] ; [15 17],[81.87179487 42.12820513] ; [21.12820513 10.87179487],0
n6,1,0.011363,6.407693,[82 41] ; [13 18],[75.87662338 47.12337662] ; [19.12337662 11.87662338],0
n5,1,0.012643,6.218416,[62 61] ; [24  8],[68.24516129 54.75483871] ; [17.75483871 14.24516129],0
d3,1,0.013205,6.141489,[73 51] ; [11 21],[66.76923077 57.23076923] ; [17.23076923 14.76923077],0
s6,1,0.016437,5.755563,[57 66] ; [ 7 24],[51.11688312 71.88311688] ; [12.88311688 18.11688312],0
s8,1,0.019076,5.494496,[26 97] ; [ 1 30],[ 21.56493506 101.43506494] ; [ 5.43506494 25.56493506],0
p4,1,0.019085,5.493749,[51 73] ; [ 6 26],[45.30769231 78.69230769] ; [11.69230769 20.30769231],0
u3,1,0.01922,5.481382,[28 26] ; [ 3 13],[23.91428571 30.08571429] ; [7.08571429 8.91428571],0
s2,1,0.02073,5.349327,[41 82] ; [ 4 28],[35.70967742 87.29032258] ; [ 9.29032258 22.70967742],0
n2,1,0.028389,4.804266,[33 17] ; [ 7 12],[28.98550725 21.01449275] ; [11.01449275  7.98550725],0
p3,1,0.035098,4.440388,[43 80] ; [ 5 27],[38.09032258 84.90967742] ; [ 9.90967742 22.09032258],0
a7,1,0.049549,3.856669,[78 46] ; [14 18],[73.12820513 50.87179487] ; [18.87179487 13.12820513],0
p7,1,0.05742,3.610369,[58 66] ; [ 9 23],[53.25641026 70.74358974] ; [13.74358974 18.25641026],0
p9,1,0.063018,3.456108,[46 75] ; [ 6 24],[41.66887417 79.33112583] ; [10.33112583 19.66887417],0
b5,1,0.076106,3.146165,[83 41] ; [16 16],[78.69230769 45.30769231] ; [20.30769231 11.69230769],0
b1,1,0.095373,2.781268,[57 67] ; [20 12],[61.20512821 62.79487179] ; [15.79487179 16.20512821],0
d1,1,0.097254,2.750012,[59 65] ; [10 22],[54.84615385 69.15384615] ; [14.15384615 17.84615385],0
n3,1,0.099789,2.708907,[32 18] ; [ 8 11],[28.98550725 21.01449275] ; [11.01449275  7.98550725],0
s7,1,0.120306,2.413327,[34 85] ; [ 4 24],[30.76190476 88.23809524] ; [ 7.23809524 20.76190476],0
s4,1,0.130824,2.282699,[ 17 105] ; [ 8 24],[ 19.80519481 102.19480519] ; [ 5.19480519 26.80519481],0
n4,1,0.145628,2.11746,[67 56] ; [22 10],[70.62580645 52.37419355] ; [18.37419355 13.62580645],0
s3,1,0.201616,1.630628,[53 71] ; [ 9 21],[49.92207792 74.07792208] ; [12.07792208 17.92207792],0
u1,1,0.212398,1.555005,[ 18 106] ; [ 2 30],[ 15.8974359 108.1025641] ; [ 4.1025641 27.8974359],0
a5,1,0.25585,1.291072,[72 52] ; [15 17],[69.15384615 54.84615385] ; [17.84615385 14.15384615],0
a2,1,0.290589,1.11689,[ 21 103] ; [ 3 29],[ 19.07692308 104.92307692] ; [ 4.92307692 27.07692308],0
d2,1,0.295584,1.094011,[61 63] ; [12 19],[58.4 65.6] ; [14.6 16.4],0
a6,1,0.332102,0.940682,[70 54] ; [15 17],[67.56410256 56.43589744] ; [17.43589744 14.56410256],0
p5,1,0.404972,0.693512,[  4 120] ; [ 2 29],[  4.8 119.2] ; [ 1.2 29.8],0
a8,1,0.411505,0.67445,[ 14 100] ; [ 2 27],[ 12.75524476 101.24475524] ; [ 3.24475524 25.75524476],0
b3,1,0.418202,0.655361,[26 50] ; [10 13],[27.63636364 48.36363636] ; [ 8.36363636 14.63636364],0
b2,1,0.418202,0.655361,[26 50] ; [10 13],[27.63636364 48.36363636] ; [ 8.36363636 14.63636364],0
u2,1,0.461151,0.543099,[22 31] ; [ 5 11],[20.73913043 32.26086957] ; [6.26086957 9.73913043],0
b4,1,0.512976,0.427993,[70 54] ; [16 16],[68.35897436 55.64102564] ; [17.64102564 14.35897436],0
s1,1,0.573143,0.317452,[  8 115] ; [ 3 29],[  8.72903226 114.27096774] ; [ 2.27096774 29.72903226],0
p1,1,0.581736,0.303436,[  8 114] ; [ 3 29],[  8.71428571 113.28571429] ; [ 2.28571429 29.71428571],0
n1,1,0.710832,0.137448,[19 32] ; [ 8 11],[19.67142857 31.32857143] ; [ 7.32857143 11.67142857],0
a3,1,0.723268,0.125383,[70 53] ; [16 14],[69.1372549 53.8627451] ; [16.8627451 13.1372549],0
p12,1,0.827419,0.04753,[  3 120] ; [ 1 31],[  3.17419355 119.82580645] ; [ 0.82580645 31.17419355],0
a4,1,0.836365,0.042661,[48 76] ; [11 19],[47.50649351 76.49350649] ; [11.49350649 18.50649351],0
s5,1,0.856966,0.032486,[21 99] ; [ 5 26],[20.66225166 99.33774834] ; [ 5.33774834 25.66225166],0
