Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.894346,[ 9 36] ; [32 12],[20.73033708 24.26966292] ; [20.26966292 23.73033708],1
s6,1,1e-05,19.579255,[17 31] ; [35  8],[27.42857143 20.57142857] ; [24.57142857 18.42857143],1
s3,1,0.002983,8.817994,[19 29] ; [31 13],[26.08695652 21.91304348] ; [23.91304348 20.08695652],0
s2,1,0.007341,7.187521,[14 34] ; [25 19],[20.34782609 27.65217391] ; [18.65217391 25.34782609],0
n6,1,0.010933,6.476169,[30 18] ; [37  6],[35.34065934 12.65934066] ; [31.65934066 11.34065934],0
s5,1,0.011805,6.339926,[ 9 36] ; [19 23],[14.48275862 30.51724138] ; [13.51724138 28.48275862],0
p10,1,0.012972,6.17289,[30 18] ; [36  6],[35.2 12.8] ; [30.8 11.2],0
p9,1,0.014148,6.019638,[32 16] ; [38  5],[36.92307692 11.07692308] ; [33.07692308  9.92307692],0
r4,1,0.020491,5.369571,[38 10] ; [42  2],[41.73913043  6.26086957] ; [38.26086957  5.73913043],0
p11,1,0.024329,5.071001,[29 19] ; [36  8],[33.91304348 14.08695652] ; [31.08695652 12.91304348],0
d5,1,0.044355,4.042985,[33 15] ; [38  6],[37.04347826 10.95652174] ; [33.95652174 10.04347826],0
v3,1,0.062946,3.458012,[16 31] ; [23 20],[20.36666667 26.63333333] ; [18.63333333 24.36666667],0
v1,1,0.073323,3.207014,[23 25] ; [28 14],[27.2 20.8] ; [23.8 18.2],0
d2,1,0.078312,3.09959,[17 30] ; [24 20],[21.17582418 25.82417582] ; [19.82417582 24.17582418],0
p2,1,0.111358,2.534841,[31 17] ; [35  9],[34.43478261 13.56521739] ; [31.56521739 12.43478261],0
n5,1,0.116547,2.463118,[27 21] ; [31 12],[30.59340659 17.40659341] ; [27.40659341 15.59340659],0
n1,1,0.13057,2.285714,[2 6] ; [5 3],[3.5 4.5] ; [3.5 4.5],0
a5,1,0.165411,1.924052,[32 16] ; [35  9],[34.95652174 13.04347826] ; [32.04347826 11.95652174],0
n4,1,0.16582,1.92033,[33 15] ; [35  8],[35.86813187 12.13186813] ; [32.13186813 10.86813187],0
r3,1,0.176181,1.829545,[42  6] ; [42  2],[43.82608696  4.17391304] ; [40.17391304  3.82608696],0
a1,1,0.200232,1.640683,[ 4 44] ; [ 1 43],[ 2.60869565 45.39130435] ; [ 2.39130435 41.60869565],0
a6,1,0.205479,1.602995,[34 14] ; [25 18],[31.12087912 16.87912088] ; [27.87912088 15.12087912],0
v2,1,0.227195,1.458333,[26 22] ; [28 14],[28.8 19.2] ; [25.2 16.8],0
b3,1,0.233384,1.420118,[ 9 17] ; [17 17],[11.26666667 14.73333333] ; [14.73333333 19.26666667],0
b2,1,0.233384,1.420118,[ 9 17] ; [17 17],[11.26666667 14.73333333] ; [14.73333333 19.26666667],0
a7,1,0.234052,1.416065,[32 16] ; [24 20],[29.2173913 18.7826087] ; [26.7826087 17.2173913],0
p6,1,0.240219,1.379311,[ 9 36] ; [13 29],[11.37931034 33.62068966] ; [10.62068966 31.37931034],0
s1,1,0.26595,1.237517,[ 1 47] ; [ 3 41],[ 2.08695652 45.91304348] ; [ 1.91304348 42.08695652],0
d1,1,0.300795,1.070664,[21 27] ; [24 20],[23.47826087 24.52173913] ; [21.52173913 22.47826087],0
u2,1,0.308512,1.037037,[4 8] ; [5 4],[5.14285714 6.85714286] ; [3.85714286 5.14285714],0
r1,1,0.393704,0.727471,[33 15] ; [33 10],[34.81318681 13.18681319] ; [31.18681319 11.81318681],0
d3,1,0.413659,0.668259,[27 21] ; [21 23],[25.04347826 22.95652174] ; [22.95652174 21.04347826],0
u3,1,0.431333,0.619231,[7 6] ; [7 3],[7.91304348 5.08695652] ; [6.08695652 3.91304348],0
p1,1,0.434572,0.610574,[ 5 43] ; [ 7 37],[ 6.26086957 41.73913043] ; [ 5.73913043 38.26086957],0
v4,1,0.462314,0.540287,[44  4] ; [42  2],[44.86956522  3.13043478] ; [41.13043478  2.86956522],0
p8,1,0.492487,0.471087,[20 28] ; [21 22],[21.62637363 26.37362637] ; [19.37362637 23.62637363],0
a3,1,0.493699,0.468454,[35 13] ; [34  9],[36.3956044 11.6043956] ; [32.6043956 10.3956044],0
b4,1,0.648788,0.207431,[25 23] ; [25 19],[26.08695652 21.91304348] ; [23.91304348 20.08695652],0
a8,1,0.814004,0.055349,[ 5 41] ; [ 5 35],[ 5.34883721 40.65116279] ; [ 4.65116279 35.34883721],0
a2,1,0.82587,0.048401,[10 38] ; [10 34],[10.43478261 37.56521739] ; [ 9.56521739 34.43478261],0
b1,1,0.841727,0.039874,[23 25] ; [22 22],[23.47826087 24.52173913] ; [21.52173913 22.47826087],0
u1,1,0.85963,0.031274,[ 7 41] ; [ 7 37],[ 7.30434783 40.69565217] ; [ 6.69565217 37.30434783],0
a4,1,0.88321,0.02158,[20 28] ; [19 25],[20.34782609 27.65217391] ; [18.65217391 25.34782609],0
s4,1,0.896365,0.016966,[ 7 41] ; [ 6 38],[ 6.7826087 41.2173913] ; [ 6.2173913 37.7826087],0
b5,1,0.910707,0.012577,[30 18] ; [27 17],[29.73913043 18.26086957] ; [27.26086957 16.73913043],0
p5,1,0.929086,0.00792,[ 2 46] ; [ 2 42],[ 2.08695652 45.91304348] ; [ 1.91304348 42.08695652],0
p7,1,0.929975,0.007722,[35 13] ; [31 12],[34.81318681 13.18681319] ; [31.18681319 11.81318681],0
d4,1,0.96424,0.00201,[38 10] ; [35  9],[38.08695652  9.91304348] ; [34.91304348  9.08695652],0
n2,1,1.0,0.0,[7 1] ; [7 1],[7. 1.] ; [7. 1.],0
