Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2e-06,22.841052,[76  6] ; [33 23],[64.76811594 17.23188406] ; [44.23188406 11.76811594],1
p11,1,4e-06,21.296568,[58 27] ; [16 40],[44.60992908 40.39007092] ; [29.39007092 26.60992908],1
r3,1,2.4e-05,17.880123,[76  9] ; [33 23],[65.70921986 19.29078014] ; [43.29078014 12.70921986],1
s6,1,3e-05,17.434886,[49 36] ; [12 43],[37.03571429 47.96428571] ; [23.96428571 31.03571429],1
r4,1,3.5e-05,17.121429,[68 17] ; [26 30],[56.66666667 28.33333333] ; [37.33333333 18.66666667],1
p4,1,0.000524,12.028109,[38 47] ; [ 9 46],[28.53571429 56.46428571] ; [18.46428571 36.53571429],1
p7,1,0.000556,11.916788,[43 40] ; [12 42],[33.32116788 49.67883212] ; [21.67883212 32.32116788],1
p9,1,0.002124,9.438927,[60 25] ; [24 30],[51.36690647 33.63309353] ; [32.63309353 21.36690647],0
p10,1,0.00228,9.309454,[54 31] ; [20 34],[45.25179856 39.74820144] ; [28.74820144 25.25179856],0
a1,1,0.002959,8.832883,[ 2 83] ; [ 9 47],[ 6.63120567 78.36879433] ; [ 4.36879433 51.63120567],0
p3,1,0.003956,8.303768,[31 54] ; [ 8 48],[23.5106383 61.4893617] ; [15.4893617 40.5106383],0
s8,1,0.005971,7.558993,[28 57] ; [ 7 49],[21.09929078 63.90070922] ; [13.90070922 42.09929078],0
a6,1,0.012267,6.271847,[61 24] ; [28 27],[54.03571429 30.96428571] ; [34.96428571 20.03571429],0
a7,1,0.018106,5.585861,[62 23] ; [30 26],[55.46099291 29.53900709] ; [36.53900709 19.46099291],0
d3,1,0.019953,5.415979,[57 28] ; [26 29],[50.39285714 34.60714286] ; [32.60714286 22.39285714],0
p8,1,0.025571,4.984799,[30 54] ; [10 45],[24.17266187 59.82733813] ; [15.82733813 39.17266187],0
n1,1,0.035673,4.412668,[ 5 17] ; [15 14],[ 8.62745098 13.37254902] ; [11.37254902 17.62745098],0
b5,1,0.038477,4.283829,[53 32] ; [25 31],[47.0212766 37.9787234] ; [30.9787234 25.0212766],0
r2,1,0.044433,4.040018,[74  9] ; [42 13],[69.76811594 13.23188406] ; [46.23188406  8.76811594],0
d4,1,0.053373,3.73221,[66 18] ; [35 20],[61.03597122 22.96402878] ; [39.96402878 15.03597122],0
u3,1,0.061582,3.494267,[22  8] ; [10 11],[18.82352941 11.17647059] ; [13.17647059  7.82352941],0
a4,1,0.064334,3.421975,[25 60] ; [25 31],[30.14184397 54.85815603] ; [19.85815603 36.14184397],0
r1,1,0.072644,3.222249,[63 21] ; [34 22],[58.2 25.8] ; [38.8 17.2],0
v1,1,0.081432,3.036093,[35 46] ; [16 40],[30.15328467 50.84671533] ; [20.84671533 35.15328467],0
s1,1,0.091381,2.849873,[ 3 81] ; [ 6 50],[ 5.4 78.6] ; [ 3.6 52.4],0
s5,1,0.093441,2.814071,[17 67] ; [ 5 48],[13.48905109 70.51094891] ; [ 8.51094891 44.48905109],0
b4,1,0.129182,2.30231,[52 33] ; [27 29],[47.62411348 37.37588652] ; [31.37588652 24.62411348],0
b3,1,0.162098,1.954545,[10 40] ; [12 24],[12.79069767 37.20930233] ; [ 9.20930233 26.79069767],0
b2,1,0.162098,1.954545,[10 40] ; [12 24],[12.79069767 37.20930233] ; [ 9.20930233 26.79069767],0
d5,1,0.166184,1.917031,[62 23] ; [34 21],[58.28571429 26.71428571] ; [37.71428571 17.28571429],0
s3,1,0.175255,1.837406,[45 39] ; [23 32],[41.09352518 42.90647482] ; [26.90647482 28.09352518],0
s7,1,0.181879,1.782205,[26 53] ; [11 39],[22.65891473 56.34108527] ; [14.34108527 35.65891473],0
u2,1,0.200259,1.640484,[21  9] ; [11 10],[18.82352941 11.17647059] ; [13.17647059  7.82352941],0
v2,1,0.212524,1.554149,[35 44] ; [17 34],[31.6 47.4] ; [20.4 30.6],0
n2,1,0.234741,1.411899,[16  6] ; [17 13],[13.96153846  8.03846154] ; [19.03846154 10.96153846],0
n3,1,0.254451,1.298701,[16  6] ; [16 12],[14.08  7.92] ; [17.92 10.08],0
n5,1,0.25882,1.275057,[32 53] ; [26 29],[35.21428571 49.78571429] ; [22.78571429 32.21428571],0
u1,1,0.267629,1.228858,[ 7 78] ; [ 2 54],[ 5.42553191 79.57446809] ; [ 3.57446809 52.42553191],0
s4,1,0.3692,0.806354,[10 75] ; [ 4 52],[ 8.43971631 76.56028369] ; [ 5.56028369 50.43971631],0
p5,1,0.378473,0.775657,[ 4 81] ; [ 1 53],[ 3.05755396 81.94244604] ; [ 1.94244604 52.05755396],0
