Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.000102,15.104835,[  8 124] ; [3 3],[ 10.52173913 121.47826087] ; [0.47826087 5.52173913],1
p8,1,0.007831,7.071701,[34 98] ; [4 1],[36.61313869 95.38686131] ; [1.38686131 3.61313869],0
s1,1,0.011731,6.351136,[  8 124] ; [2 4],[  9.56521739 122.43478261] ; [0.43478261 5.56521739],0
p4,1,0.015375,5.872977,[46 87] ; [5 1],[48.79856115 84.20143885] ; [2.20143885 3.79856115],0
a6,1,0.061004,3.509873,[74 59] ; [1 5],[71.76258993 61.23741007] ; [3.23741007 2.76258993],0
s7,1,0.061048,3.508673,[29 96] ; [3 2],[30.76923077 94.23076923] ; [1.23076923 3.76923077],0
s6,1,0.065192,3.400103,[52 82] ; [4 1],[53.98561151 80.01438849] ; [2.01438849 2.98561151],0
u1,1,0.0671,3.35257,[ 13 121] ; [2 4],[ 14.35714286 119.64285714] ; [0.64285714 5.35714286],0
n1,1,0.093433,2.8142,[19 38] ; [3 1],[20.55737705 36.44262295] ; [1.44262295 2.55737705],0
s3,1,0.162448,1.951292,[50 81] ; [4 2],[51.6350365 79.3649635] ; [2.3649635 3.6350365],0
n2,1,0.165879,1.919798,[35 23] ; [1 3],[33.67741935 24.32258065] ; [2.32258065 1.67741935],0
n3,1,0.185856,1.750162,[33 23] ; [1 3],[31.73333333 24.26666667] ; [2.26666667 1.73333333],0
p7,1,0.191417,1.706675,[53 80] ; [4 2],[54.53956835 78.46043165] ; [2.46043165 3.53956835],0
s8,1,0.191761,1.704033,[ 23 111] ; [2 3],[ 24.10071942 109.89928058] ; [0.89928058 4.10071942],0
b5,1,0.208185,1.584006,[77 57] ; [5 1],[78.48571429 55.51428571] ; [3.51428571 2.48571429],0
d1,1,0.243549,1.359936,[57 77] ; [4 2],[58.38571429 75.61428571] ; [2.61428571 3.38571429],0
a4,1,0.254432,1.298801,[53 80] ; [1 5],[51.66906475 81.33093525] ; [2.33093525 3.66906475],0
r1,1,0.25987,1.269449,[81 53] ; [5 1],[82.31428571 51.68571429] ; [3.68571429 2.31428571],0
d5,1,0.382014,0.764209,[88 45] ; [5 1],[88.98561151 44.01438849] ; [4.01438849 1.98561151],0
r4,1,0.425944,0.633857,[91 43] ; [5 1],[91.88571429 42.11428571] ; [4.11428571 1.88571429],0
d3,1,0.456201,0.555198,[68 65] ; [4 2],[68.89208633 64.10791367] ; [3.10791367 2.89208633],0
a8,1,0.459648,0.546752,[ 10 114] ; [1 5],[ 10.49230769 113.50769231] ; [0.50769231 5.49230769],0
a1,1,0.469055,0.524202,[ 11 123] ; [1 5],[ 11.48571429 122.51428571] ; [0.51428571 5.48571429],0
a3,1,0.50032,0.454258,[70 63] ; [4 2],[70.8057554 62.1942446] ; [3.1942446 2.8057554],0
p6,1,0.52158,0.410767,[ 29 102] ; [2 4],[ 29.64233577 101.35766423] ; [1.35766423 4.64233577],0
r3,1,0.539618,0.376249,[103  30] ; [4 2],[102.38129496  30.61870504] ; [4.61870504 1.38129496],0
p11,1,0.557105,0.344741,[61 73] ; [2 4],[60.3 73.7] ; [2.7 3.3],0
p2,1,0.580912,0.304762,[74 60] ; [4 2],[74.65714286 59.34285714] ; [3.34285714 2.65714286],0
a7,1,0.594416,0.2835,[74 59] ; [4 2],[74.63309353 58.36690647] ; [3.36690647 2.63309353],0
b4,1,0.663084,0.1898,[79 55] ; [3 3],[78.48571429 55.51428571] ; [3.51428571 2.48571429],0
s2,1,0.736238,0.113461,[36 97] ; [2 4],[36.35971223 96.64028777] ; [1.64028777 4.35971223],0
b2,1,0.741125,0.10914,[27 55] ; [1 3],[26.69767442 55.30232558] ; [1.30232558 2.69767442],0
b3,1,0.741125,0.10914,[27 55] ; [1 3],[26.69767442 55.30232558] ; [1.30232558 2.69767442],0
p9,1,0.747262,0.103846,[43 87] ; [2 3],[43.33333333 86.66666667] ; [1.66666667 3.33333333],0
v4,1,0.764759,0.089543,[104  29] ; [5 1],[104.29496403  28.70503597] ; [4.70503597 1.29496403],0
d2,1,0.782606,0.076134,[58 73] ; [3 3],[58.32846715 72.67153285] ; [2.67153285 3.32846715],0
v3,1,0.869144,0.027141,[ 25 104] ; [1 5],[ 24.84444444 104.15555556] ; [1.15555556 4.84444444],0
u3,1,0.895695,0.017188,[29 35] ; [1 1],[29.09090909 34.90909091] ; [0.90909091 1.09090909],0
d4,1,0.916322,0.011039,[90 41] ; [4 2],[89.88321168 41.11678832] ; [4.11678832 1.88321168],0
r2,1,0.924916,0.008882,[108  24] ; [5 1],[108.08695652  23.91304348] ; [4.91304348 1.08695652],0
s5,1,0.98693,0.000268,[ 22 108] ; [1 5],[ 21.98529412 108.01470588] ; [1.01470588 4.98529412],0
a5,1,1.0,0.0,[67 67] ; [3 3],[67. 67.] ; [3. 3.],0
b1,1,1.0,0.0,[67 67] ; [3 3],[67. 67.] ; [3. 3.],0
