Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,2e-05,18.187846,[ 5 19] ; [27  8],[13.01694915 10.98305085] ; [18.98305085 16.01694915],1
d1,1,3e-05,17.429698,[ 1 23] ; [20 15],[ 8.54237288 15.45762712] ; [12.45762712 22.54237288],1
d3,1,0.000203,13.799184,[ 4 20] ; [23 12],[10.98305085 13.01694915] ; [16.01694915 18.98305085],1
a7,1,0.00803,7.026736,[ 6 18] ; [21 14],[10.98305085 13.01694915] ; [16.01694915 18.98305085],0
a5,1,0.014414,5.986746,[ 8 16] ; [23 12],[12.61016949 11.38983051] ; [18.38983051 16.61016949],0
p9,1,0.029019,4.766511,[ 6 15] ; [20 14],[ 9.92727273 11.07272727] ; [16.07272727 17.92727273],0
a3,1,0.030321,4.691006,[ 8 14] ; [23 12],[11.96491228 10.03508772] ; [19.03508772 15.96491228],0
a4,1,0.035732,4.409847,[ 4 19] ; [15 19],[ 7.66666667 15.33333333] ; [11.33333333 22.66666667],0
p3,1,0.036481,4.374465,[ 3 21] ; [13 22],[ 6.50847458 17.49152542] ; [ 9.49152542 25.50847458],0
p10,1,0.073983,3.192355,[ 7 16] ; [19 16],[10.31034483 12.68965517] ; [15.68965517 19.31034483],0
u3,1,0.079741,3.070175,[ 3 13] ; [6 6],[ 5.14285714 10.85714286] ; [3.85714286 8.14285714],0
a6,1,0.112541,2.518166,[ 8 16] ; [19 16],[10.98305085 13.01694915] ; [16.01694915 18.98305085],0
n5,1,0.134813,2.236185,[20  4] ; [23 12],[17.49152542  6.50847458] ; [25.50847458  9.49152542],0
r4,1,0.14411,2.133518,[ 2 22] ; [ 8 27],[ 4.06779661 19.93220339] ; [ 5.93220339 29.06779661],0
s3,1,0.154414,2.0281,[ 5 17] ; [14 20],[ 7.46428571 14.53571429] ; [11.53571429 22.46428571],0
p4,1,0.181376,1.786313,[ 5 19] ; [13 22],[ 7.3220339 16.6779661] ; [10.6779661 24.3220339],0
s5,1,0.195799,1.673434,[ 3 21] ; [ 9 25],[ 4.96551724 19.03448276] ; [ 7.03448276 26.96551724],0
b1,1,0.227418,1.456939,[12 12] ; [23 12],[14.23728814  9.76271186] ; [20.76271186 14.23728814],0
b4,1,0.227418,1.456939,[12 12] ; [23 12],[14.23728814  9.76271186] ; [20.76271186 14.23728814],0
d2,1,0.247781,1.335772,[ 7 17] ; [15 19],[ 9.10344828 14.89655172] ; [12.89655172 21.10344828],0
b5,1,0.283297,1.151206,[11 13] ; [21 14],[13.01694915 10.98305085] ; [18.98305085 16.01694915],0
r1,1,0.285409,1.141153,[ 7 17] ; [15 20],[ 8.94915254 15.05084746] ; [13.05084746 21.94915254],0
a2,1,0.325183,0.967985,[ 1 23] ; [ 4 31],[ 2.03389831 21.96610169] ; [ 2.96610169 32.03389831],0
v4,1,0.371646,0.798152,[13 11] ; [23 12],[14.6440678  9.3559322] ; [21.3559322 13.6440678],0
n3,1,0.392959,0.729766,[11  8] ; [6 8],[9.78787879 9.21212121] ; [7.21212121 6.78787879],0
n4,1,0.393248,0.728874,[17  7] ; [21 14],[15.45762712  8.54237288] ; [22.54237288 12.45762712],0
s7,1,0.401054,0.705164,[ 4 18] ; [ 9 23],[ 5.2962963 16.7037037] ; [ 7.7037037 24.2962963],0
s2,1,0.410131,0.67842,[ 4 20] ; [ 9 26],[ 5.28813559 18.71186441] ; [ 7.71186441 27.28813559],0
s6,1,0.419289,0.652307,[ 5 18] ; [11 24],[ 6.34482759 16.65517241] ; [ 9.65517241 25.34482759],0
n6,1,0.45067,0.568966,[11 13] ; [19 15],[12.4137931 11.5862069] ; [17.5862069 16.4137931],0
p8,1,0.476632,0.506559,[ 5 17] ; [11 24],[ 6.1754386 15.8245614] ; [ 9.8245614 25.1754386],0
p2,1,0.523508,0.406977,[13 11] ; [16 19],[11.79661017 12.20338983] ; [17.20338983 17.79661017],0
u2,1,0.56917,0.324074,[ 5 11] ; [5 7],[ 5.71428571 10.28571429] ; [4.28571429 7.71428571],0
n1,1,0.578709,0.308326,[10  9] ; [6 8],[9.21212121 9.78787879] ; [6.78787879 7.21212121],0
p11,1,0.602931,0.270598,[ 8 16] ; [14 21],[ 8.94915254 15.05084746] ; [13.05084746 21.94915254],0
v1,1,0.665078,0.187413,[ 5 19] ; [ 9 26],[ 5.69491525 18.30508475] ; [ 8.30508475 26.69491525],0
p6,1,0.673168,0.177919,[ 3 20] ; [ 6 29],[ 3.56896552 19.43103448] ; [ 5.43103448 29.56896552],0
v2,1,0.673168,0.177919,[ 3 20] ; [ 6 29],[ 3.56896552 19.43103448] ; [ 5.43103448 29.56896552],0
s1,1,0.694249,0.154524,[ 2 22] ; [ 2 33],[ 1.62711864 22.37288136] ; [ 2.37288136 32.62711864],0
p5,1,0.738139,0.111769,[ 2 21] ; [ 4 31],[ 2.37931034 20.62068966] ; [ 3.62068966 31.37931034],0
p7,1,0.744847,0.105912,[ 9 15] ; [11 22],[ 8.42105263 15.57894737] ; [11.57894737 21.42105263],0
r2,1,0.744847,0.105912,[15  9] ; [22 11],[15.57894737  8.42105263] ; [21.42105263 11.57894737],0
