Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,30.894231,[70 10] ; [15 24],[57.14285714 22.85714286] ; [27.85714286 11.14285714],1
r1,1,0.015178,5.895638,[64 16] ; [23 16],[58.48739496 21.51260504] ; [28.51260504 10.48739496],0
s6,1,0.030216,4.696984,[46 33] ; [14 24],[40.51282051 38.48717949] ; [19.48717949 18.51282051],0
s8,1,0.090541,2.864725,[24 55] ; [ 6 32],[20.25641026 58.74358974] ; [ 9.74358974 28.25641026],0
r2,1,0.091078,2.855216,[73  6] ; [32  7],[70.29661017  8.70338983] ; [34.70338983  4.29661017],0
s3,1,0.095711,2.775591,[37 42] ; [12 27],[32.80508475 46.19491525] ; [16.19491525 22.80508475],0
p1,1,0.108919,2.56983,[ 9 71] ; [ 1 38],[ 6.72268908 73.27731092] ; [ 3.27731092 35.72268908],0
v2,1,0.113653,2.502674,[30 48] ; [21 18],[34. 44.] ; [17. 22.],0
v3,1,0.185027,1.75678,[31 49] ; [10 28],[27.79661017 52.20338983] ; [13.20338983 24.79661017],0
p10,1,0.191061,1.709416,[25 53] ; [ 8 31],[22. 56.] ; [11. 28.],0
a5,1,0.19515,1.678303,[47 33] ; [18 21],[43.69747899 36.30252101] ; [21.30252101 17.69747899],0
s2,1,0.201884,1.628691,[31 46] ; [11 28],[27.87931034 49.12068966] ; [14.12068966 24.87931034],0
d2,1,0.295141,1.096019,[40 38] ; [16 23],[37.33333333 40.66666667] ; [18.66666667 20.33333333],0
a8,1,0.298768,1.079687,[ 8 61] ; [ 2 35],[ 6.50943396 62.49056604] ; [ 3.49056604 33.50943396],0
p11,1,0.301348,1.068221,[47 33] ; [19 20],[44.3697479 35.6302521] ; [21.6302521 17.3697479],0
b1,1,0.36641,0.815805,[46 34] ; [19 20],[43.69747899 36.30252101] ; [21.30252101 17.69747899],0
v1,1,0.39496,0.723617,[31 49] ; [12 27],[28.90756303 51.09243697] ; [14.09243697 24.90756303],0
r4,1,0.40115,0.704875,[63 17] ; [28 11],[61.17647059 18.82352941] ; [29.82352941  9.17647059],0
a2,1,0.416814,0.659281,[15 65] ; [ 5 34],[13.44537815 66.55462185] ; [ 6.55462185 32.44537815],0
