Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5e-06,20.844978,[60 31] ; [16 42],[46.41610738 44.58389262] ; [29.58389262 28.41610738],1
n1,1,0.011105,6.448413,[19 16] ; [ 7 23],[14. 21.] ; [12. 18.],0
v3,1,0.035555,4.418307,[26 62] ; [ 8 48],[20.77777778 67.22222222] ; [13.22222222 42.77777778],0
a8,1,0.049063,3.8732,[12 71] ; [ 2 50],[ 8.60740741 74.39259259] ; [ 5.39259259 46.60740741],0
a5,1,0.083224,3.000788,[54 37] ; [26 32],[48.8590604 42.1409396] ; [31.1409396 26.8590604],0
s4,1,0.08393,2.987109,[ 5 85] ; [ 8 50],[ 7.90540541 82.09459459] ; [ 5.09459459 52.90540541],0
d4,1,0.09593,2.771934,[56 34] ; [43 14],[60.6122449 29.3877551] ; [38.3877551 18.6122449],0
a1,1,0.099093,2.720077,[10 81] ; [ 2 56],[ 7.32885906 83.67114094] ; [ 4.67114094 53.32885906],0
u3,1,0.100156,2.703054,[13 26] ; [14 12],[16.2 22.8] ; [10.8 15.2],0
n2,1,0.113631,2.502975,[25 12] ; [14 15],[21.86363636 15.13636364] ; [17.13636364 11.86363636],0
u1,1,0.158347,1.989944,[11 80] ; [ 3 55],[ 8.55033557 82.44966443] ; [ 5.44966443 52.55033557],0
n6,1,0.161305,1.961947,[57 33] ; [30 28],[52.90540541 37.09459459] ; [34.09459459 23.90540541],0
b2,1,0.162475,1.951038,[22 38] ; [ 8 27],[18.94736842 41.05263158] ; [11.05263158 23.94736842],0
b3,1,0.162475,1.951038,[22 38] ; [ 8 27],[18.94736842 41.05263158] ; [11.05263158 23.94736842],0
s8,1,0.170088,1.882165,[13 77] ; [ 4 53],[10.40816327 79.59183673] ; [ 6.59183673 50.40816327],0
s1,1,0.170248,1.880759,[ 3 86] ; [ 5 53],[ 4.84353741 84.15646259] ; [ 3.15646259 54.84353741],0
a4,1,0.179872,1.798679,[39 50] ; [19 39],[35.11564626 53.88435374] ; [22.88435374 35.11564626],0
a6,1,0.211849,1.558746,[58 33] ; [31 27],[54.3557047 36.6442953] ; [34.6442953 23.3557047],0
s7,1,0.224661,1.474348,[16 69] ; [ 6 48],[13.45323741 71.54676259] ; [ 8.54676259 45.45323741],0
d5,1,0.265006,1.242414,[63 28] ; [35 23],[59.85234899 31.14765101] ; [38.14765101 19.85234899],0
r2,1,0.306396,1.046147,[75 14] ; [45 13],[72.65306122 16.34693878] ; [47.34693878 10.65306122],0
a7,1,0.322231,0.97987,[57 33] ; [32 26],[54.12162162 35.87837838] ; [34.87837838 23.12162162],0
a2,1,0.347797,0.88148,[18 73] ; [ 8 50],[15.87919463 75.12080537] ; [10.12080537 47.87919463],0
n3,1,0.35242,0.864725,[20 14] ; [21  9],[21.78125 12.21875] ; [19.21875 10.78125],0
p6,1,0.41459,0.6656,[19 69] ; [ 9 47],[17.11111111 70.88888889] ; [10.88888889 45.11111111],0
b1,1,0.416752,0.659455,[47 44] ; [26 32],[44.58389262 46.41610738] ; [28.41610738 29.58389262],0
