Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,2e-06,23.01246,[ 10 178] ; [6 9],[ 14.81773399 173.18226601] ; [ 1.18226601 13.81773399],1
p4,1,0.002148,9.418151,[ 81 106] ; [12  2],[ 86.52238806 100.47761194] ; [6.47761194 7.52238806],0
p12,1,0.004765,7.966503,[  3 185] ; [ 2 13],[  4.63054187 183.36945813] ; [ 0.36945813 14.63054187],0
p8,1,0.005793,7.613603,[ 59 128] ; [10  5],[ 63.87623762 123.12376238] ; [5.12376238 9.87623762],0
n5,1,0.00671,7.349026,[108  79] ; [14  1],[112.94059406  74.05940594] ; [9.05940594 5.94059406],0
a8,1,0.014807,5.93925,[ 14 154] ; [ 4 10],[ 16.61538462 151.38461538] ; [ 1.38461538 12.61538462],0
s6,1,0.017376,5.657956,[113  72] ; [13  1],[117.13567839  67.86432161] ; [8.86432161 5.13567839],0
s8,1,0.017979,5.59822,[ 67 120] ; [10  5],[ 71.28217822 115.71782178] ; [5.71782178 9.28217822],0
p3,1,0.01945,5.460586,[ 68 120] ; [10  5],[ 72.2364532 115.7635468] ; [5.7635468 9.2364532],0
a6,1,0.024772,5.039739,[118  70] ; [ 5 10],[113.91133005  74.08866995] ; [9.08866995 5.91133005],0
v2,1,0.029481,4.739316,[90 93] ; [ 3 12],[85.95454545 97.04545455] ; [7.04545455 7.95454545],0
s3,1,0.09271,2.826673,[95 92] ; [11  4],[98.12871287 88.87128713] ; [7.87128713 7.12871287],0
a3,1,0.097003,2.75414,[126  60] ; [7 8],[123.07462687  62.92537313] ; [9.92537313 5.07462687],0
s7,1,0.09873,2.725935,[77 96] ; [10  5],[80.05851064 92.94148936] ; [6.94148936 8.05851064],0
n3,1,0.140915,2.167941,[50 20] ; [2 3],[48.53333333 21.46666667] ; [3.46666667 1.53333333],0
v1,1,0.168724,1.894245,[ 78 109] ; [9 6],[ 80.53960396 106.46039604] ; [6.46039604 8.53960396],0
n6,1,0.208946,1.578711,[134  53] ; [13  2],[136.08415842  50.91584158] ; [10.91584158  4.08415842],0
s1,1,0.210861,1.565506,[ 10 176] ; [ 2 13],[ 11.10447761 174.89552239] ; [ 0.89552239 14.10447761],0
r4,1,0.2164,1.528085,[152  37] ; [14  1],[153.79411765  35.20588235] ; [12.20588235  2.79411765],0
v3,1,0.234566,1.412959,[ 57 123] ; [7 8],[ 59.07692308 120.92307692] ; [ 4.92307692 10.07692308],0
d3,1,0.254803,1.296774,[122  64] ; [12  3],[124.  62.] ; [10.  5.],0
s5,1,0.268279,1.225525,[ 56 123] ; [6 7],[ 57.80208333 121.19791667] ; [4.19791667 8.80208333],0
p2,1,0.305634,1.049451,[127  62] ; [12  3],[128.77941176  60.22058824] ; [10.22058824  4.77941176],0
u1,1,0.310119,1.030169,[ 31 158] ; [ 4 11],[ 32.42647059 156.57352941] ; [ 2.57352941 12.42647059],0
