Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,25.019851,[16 38] ; [19  1],[25.54054054 28.45945946] ; [ 9.45945946 10.54054054],1
s2,1,0.000531,12.003968,[15 39] ; [15  6],[21.6 32.4] ; [ 8.4 12.6],1
s7,1,0.002244,9.338346,[10 40] ; [11  8],[15.2173913 34.7826087] ; [ 5.7826087 13.2173913],0
r4,1,0.00747,7.156385,[35 19] ; [20  1],[39.6 14.4] ; [15.4  5.6],0
p10,1,0.011508,6.38512,[20 34] ; [14  6],[24.81081081 29.18918919] ; [ 9.18918919 10.81081081],0
p9,1,0.02778,4.841639,[25 29] ; [15  5],[29.18918919 24.81081081] ; [10.81081081  9.18918919],0
n1,1,0.029727,4.725,[ 7 14] ; [5 1],[ 9.33333333 11.66666667] ; [2.66666667 3.33333333],0
v1,1,0.031129,4.645829,[16 37] ; [12  9],[20.05405405 32.94594595] ; [ 7.94594595 13.05405405],0
p1,1,0.071312,3.252551,[ 3 51] ; [ 4 17],[ 5.04 48.96] ; [ 1.96 19.04],0
d2,1,0.082941,3.006301,[19 35] ; [12  9],[22.32 31.68] ; [ 8.68 12.32],0
v2,1,0.099481,2.713846,[20 32] ; [12  8],[23.11111111 28.88888889] ; [ 8.88888889 11.11111111],0
u3,1,0.10247,2.666667,[10 14] ; [6 2],[12. 12.] ; [4. 4.],0
a2,1,0.12792,2.317571,[ 1 53] ; [ 2 19],[ 2.16 51.84] ; [ 0.84 20.16],0
d1,1,0.128286,2.313129,[18 36] ; [11 10],[20.88 33.12] ; [ 8.12 12.88],0
s3,1,0.129819,2.294664,[24 27] ; [14  7],[26.91666667 24.08333333] ; [11.08333333  9.91666667],0
p6,1,0.14561,2.117647,[ 9 42] ; [ 7 14],[11.33333333 39.66666667] ; [ 4.66666667 16.33333333],0
p3,1,0.225658,1.468021,[20 34] ; [11 10],[22.32 31.68] ; [ 8.68 12.32],0
v3,1,0.238412,1.38996,[ 9 40] ; [ 6 13],[10.80882353 38.19117647] ; [ 4.19117647 14.80882353],0
a5,1,0.245838,1.346801,[28 26] ; [14  7],[30.24 23.76] ; [11.76  9.24],0
s5,1,0.260916,1.263889,[13 39] ; [ 7 11],[14.85714286 37.14285714] ; [ 5.14285714 12.85714286],0
d5,1,0.262906,1.253391,[31 23] ; [15  6],[33.12 20.88] ; [12.88  8.12],0
p2,1,0.288811,1.125156,[33 21] ; [10 11],[30.96 23.04] ; [12.04  8.96],0
u2,1,0.298782,1.079622,[13 11] ; [6 2],[14.25  9.75] ; [4.75 3.25],0
a8,1,0.317697,0.998405,[ 2 49] ; [ 2 18],[ 2.87323944 48.12676056] ; [ 1.12676056 18.87323944],0
r2,1,0.325539,0.966563,[43 10] ; [19  2],[44.40540541  8.59459459] ; [17.59459459  3.40540541],0
p4,1,0.349763,0.874316,[19 34] ; [10 11],[20.77027027 32.22972973] ; [ 8.22972973 12.77027027],0
p8,1,0.381098,0.767157,[17 36] ; [ 9 12],[18.62162162 34.37837838] ; [ 7.37837838 13.62162162],0
r1,1,0.403262,0.698578,[33 21] ; [15  6],[34.56 19.44] ; [13.44  7.56],0
a6,1,0.403262,0.698578,[21 33] ; [ 6 15],[19.44 34.56] ; [ 7.56 13.44],0
s4,1,0.446255,0.580146,[11 43] ; [ 6 15],[12.24 41.76] ; [ 4.76 16.24],0
b5,1,0.484195,0.489399,[26 28] ; [12  9],[27.36 26.64] ; [10.64 10.36],0
a1,1,0.519183,0.415516,[ 5 49] ; [ 1 20],[ 4.32 49.68] ; [ 1.68 19.32],0
p11,1,0.554212,0.349825,[32 22] ; [14  7],[33.12 20.88] ; [12.88  8.12],0
n4,1,0.588669,0.292428,[22 32] ; [10 11],[23.04 30.96] ; [ 8.96 12.04],0
a4,1,0.588669,0.292428,[22 32] ; [10 11],[23.04 30.96] ; [ 8.96 12.04],0
d4,1,0.614236,0.254052,[38 16] ; [16  5],[38.88 15.12] ; [15.12  5.88],0
a3,1,0.676911,0.173624,[30 23] ; [13  8],[30.7972973 22.2027027] ; [12.2027027  8.7972973],0
s1,1,0.680051,0.170068,[ 4 50] ; [ 1 20],[ 3.6 50.4] ; [ 1.4 19.6],0
p7,1,0.741997,0.108379,[28 26] ; [10 11],[27.36 26.64] ; [10.64 10.36],0
n2,1,0.82176,0.050752,[15  6] ; [4 2],[14.77777778  6.22222222] ; [4.22222222 1.77777778],0
b4,1,0.833683,0.044092,[32 22] ; [13  8],[32.4 21.6] ; [12.6  8.4],0
n6,1,0.853087,0.034292,[27 27] ; [10 11],[26.64 27.36] ; [10.36 10.64],0
b1,1,0.853087,0.034292,[27 27] ; [10 11],[26.64 27.36] ; [10.36 10.64],0
n3,1,0.875956,0.024366,[12  7] ; [4 2],[12.16  6.84] ; [3.84 2.16],0
b2,1,0.891577,0.01858,[11 20] ; [ 6 10],[11.21276596 19.78723404] ; [ 5.78723404 10.21276596],0
b3,1,0.891577,0.01858,[11 20] ; [ 6 10],[11.21276596 19.78723404] ; [ 5.78723404 10.21276596],0
d3,1,0.917885,0.010629,[25 29] ; [10 11],[25.2 28.8] ; [ 9.8 11.2],0
