Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,8.8e-05,15.387847,[48  8] ; [16 18],[39.82222222 16.17777778] ; [24.17777778  9.82222222],1
a6,1,0.000677,11.551707,[43 13] ; [14 20],[35.46666667 20.53333333] ; [21.53333333 12.46666667],1
d3,1,0.000765,11.323104,[40 16] ; [12 22],[32.35555556 23.64444444] ; [19.64444444 14.35555556],1
a3,1,0.005969,7.559603,[38 18] ; [13 21],[31.73333333 24.26666667] ; [19.26666667 14.73333333],0
s5,1,0.006173,7.499035,[ 6 48] ; [12 22],[11.04545455 42.95454545] ; [ 6.95454545 27.04545455],0
p4,1,0.016566,5.741819,[31 25] ; [10 24],[25.51111111 30.48888889] ; [15.48888889 18.51111111],0
n4,1,0.022769,5.186074,[44 12] ; [19 15],[39.2 16.8] ; [23.8 10.2],0
b5,1,0.03243,4.57563,[36 20] ; [14 20],[31.11111111 24.88888889] ; [18.88888889 15.11111111],0
u1,1,0.036209,4.387251,[10 46] ; [ 1 33],[ 6.84444444 49.15555556] ; [ 4.15555556 29.84444444],0
p10,1,0.038435,4.285666,[24 32] ; [ 7 26],[19.50561798 36.49438202] ; [11.49438202 21.50561798],0
v2,1,0.049265,3.866289,[28 26] ; [10 23],[23.5862069 30.4137931] ; [14.4137931 18.5862069],0
d1,1,0.050036,3.84024,[30 26] ; [11 23],[25.51111111 30.48888889] ; [15.48888889 18.51111111],0
p2,1,0.059892,3.540385,[42 14] ; [19 15],[37.95555556 18.04444444] ; [23.04444444 10.95555556],0
p8,1,0.06329,3.449,[24 32] ; [ 8 26],[19.91111111 36.08888889] ; [12.08888889 21.91111111],0
d5,1,0.07141,3.2503,[43 13] ; [20 14],[39.2 16.8] ; [23.8 10.2],0
r4,1,0.092819,2.824796,[49  7] ; [25  9],[46.04444444  9.95555556] ; [27.95555556  6.04444444],0
a2,1,0.105176,2.625242,[10 46] ; [ 2 32],[ 7.46666667 48.53333333] ; [ 4.53333333 29.46666667],0
b4,1,0.108016,2.583017,[42 14] ; [20 14],[38.57777778 17.42222222] ; [23.42222222 10.57777778],0
p3,1,0.159462,1.979318,[19 36] ; [ 7 27],[16.06741573 38.93258427] ; [ 9.93258427 24.06741573],0
v3,1,0.17581,1.832693,[19 37] ; [ 7 27],[16.17777778 39.82222222] ; [ 9.82222222 24.17777778],0
s4,1,0.211894,1.558442,[ 5 50] ; [ 6 27],[ 6.875 48.125] ; [ 4.125 28.875],0
v4,1,0.226114,1.465139,[52  4] ; [28  5],[50.33707865  5.66292135] ; [29.66292135  3.33707865],0
b2,1,0.232359,1.42636,[11 24] ; [ 4 19],[ 9.05172414 25.94827586] ; [ 5.94827586 17.05172414],0
b3,1,0.232359,1.42636,[11 24] ; [ 4 19],[ 9.05172414 25.94827586] ; [ 5.94827586 17.05172414],0
r3,1,0.271148,1.21093,[53  3] ; [30  4],[51.64444444  4.35555556] ; [31.35555556  2.64444444],0
n6,1,0.367947,0.810586,[42 13] ; [23 11],[40.16853933 14.83146067] ; [24.83146067  9.16853933],0
a5,1,0.371561,0.798437,[35 21] ; [18 16],[32.97777778 23.02222222] ; [20.02222222 13.97777778],0
a8,1,0.391998,0.732736,[ 6 44] ; [ 2 30],[ 4.87804878 45.12195122] ; [ 3.12195122 28.87804878],0
r1,1,0.392879,0.730014,[44 12] ; [24 10],[42.31111111 13.68888889] ; [25.68888889  8.31111111],0
r2,1,0.397808,0.714942,[51  5] ; [29  5],[49.77777778  6.22222222] ; [30.22222222  3.77777778],0
d2,1,0.444796,0.58388,[25 31] ; [18 16],[26.75555556 29.24444444] ; [16.24444444 17.75555556],0
s7,1,0.49264,0.470754,[21 32] ; [11 23],[19.49425287 33.50574713] ; [12.50574713 21.49425287],0
s1,1,0.512348,0.429268,[ 3 52] ; [ 3 30],[ 3.75 51.25] ; [ 2.25 30.75],0
s6,1,0.515703,0.422479,[27 29] ; [14 20],[25.51111111 30.48888889] ; [15.48888889 18.51111111],0
u2,1,0.535899,0.383193,[9 9] ; [12  8],[9.94736842 8.05263158] ; [11.05263158  8.94736842],0
p1,1,0.53797,0.379315,[ 3 52] ; [ 3 31],[ 3.70786517 51.29213483] ; [ 2.29213483 31.70786517],0
s8,1,0.599985,0.275019,[16 40] ; [ 8 26],[14.93333333 41.06666667] ; [ 9.06666667 24.93333333],0
p6,1,0.651263,0.204312,[14 41] ; [ 7 26],[13.125 41.875] ; [ 7.875 25.125],0
n5,1,0.651495,0.20402,[34 22] ; [19 15],[32.97777778 23.02222222] ; [20.02222222 13.97777778],0
b1,1,0.663687,0.189076,[29 27] ; [16 18],[28. 28.] ; [17. 17.],0
n3,1,0.706197,0.142105,[11  4] ; [8 4],[10.55555556  4.44444444] ; [8.44444444 3.55555556],0
s3,1,0.724089,0.124609,[28 27] ; [16 18],[27.19101124 27.80898876] ; [16.80898876 17.19101124],0
n2,1,0.793117,0.068783,[10  4] ; [8 4],[9.69230769 4.30769231] ; [8.30769231 3.69230769],0
u3,1,0.801689,0.063082,[11  7] ; [12  9],[10.61538462  7.38461538] ; [12.38461538  8.61538462],0
v1,1,0.809848,0.057899,[20 36] ; [13 21],[20.53333333 35.46666667] ; [12.46666667 21.53333333],0
p7,1,0.810465,0.057516,[30 24] ; [18 16],[29.45454545 24.54545455] ; [18.54545455 15.45454545],0
p5,1,0.871707,0.026079,[ 2 54] ; [ 1 33],[ 1.86666667 54.13333333] ; [ 1.13333333 32.86666667],0
a4,1,0.907857,0.013396,[18 38] ; [11 22],[18.24719101 37.75280899] ; [10.75280899 22.24719101],0
s2,1,0.955153,0.003163,[22 33] ; [13 20],[21.875 33.125] ; [13.125 19.875],0
n1,1,0.973215,0.001127,[5 9] ; [4 7],[5.04 8.96] ; [3.96 7.04],0
