Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,7e-06,20.199824,[256  33] ; [52 25],[243.20218579  45.79781421] ; [64.79781421 12.20218579],1
s5,1,1.5e-05,18.696234,[111 168] ; [48 22],[127.10888252 151.89111748] ; [31.89111748 38.10888252],1
s2,1,0.000638,11.660609,[199  90] ; [68  9],[210.82786885  78.17213115] ; [56.17213115 20.82786885],1
n5,1,0.000969,10.885783,[239  48] ; [51 26],[228.65384615  58.34615385] ; [61.34615385 15.65384615],1
a8,1,0.008205,6.988256,[ 53 205] ; [ 5 66],[ 45.48328267 212.51671733] ; [12.51671733 58.48328267],0
p6,1,0.014224,6.010159,[122 163] ; [44 31],[131.41666667 153.58333333] ; [34.58333333 40.41666667],0
n6,1,0.020139,5.399776,[257  28] ; [62 15],[251.14640884  33.85359116] ; [67.85359116  9.14640884],0
v2,1,0.021382,5.295408,[184  96] ; [39 37],[175.39325843 104.60674157] ; [47.60674157 28.39325843],0
s3,1,0.035006,4.444898,[208  78] ; [65 12],[215.09090909  70.90909091] ; [57.90909091 19.09090909],0
v3,1,0.036607,4.36862,[139 137] ; [28 48],[130.94318182 145.05681818] ; [36.05681818 39.94318182],0
r1,1,0.041739,4.145764,[249  40] ; [59 18],[243.20218579  45.79781421] ; [64.79781421 12.20218579],0
s6,1,0.052096,3.772677,[233  53] ; [69  7],[238.59668508  47.40331492] ; [63.40331492 12.59668508],0
v1,1,0.092838,2.82446,[171 108] ; [39 38],[164.57865169 114.42134831] ; [45.42134831 31.57865169],0
b3,1,0.094078,2.803172,[101 114] ; [15 30],[ 95.92307692 119.07692308] ; [20.07692308 24.92307692],0
b2,1,0.094078,2.803172,[101 114] ; [15 30],[ 95.92307692 119.07692308] ; [20.07692308 24.92307692],0
n3,1,0.134602,2.238615,[38 24] ; [13  3],[40.53846154 21.46153846] ; [10.46153846  5.53846154],0
u4,1,0.164448,1.93284,[ 14 276] ; [ 1 76],[ 11.85286104 278.14713896] ; [ 3.14713896 73.85286104],0
p5,1,0.217068,1.523648,[ 50 235] ; [ 9 68],[ 46.45027624 238.54972376] ; [12.54972376 64.45027624],0
p11,1,0.23676,1.399782,[236  54] ; [58 19],[232.31607629  57.68392371] ; [61.68392371 15.31607629],0
