Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,65.469557,[117   8] ; [16 29],[97.79411765 27.20588235] ; [35.20588235  9.79411765],1
p11,1,3e-06,21.592578,[94 31] ; [17 29],[81.14035088 43.85964912] ; [29.85964912 16.14035088],1
p2,1,0.00346,8.547693,[104  20] ; [29 17],[97.01176471 26.98823529] ; [35.98823529 10.01176471],0
v4,1,0.003593,8.478838,[119   5] ; [38  8],[114.51764706   9.48235294] ; [42.48235294  3.51764706],0
p7,1,0.008751,6.873026,[71 48] ; [17 29],[63.46666667 55.53333333] ; [24.53333333 21.46666667],0
n2,1,0.021083,5.319908,[29 12] ; [ 8 12],[24.86885246 16.13114754] ; [12.13114754  7.86885246],0
s1,1,0.02534,5.0005,[  2 123] ; [ 4 42],[  4.38596491 120.61403509] ; [ 1.61403509 44.38596491],0
v3,1,0.026752,4.906724,[40 79] ; [ 7 37],[34.31288344 84.68711656] ; [12.68711656 31.31288344],0
s5,1,0.03006,4.705867,[40 83] ; [ 7 38],[34.41071429 88.58928571] ; [12.58928571 32.41071429],0
u2,1,0.030239,4.69567,[31 16] ; [ 7 12],[27.06060606 19.93939394] ; [10.93939394  8.06060606],0
n6,1,0.031249,4.639236,[86 37] ; [24 22],[80.0591716 42.9408284] ; [29.9408284 16.0591716],0
s8,1,0.032389,4.57778,[46 79] ; [ 9 37],[40.20467836 84.79532164] ; [14.79532164 31.20467836],0
a5,1,0.03892,4.264344,[79 46] ; [21 25],[73.0994152 51.9005848] ; [26.9005848 19.0994152],0
s7,1,0.041497,4.1556,[47 73] ; [10 35],[41.45454545 78.54545455] ; [15.54545455 29.45454545],0
s2,1,0.04936,3.863077,[59 66] ; [14 32],[53.3625731 71.6374269] ; [19.6374269 26.3625731],0
v1,1,0.095357,2.781527,[54 67] ; [14 32],[49.26946108 71.73053892] ; [18.73053892 27.26946108],0
r4,1,0.095886,2.772679,[104  21] ; [33 13],[100.14619883  24.85380117] ; [36.85380117  9.14619883],0
r2,1,0.117252,2.453643,[113  11] ; [38  8],[110.14117647  13.85882353] ; [40.85882353  5.14117647],0
p8,1,0.133767,2.248233,[63 61] ; [17 28],[58.69822485 65.30177515] ; [21.30177515 23.69822485],0
b1,1,0.148114,2.091571,[37 88] ; [19 27],[40.93567251 84.06432749] ; [15.06432749 30.93567251],0
s6,1,0.171491,1.86986,[79 45] ; [24 22],[75.12941176 48.87058824] ; [27.87058824 18.12941176],0
d3,1,0.196085,1.671297,[98 26] ; [32 14],[94.82352941 29.17647059] ; [35.17647059 10.82352941],0
u1,1,0.201536,1.631211,[ 17 108] ; [ 3 43],[ 14.61988304 110.38011696] ; [ 5.38011696 40.61988304],0
v2,1,0.221378,1.495414,[64 52] ; [20 25],[60.52173913 55.47826087] ; [23.47826087 21.52173913],0
b4,1,0.22678,1.460944,[78 47] ; [24 22],[74.56140351 50.43859649] ; [27.43859649 18.56140351],0
s3,1,0.251005,1.317699,[63 60] ; [19 27],[59.68047337 63.31952663] ; [22.31952663 23.68047337],0
n5,1,0.287485,1.131361,[43 81] ; [12 34],[40.11764706 83.88235294] ; [14.88235294 31.11764706],0
d2,1,0.301453,1.067755,[41 84] ; [19 27],[43.85964912 81.14035088] ; [16.14035088 29.85964912],0
r3,1,0.328121,0.9563,[117   8] ; [41  5],[115.49707602   9.50292398] ; [42.50292398  3.49707602],0
b5,1,0.336667,0.923084,[77 48] ; [32 14],[79.67836257 45.32163743] ; [29.32163743 16.67836257],0
b3,1,0.347281,0.883369,[19 35] ; [ 7 21],[17.12195122 36.87804878] ; [ 8.87804878 19.12195122],0
b2,1,0.347281,0.883369,[19 35] ; [ 7 21],[17.12195122 36.87804878] ; [ 8.87804878 19.12195122],0
s4,1,0.412414,0.671831,[32 93] ; [ 9 37],[29.97076023 95.02923977] ; [11.02923977 34.97076023],0
u3,1,0.431633,0.618426,[30 16] ; [11  9],[28.57575758 17.42424242] ; [12.42424242  7.57575758],0
p3,1,0.436465,0.605558,[47 78] ; [14 31],[44.85294118 80.14705882] ; [16.14705882 28.85294118],0
a2,1,0.493941,0.467931,[ 19 106] ; [ 9 37],[ 20.46783626 104.53216374] ; [ 7.53216374 38.46783626],0
