Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,80.351852,[ 2 35] ; [113  22],[24.73837209 12.26162791] ; [90.26162791 44.73837209],1
v4,1,0.0,36.280688,[17 20] ; [120  13],[29.81764706  7.18235294] ; [107.18235294  25.81764706],1
p11,1,1e-06,24.163036,[12 25] ; [102  33],[24.52325581 12.47674419] ; [89.47674419 45.52325581],1
p9,1,3.4e-05,17.178269,[12 22] ; [98 36],[22.26190476 11.73809524] ; [87.73809524 46.26190476],1
r1,1,5.3e-05,16.345792,[11 26] ; [90 45],[21.72674419 15.27325581] ; [79.27325581 55.72674419],1
r2,1,0.000109,14.965443,[21 14] ; [118  16],[28.78698225  6.21301775] ; [110.21301775  23.78698225],1
n2,1,0.000541,11.969971,[ 8 12] ; [35  7],[13.87096774  6.12903226] ; [29.12903226 12.87096774],1
p2,1,0.00069,11.514915,[16 20] ; [98 34],[24.42857143 11.57142857] ; [89.57142857 42.42857143],1
v2,1,0.003845,8.355497,[ 7 29] ; [60 70],[14.53012048 21.46987952] ; [52.46987952 77.53012048],0
n6,1,0.007029,7.265523,[19 18] ; [99 34],[25.68235294 11.31764706] ; [92.31764706 40.68235294],0
p10,1,0.007592,7.127273,[14 22] ; [84 48],[21. 15.] ; [77. 55.],0
d4,1,0.014876,5.931082,[18 19] ; [94 40],[24.23391813 12.76608187] ; [87.76608187 46.23391813],0
s6,1,0.026299,4.93624,[ 9 28] ; [58 72],[14.84431138 22.15568862] ; [52.15568862 77.84431138],0
d5,1,0.02682,4.902349,[17 20] ; [89 46],[22.80232558 14.19767442] ; [83.19767442 51.80232558],0
p7,1,0.033069,4.542227,[12 23] ; [72 60],[17.60479042 17.39520958] ; [66.39520958 65.60479042],0
b1,1,0.034717,4.459033,[22 15] ; [54 81],[16.34883721 20.65116279] ; [59.65116279 75.34883721],0
s3,1,0.036943,4.353036,[ 8 27] ; [56 77],[13.33333333 21.66666667] ; [50.66666667 82.33333333],0
p8,1,0.037631,4.321635,[ 7 30] ; [49 83],[12.26035503 24.73964497] ; [43.73964497 88.26035503],0
p4,1,0.044208,4.048609,[ 9 27] ; [57 74],[14.22754491 21.77245509] ; [51.77245509 79.22754491],0
u3,1,0.053085,3.741236,[ 3 15] ; [23 32],[ 6.4109589 11.5890411] ; [19.5890411 35.4109589],0
