Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.9e-05,17.481394,[ 5 37] ; [24 20],[14.1627907 27.8372093] ; [14.8372093 29.1627907],1
p11,1,0.000286,13.159111,[ 9 34] ; [27 19],[17.39325843 25.60674157] ; [18.60674157 27.39325843],1
n6,1,0.000631,11.68151,[13 30] ; [30 15],[21.01136364 21.98863636] ; [21.98863636 23.01136364],1
p2,1,0.001649,9.904073,[12 30] ; [28 17],[19.31034483 22.68965517] ; [20.68965517 24.31034483],0
p9,1,0.00328,8.644987,[13 27] ; [29 16],[19.76470588 20.23529412] ; [22.23529412 22.76470588],0
d4,1,0.003509,8.522119,[22 21] ; [37  9],[28.50561798 14.49438202] ; [30.49438202 15.50561798],0
a7,1,0.004369,8.123912,[16 27] ; [31 15],[22.70786517 20.29213483] ; [24.29213483 21.70786517],0
p10,1,0.004708,7.988243,[13 29] ; [27 17],[19.53488372 22.46511628] ; [20.46511628 23.53488372],0
s2,1,0.010144,6.609467,[ 5 38] ; [16 30],[10.14606742 32.85393258] ; [10.85393258 35.14606742],0
b1,1,0.026569,4.918621,[26 17] ; [17 29],[20.7752809 22.2247191] ; [22.2247191 23.7752809],0
s3,1,0.029229,4.754056,[11 31] ; [22 23],[15.93103448 26.06896552] ; [17.06896552 27.93103448],0
s6,1,0.038599,4.278445,[ 9 34] ; [19 27],[13.52808989 29.47191011] ; [14.47191011 31.52808989],0
a1,1,0.046723,3.955319,[ 9 34] ; [ 3 43],[ 5.79775281 37.20224719] ; [ 6.20224719 39.79775281],0
p7,1,0.050455,3.826265,[ 6 34] ; [15 30],[ 9.88235294 30.11764706] ; [11.11764706 33.88235294],0
d3,1,0.053484,3.728728,[16 27] ; [26 19],[20.52272727 22.47727273] ; [21.47727273 23.52272727],0
n5,1,0.057596,3.605279,[30 13] ; [23 23],[25.60674157 17.39325843] ; [27.39325843 18.60674157],0
p8,1,0.058991,3.56552,[ 4 39] ; [11 34],[ 7.32954545 35.67045455] ; [ 7.67045455 37.32954545],0
b5,1,0.072923,3.215978,[18 25] ; [28 18],[22.2247191 20.7752809] ; [23.7752809 22.2247191],0
