Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.0,44.202214,[108   6] ; [23 23],[93.3375 20.6625] ; [37.6625  8.3375],1
n4,1,0.0,31.243326,[104  10] ; [24 22],[91.2 22.8] ; [36.8  9.2],1
p10,1,7e-06,20.120033,[97 17] ; [23 22],[86.03773585 27.96226415] ; [33.96226415 11.03773585],1
d5,1,0.00071,11.462993,[105   9] ; [33 13],[98.325 15.675] ; [39.675  6.325],1
p11,1,0.001774,9.769351,[88 26] ; [24 22],[79.8 34.2] ; [32.2 13.8],0
p9,1,0.00566,7.655587,[98 16] ; [30 15],[91.77358491 22.22641509] ; [36.22641509  8.77358491],0
r4,1,0.024787,5.038684,[104  10] ; [36 10],[99.75 14.25] ; [40.25  5.75],0
v1,1,0.02598,4.957323,[65 42] ; [18 26],[58.81456954 48.18543046] ; [24.18543046 19.81456954],0
a3,1,0.02651,4.922451,[91 23] ; [29 17],[85.5 28.5] ; [34.5 11.5],0
v3,1,0.026937,4.894815,[51 58] ; [11 30],[45.05333333 63.94666667] ; [16.94666667 24.05333333],0
s4,1,0.054135,3.708529,[15 97] ; [12 34],[19.13924051 92.86075949] ; [ 7.86075949 38.13924051],0
b1,1,0.072488,3.22576,[54 60] ; [29 17],[59.1375 54.8625] ; [23.8625 22.1375],0
u1,1,0.086563,2.937157,[32 82] ; [ 7 39],[27.7875 86.2125] ; [11.2125 34.7875],0
a8,1,0.113715,2.501818,[13 86] ; [ 2 43],[10.3125 88.6875] ; [ 4.6875 40.3125],0
n1,1,0.126647,2.333133,[11  9] ; [ 4 10],[ 8.82352941 11.17647059] ; [6.17647059 7.82352941],0
r1,1,0.137156,2.209577,[86 27] ; [29 16],[82.24683544 30.75316456] ; [32.75316456 12.24683544],0
s6,1,0.147504,2.097873,[82 31] ; [28 18],[78.17610063 34.82389937] ; [31.82389937 14.17610063],0
v2,1,0.151771,2.054361,[64 46] ; [19 23],[60.06578947 49.93421053] ; [22.93421053 19.06578947],0
p6,1,0.153641,2.035722,[30 84] ; [17 28],[33.69811321 80.30188679] ; [13.30188679 31.69811321],0
p12,1,0.228776,1.448456,[  8 106] ; [ 1 45],[  6.4125 107.5875] ; [ 2.5875 43.4125],0
a4,1,0.231349,1.432551,[59 55] ; [19 27],[55.575 58.425] ; [22.425 23.575],0
p4,1,0.269719,1.218176,[82 32] ; [29 17],[79.0875 34.9125] ; [31.9125 14.0875],0
b4,1,0.291151,1.114293,[64 50] ; [30 16],[66.975 47.025] ; [27.025 18.975],0
u3,1,0.29769,1.084516,[14  9] ; [13  4],[15.525  7.475] ; [11.475  5.525],0
a6,1,0.322551,0.978573,[81 33] ; [29 17],[78.375 35.625] ; [31.625 14.375],0
n2,1,0.335451,0.92774,[17  3] ; [10  4],[15.88235294  4.11764706] ; [11.11764706  2.88235294],0
d4,1,0.336699,0.92296,[89 25] ; [39  7],[91.2 22.8] ; [36.8  9.2],0
s7,1,0.341308,0.905513,[60 49] ; [19 22],[57.40666667 51.59333333] ; [21.59333333 19.40666667],0
a2,1,0.351916,0.866536,[33 81] ; [10 36],[30.6375 83.3625] ; [12.3625 33.6375],0
p1,1,0.414989,0.664463,[ 10 104] ; [ 6 40],[ 11.4 102.6] ; [ 4.6 41.4],0
r3,1,0.416899,0.659039,[108   6] ; [42  4],[106.875   7.125] ; [43.125  2.875],0
s8,1,0.41935,0.652135,[49 65] ; [23 23],[51.3 62.7] ; [20.7 25.3],0
b5,1,0.421114,0.647204,[77 37] ; [28 18],[74.8125 39.1875] ; [30.1875 15.8125],0
d2,1,0.481017,0.496557,[61 52] ; [22 24],[58.98742138 54.01257862] ; [24.01257862 21.98742138],0
p5,1,0.497778,0.459671,[ 11 100] ; [ 3 43],[  9.89808917 101.10191083] ; [ 4.10191083 41.89808917],0
s3,1,0.526238,0.40165,[67 45] ; [25 21],[65.21518987 46.78481013] ; [26.78481013 19.21518987],0
p2,1,0.572276,0.31889,[87 27] ; [37  9],[88.35 25.65] ; [35.65 10.35],0
a1,1,0.574783,0.314746,[  5 109] ; [ 3 43],[  5.7 108.3] ; [ 2.3 43.7],0
s1,1,0.592051,0.287152,[  5 107] ; [ 3 43],[  5.67088608 106.32911392] ; [ 2.32911392 43.67088608],0
d1,1,0.681797,0.16811,[66 48] ; [25 21],[64.8375 49.1625] ; [26.1625 19.8375],0
p7,1,0.687497,0.161808,[61 53] ; [23 23],[59.85 54.15] ; [24.15 21.85],0
u2,1,0.703225,0.145139,[11 11] ; [9 7],[11.57894737 10.42105263] ; [8.42105263 7.57894737],0
v4,1,0.715301,0.133039,[106   8] ; [42  4],[105.45   8.55] ; [42.55  3.45],0
r2,1,0.754489,0.097797,[108   6] ; [43  3],[107.5875   6.4125] ; [43.4125  2.5875],0
a5,1,0.801668,0.063096,[84 30] ; [33 13],[83.3625 30.6375] ; [33.6375 12.3625],0
b2,1,0.808371,0.05882,[33 46] ; [12 15],[33.53773585 45.46226415] ; [11.46226415 15.53773585],0
b3,1,0.808371,0.05882,[33 46] ; [12 15],[33.53773585 45.46226415] ; [11.46226415 15.53773585],0
s2,1,0.893501,0.017923,[62 50] ; [26 20],[62.37974684 49.62025316] ; [25.62025316 20.37974684],0
a7,1,0.930802,0.00754,[81 33] ; [33 13],[81.225 32.775] ; [32.775 13.225],0
s5,1,0.943233,0.00507,[37 72] ; [14 28],[36.81456954 72.18543046] ; [14.18543046 27.81456954],0
d3,1,0.989168,0.000184,[72 42] ; [29 17],[71.9625 42.0375] ; [29.0375 16.9625],0
