Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,78.99095,[11 33] ; [244  42],[34. 10.] ; [221.  65.],1
r2,1,0.0,54.789792,[22 19] ; [266  19],[36.2208589  4.7791411] ; [251.7791411  33.2208589],1
r3,1,0.0,45.220055,[24 19] ; [262  22],[37.60856269  5.39143731] ; [248.39143731  35.60856269],1
p2,1,0.0,33.394108,[12 32] ; [205  81],[28.93333333 15.06666667] ; [188.06666667  97.93333333],1
p9,1,0.0,27.621017,[16 26] ; [213  63],[30.24528302 11.75471698] ; [198.75471698  77.24528302],1
p10,1,1e-06,24.417908,[14 29] ; [200  82],[28.31384615 14.68615385] ; [185.68615385  96.31384615],1
n6,1,1e-06,23.200065,[19 24] ; [225  61],[31.89057751 11.10942249] ; [212.10942249  73.89057751],1
r1,1,3e-06,21.991102,[18 26] ; [215  70],[31.16109422 12.83890578] ; [201.83890578  83.16109422],1
s6,1,1e-05,19.488781,[ 9 35] ; [158 123],[22.60923077 21.39076923] ; [144.39076923 136.60923077],1
d3,1,0.000206,13.778908,[15 29] ; [180 103],[26.23853211 17.76146789] ; [168.76146789 114.23853211],1
a1,1,0.000243,13.46284,[ 7 37] ; [  9 277],[ 2.13333333 41.86666667] ; [ 13.86666667 272.13333333],1
p11,1,0.000314,12.987367,[19 25] ; [202  84],[29.46666667 14.53333333] ; [191.53333333  94.46666667],1
s2,1,0.000688,11.521747,[ 7 37] ; [121 162],[17.22324159 26.77675841] ; [110.77675841 172.22324159],1
p7,1,0.000835,11.161395,[ 6 38] ; [108 164],[15.87341772 28.12658228] ; [ 98.12658228 173.87341772],1
p1,1,0.000954,10.914366,[ 6 38] ; [  8 276],[ 1.87804878 42.12195122] ; [ 12.12195122 271.87804878],1
a6,1,0.001388,10.222059,[18 26] ; [188  97],[27.55015198 16.44984802] ; [178.44984802 106.55015198],0
u3,1,0.001705,9.842244,[ 2 16] ; [53 51],[8.1147541 9.8852459] ; [46.8852459 57.1147541],0
s3,1,0.002796,8.936201,[11 32] ; [141 141],[20.11076923 22.88923077] ; [131.88923077 150.11076923],0
b5,1,0.002989,8.814321,[18 26] ; [184 102],[26.93333333 17.06666667] ; [175.06666667 110.93333333],0
v2,1,0.006681,7.356803,[11 32] ; [127 139],[19.2038835 23.7961165] ; [118.7961165 147.2038835],0
s8,1,0.009421,6.74118,[ 5 39] ; [ 86 199],[12.17021277 31.82978723] ; [ 78.82978723 206.17021277],0
u2,1,0.010684,6.517094,[ 4 14] ; [57 47],[9. 9.] ; [52. 52.],0
b1,1,0.016142,5.787336,[23 21] ; [ 96 190],[15.86666667 28.13333333] ; [103.13333333 182.86666667],0
n2,1,0.016243,5.776351,[11 12] ; [75 27],[15.824  7.176] ; [70.176 31.824],0
a5,1,0.021136,5.315582,[19 25] ; [176 110],[26. 18.] ; [169. 117.],0
a7,1,0.024764,5.040329,[23 21] ; [197  87],[29.51219512 14.48780488] ; [190.48780488  93.51219512],0
d5,1,0.025447,4.993189,[25 19] ; [208  76],[31.25609756 12.74390244] ; [201.74390244  82.25609756],0
p8,1,0.028872,4.775203,[ 6 37] ; [ 84 196],[11.98142415 31.01857585] ; [ 78.01857585 201.98142415],0
v1,1,0.039637,4.233345,[10 33] ; [110 168],[16.07476636 26.92523364] ; [103.92523364 174.07476636],0
v3,1,0.040154,4.211379,[ 7 37] ; [ 85 189],[12.72955975 31.27044025] ; [ 79.27044025 194.72955975],0
n3,1,0.046176,3.975147,[10 12] ; [68 32],[14.06557377  7.93442623] ; [63.93442623 36.06557377],0
p6,1,0.049579,3.855654,[ 2 41] ; [ 45 237],[ 6.21846154 36.78153846] ; [ 40.78153846 241.21846154],0
d4,1,0.053747,3.720532,[28 16] ; [219  65],[33.13414634 10.86585366] ; [213.86585366  70.13414634],0
s1,1,0.064817,3.409633,[ 4 40] ; [  9 271],[ 1.7654321 42.2345679] ; [ 11.2345679 268.7654321],0
d1,1,0.08707,2.927731,[15 29] ; [137 149],[20.26666667 23.73333333] ; [131.73333333 154.26666667],0
b2,1,0.104658,2.63308,[14 16] ; [45 99],[10.17241379 19.82758621] ; [48.82758621 95.17241379],0
b3,1,0.104658,2.63308,[14 16] ; [45 99],[10.17241379 19.82758621] ; [48.82758621 95.17241379],0
a2,1,0.147501,2.097902,[ 4 40] ; [ 51 235],[ 7.33333333 36.66666667] ; [ 47.66666667 238.33333333],0
s5,1,0.156225,2.010396,[ 6 37] ; [ 65 210],[ 9.60062893 33.39937107] ; [ 61.39937107 213.60062893],0
u1,1,0.195148,1.678322,[ 2 42] ; [ 31 255],[ 4.4 39.6] ; [ 28.6 257.4],0
s4,1,0.275488,1.189215,[ 5 39] ; [ 51 232],[ 7.5351682 36.4648318] ; [ 48.4648318 234.5351682],0
n5,1,0.277,1.181751,[25 19] ; [186  99],[28.21884498 15.78115502] ; [182.78115502 102.21884498],0
s7,1,0.305415,1.050402,[11 31] ; [ 94 181],[13.91167192 28.08832808] ; [ 91.08832808 183.91167192],0
a4,1,0.376223,0.783006,[13 30] ; [106 179],[15.60060976 27.39939024] ; [103.39939024 181.60060976],0
n1,1,0.392508,0.731157,[10 13] ; [34 66],[ 8.22764228 14.77235772] ; [35.77235772 64.22764228],0
p12,1,0.427985,0.628286,[ 1 43] ; [ 14 268],[ 2.02453988 41.97546012] ; [ 12.97546012 269.02453988],0
d2,1,0.553647,0.350824,[19 24] ; [112 172],[17.22629969 25.77370031] ; [113.77370031 170.22629969],0
b4,1,0.567154,0.327468,[28 16] ; [169 117],[26.26666667 17.73333333] ; [170.73333333 115.26666667],0
a8,1,0.628216,0.234488,[ 7 37] ; [ 35 230],[ 5.98058252 38.01941748] ; [ 36.01941748 228.98058252],0
a3,1,0.645714,0.211347,[26 17] ; [182 102],[27.35168196 15.64831804] ; [180.64831804 103.35168196],0
u4,1,0.658569,0.195266,[ 1 43] ; [  4 282],[ 0.66666667 43.33333333] ; [  4.33333333 281.66666667],0
p5,1,0.747621,0.103541,[ 1 43] ; [  9 275],[ 1.34146341 42.65853659] ; [  8.65853659 275.34146341],0
n4,1,0.874234,0.025053,[29 15] ; [185 101],[28.53333333 15.46666667] ; [185.46666667 100.53333333],0
