Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,7.4e-05,15.708654,[3 9] ; [33  6],[8.47058824 3.52941176] ; [27.52941176 11.47058824],1
a6,1,0.002116,9.445958,[ 1 11] ; [23 16],[5.64705882 6.35294118] ; [18.35294118 20.64705882],0
a5,1,0.015961,5.807186,[4 8] ; [28 11],[7.52941176 4.47058824] ; [24.47058824 14.52941176],0
u3,1,0.026494,4.923477,[4 1] ; [ 3 10],[1.94444444 3.05555556] ; [5.05555556 7.94444444],0
n2,1,0.027619,4.851675,[1 4] ; [18  7],[3.16666667 1.83333333] ; [15.83333333  9.16666667],0
n6,1,0.047045,3.943767,[4 8] ; [25 13],[6.96 5.04] ; [22.04 15.96],0
d2,1,0.094076,2.803204,[3 9] ; [20 18],[5.52 6.48] ; [17.48 20.52],0
s6,1,0.109493,2.561525,[ 2 10] ; [16 22],[4.32 7.68] ; [13.68 24.32],0
s7,1,0.133953,2.246086,[1 9] ; [13 25],[2.91666667 7.08333333] ; [11.08333333 26.91666667],0
u2,1,0.136641,2.215385,[3 2] ; [ 3 10],[1.66666667 3.33333333] ; [4.33333333 8.66666667],0
s8,1,0.144942,2.124692,[ 1 11] ; [11 27],[2.88 9.12] ; [ 9.12 28.88],0
s5,1,0.155861,2.01393,[ 1 11] ; [11 28],[2.82352941 9.17647059] ; [ 9.17647059 29.82352941],0
s3,1,0.173413,1.853186,[2 9] ; [15 22],[3.89583333 7.10416667] ; [13.10416667 23.89583333],0
p3,1,0.179556,1.801295,[6 6] ; [11 27],[4.08 7.92] ; [12.92 25.08],0
r4,1,0.209304,1.576236,[ 2 10] ; [14 25],[3.76470588 8.23529412] ; [12.23529412 26.76470588],0
p4,1,0.209304,1.576236,[ 2 10] ; [14 25],[3.76470588 8.23529412] ; [12.23529412 26.76470588],0
a7,1,0.213862,1.545089,[8 4] ; [18 21],[6.11764706 5.88235294] ; [19.88235294 19.11764706],0
v2,1,0.24647,1.343202,[ 1 11] ; [ 9 29],[2.4 9.6] ; [ 7.6 30.4],0
p6,1,0.260625,1.265432,[ 1 11] ; [ 9 30],[2.35294118 9.64705882] ; [ 7.64705882 31.35294118],0
d4,1,0.276014,1.18661,[8 4] ; [19 20],[6.35294118 5.64705882] ; [20.64705882 18.35294118],0
s4,1,0.310338,1.029237,[3 9] ; [ 5 34],[ 1.88235294 10.11764706] ; [ 6.11764706 32.88235294],0
s2,1,0.338423,0.916394,[ 2 10] ; [12 27],[3.29411765 8.70588235] ; [10.70588235 28.29411765],0
b3,1,0.391504,0.734266,[1 4] ; [12 18],[1.85714286 3.14285714] ; [11.14285714 18.85714286],0
b2,1,0.391504,0.734266,[1 4] ; [12 18],[1.85714286 3.14285714] ; [11.14285714 18.85714286],0
v3,1,0.397827,0.714885,[ 2 10] ; [11 27],[3.12 8.88] ; [ 9.88 28.12],0
p2,1,0.411152,0.675467,[7 5] ; [17 21],[5.76 6.24] ; [18.24 19.76],0
p8,1,0.417304,0.657895,[6 6] ; [14 24],[4.8 7.2] ; [15.2 22.8],0
v4,1,0.422534,0.643258,[10  2] ; [28 11],[8.94117647 3.05882353] ; [29.05882353  9.94117647],0
p10,1,0.432948,0.614902,[8 4] ; [21 18],[6.82352941 5.17647059] ; [22.17647059 16.82352941],0
d3,1,0.46049,0.544704,[7 5] ; [18 21],[5.88235294 6.11764706] ; [19.11764706 19.88235294],0
a4,1,0.515316,0.423257,[3 9] ; [13 24],[3.91836735 8.08163265] ; [12.08163265 24.91836735],0
a3,1,0.520159,0.413579,[7 5] ; [26 12],[7.92 4.08] ; [25.08 12.92],0
p9,1,0.543891,0.368375,[8 4] ; [21 16],[7.10204082 4.89795918] ; [21.89795918 15.10204082],0
s1,1,0.546708,0.363248,[ 2 10] ; [ 4 35],[ 1.41176471 10.58823529] ; [ 4.58823529 34.41176471],0
b5,1,0.56012,0.339497,[7 5] ; [19 20],[6.11764706 5.88235294] ; [19.88235294 19.11764706],0
r1,1,0.668691,0.183137,[5 7] ; [19 20],[5.64705882 6.35294118] ; [18.35294118 20.64705882],0
p7,1,0.676855,0.173688,[4 7] ; [11 26],[3.4375 7.5625] ; [11.5625 25.4375],0
d1,1,0.747977,0.103239,[4 8] ; [15 24],[4.47058824 7.52941176] ; [14.52941176 24.47058824],0
v1,1,0.747977,0.103239,[4 8] ; [15 24],[4.47058824 7.52941176] ; [14.52941176 24.47058824],0
n3,1,0.811414,0.056931,[3 2] ; [13 11],[2.75862069 2.24137931] ; [13.24137931 10.75862069],0
a2,1,0.844686,0.038378,[ 1 11] ; [ 4 35],[ 1.17647059 10.82352941] ; [ 3.82352941 35.17647059],0
b1,1,0.906366,0.013835,[7 5] ; [22 17],[6.82352941 5.17647059] ; [22.17647059 16.82352941],0
p1,1,0.914955,0.011404,[ 2 10] ; [ 6 33],[ 1.88235294 10.11764706] ; [ 6.11764706 32.88235294],0
d5,1,0.968527,0.001557,[7 5] ; [23 16],[7.05882353 4.94117647] ; [22.94117647 16.05882353],0
b4,1,0.968527,0.001557,[7 5] ; [23 16],[7.05882353 4.94117647] ; [22.94117647 16.05882353],0
p11,1,0.968527,0.001557,[5 7] ; [16 23],[4.94117647 7.05882353] ; [16.05882353 22.94117647],0
n1,1,1.0,0.0,[3 2] ; [15 10],[3. 2.] ; [15. 10.],0
