Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-05,19.53369,[53  6] ; [13 15],[44.75862069 14.24137931] ; [21.24137931  6.75862069],1
s7,1,0.003156,8.71504,[44  9] ; [14 13],[38.425 14.575] ; [19.575  7.425],0
s4,1,0.010712,6.512484,[19 40] ; [ 2 26],[14.24137931 44.75862069] ; [ 6.75862069 21.24137931],0
s6,1,0.012552,6.231166,[52  6] ; [19  9],[47.88372093 10.11627907] ; [23.11627907  4.88372093],0
v4,1,0.019664,5.441489,[57  1] ; [24  4],[54.62790698  3.37209302] ; [26.37209302  1.62790698],0
d5,1,0.02022,5.392822,[46 13] ; [15 13],[41.36781609 17.63218391] ; [19.63218391  8.36781609],0
s5,1,0.02271,5.19052,[20 34] ; [ 3 22],[15.72151899 38.27848101] ; [ 7.27848101 17.72151899],0
a8,1,0.038231,4.294732,[ 5 49] ; [ 7 19],[ 8.1 45.9] ; [ 3.9 22.1],0
p1,1,0.040414,4.200429,[12 47] ; [ 1 27],[ 8.81609195 50.18390805] ; [ 4.18390805 23.81609195],0
n5,1,0.044947,4.020633,[46 13] ; [16 12],[42.04597701 16.95402299] ; [19.95402299  8.04597701],0
d1,1,0.045968,3.982774,[28 31] ; [ 7 21],[23.73563218 35.26436782] ; [11.26436782 16.73563218],0
r2,1,0.049778,3.848921,[55  3] ; [22  5],[52.54117647  5.45882353] ; [24.45882353  2.54117647],0
d4,1,0.061183,3.505017,[47 12] ; [17 11],[43.40229885 15.59770115] ; [20.59770115  7.40229885],0
n1,1,0.064012,3.430262,[7 4] ; [2 7],[4.95 6.05] ; [4.05 4.95],0
b5,1,0.080422,3.05636,[39 20] ; [13 15],[35.26436782 23.73563218] ; [16.73563218 11.26436782],0
b2,1,0.08302,3.004769,[ 7 30] ; [ 7 10],[ 9.59259259 27.40740741] ; [ 4.40740741 12.59259259],0
b3,1,0.08302,3.004769,[ 7 30] ; [ 7 10],[ 9.59259259 27.40740741] ; [ 4.40740741 12.59259259],0
u2,1,0.085534,2.95647,[19 11] ; [10  1],[21.2195122  8.7804878] ; [7.7804878 3.2195122],0
r1,1,0.144612,2.128188,[46 13] ; [17 10],[43.22093023 15.77906977] ; [19.77906977  7.22093023],0
p11,1,0.161901,1.956384,[40 19] ; [23  5],[42.72413793 16.27586207] ; [20.27586207  7.72413793],0
