Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,5.1e-05,16.418681,[10 53] ; [21 18],[19.14705882 43.85294118] ; [11.85294118 27.14705882],1
p3,1,0.00076,11.336101,[11 52] ; [19 20],[18.52941176 44.47058824] ; [11.47058824 27.52941176],1
r4,1,0.001919,9.625394,[37 26] ; [35  5],[44.03883495 18.96116505] ; [27.96116505 12.03883495],0
p2,1,0.00231,9.284908,[28 35] ; [30 10],[35.47572816 27.52427184] ; [22.52427184 17.47572816],0
a7,1,0.00379,8.381664,[32 30] ; [32  8],[38.90196078 23.09803922] ; [25.09803922 14.90196078],0
p11,1,0.004434,8.096997,[26 37] ; [28 12],[33.02912621 29.97087379] ; [20.97087379 19.02912621],0
n6,1,0.012903,6.182399,[43 20] ; [35  4],[48.17647059 14.82352941] ; [29.82352941  9.17647059],0
v4,1,0.013365,6.1201,[45 17] ; [37  3],[49.84313725 12.15686275] ; [32.15686275  7.84313725],0
p7,1,0.016504,5.748419,[23 39] ; [24 15],[28.85148515 33.14851485] ; [18.14851485 20.85148515],0
p5,1,0.019123,5.490232,[ 1 62] ; [ 5 34],[ 3.70588235 59.29411765] ; [ 2.29411765 36.70588235],0
r3,1,0.023517,5.129912,[42 20] ; [35  5],[46.80392157 15.19607843] ; [30.19607843  9.80392157],0
s6,1,0.02501,5.023199,[26 37] ; [25 14],[31.5 31.5] ; [19.5 19.5],0
d3,1,0.025621,4.981434,[30 33] ; [28 12],[35.47572816 27.52427184] ; [22.52427184 17.47572816],0
s3,1,0.031792,4.609689,[25 38] ; [24 15],[30.26470588 32.73529412] ; [18.73529412 20.26470588],0
n3,1,0.033852,4.502188,[11 16] ; [8 2],[13.86486486 13.13513514] ; [5.13513514 4.86486486],0
p6,1,0.047132,3.940667,[ 8 54] ; [11 27],[11.78 50.22] ; [ 7.22 30.78],0
v2,1,0.0523,3.766133,[18 43] ; [19 20],[22.57 38.43] ; [14.43 24.57],0
d5,1,0.053101,3.740744,[39 24] ; [32  8],[43.42718447 19.57281553] ; [27.57281553 12.42718447],0
a5,1,0.05405,3.711143,[32 31] ; [28 12],[36.69902913 26.30097087] ; [23.30097087 16.69902913],0
s7,1,0.060506,3.52345,[15 44] ; [17 22],[19.26530612 39.73469388] ; [12.73469388 26.26530612],0
u1,1,0.068818,3.310993,[ 6 57] ; [ 9 31],[ 9.17475728 53.82524272] ; [ 5.82524272 34.17475728],0
r2,1,0.093675,2.810057,[53 10] ; [38  2],[55.66019417  7.33980583] ; [35.33980583  4.66019417],0
s8,1,0.132587,2.261954,[14 49] ; [14 25],[17.29411765 45.70588235] ; [10.70588235 28.29411765],0
n2,1,0.142188,2.15412,[15 13] ; [8 2],[16.94736842 11.05263158] ; [6.05263158 3.94736842],0
r1,1,0.142548,2.150233,[42 21] ; [32  8],[45.26213592 17.73786408] ; [28.73786408 11.26213592],0
s4,1,0.184494,1.761044,[ 7 55] ; [ 8 30],[ 9.3 52.7] ; [ 5.7 32.3],0
a1,1,0.198404,1.654083,[ 8 55] ; [ 2 38],[ 6.11650485 56.88349515] ; [ 3.88349515 36.11650485],0
u2,1,0.285657,1.139976,[13 12] ; [ 6 11],[11.30952381 13.69047619] ; [7.69047619 9.30952381],0
s2,1,0.319362,0.991558,[20 42] ; [16 22],[22.32 39.68] ; [13.68 24.32],0
a4,1,0.331955,0.941255,[25 37] ; [12 27],[22.71287129 39.28712871] ; [14.28712871 24.71287129],0
d1,1,0.339,0.914209,[27 36] ; [21 19],[29.3592233 33.6407767] ; [18.6407767 21.3592233],0
p10,1,0.387852,0.745664,[16 47] ; [13 26],[17.91176471 45.08823529] ; [11.08823529 27.91176471],0
v1,1,0.391868,0.733139,[20 43] ; [16 24],[22.01941748 40.98058252] ; [13.98058252 26.01941748],0
n1,1,0.438578,0.6,[11 16] ; [5 4],[12. 15.] ; [4. 5.],0
p1,1,0.44583,0.581232,[ 5 58] ; [ 5 35],[ 6.11650485 56.88349515] ; [ 3.88349515 36.11650485],0
b1,1,0.448415,0.574654,[33 30] ; [24 16],[34.86407767 28.13592233] ; [22.13592233 17.86407767],0
u3,1,0.466763,0.52963,[13 13] ; [ 7 11],[11.81818182 14.18181818] ; [8.18181818 9.81818182],0
a8,1,0.508271,0.437625,[ 8 50] ; [ 3 30],[ 7.01098901 50.98901099] ; [ 3.98901099 29.01098901],0
a3,1,0.640457,0.218144,[37 25] ; [22 18],[35.8627451 26.1372549] ; [23.1372549 16.8627451],0
b5,1,0.644123,0.213391,[36 27] ; [21 19],[34.86407767 28.13592233] ; [22.13592233 17.86407767],0
d2,1,0.686674,0.16271,[33 28] ; [20 20],[32.00990099 28.99009901] ; [20.99009901 19.00990099],0
