Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,37.614729,[105  12] ; [15 21],[91.76470588 25.23529412] ; [28.23529412  7.76470588],1
r3,1,1.2e-05,19.163014,[107  10] ; [22 14],[98.64705882 18.35294118] ; [30.35294118  5.64705882],1
v4,1,9.2e-05,15.284715,[108   9] ; [24 12],[100.94117647  16.05882353] ; [31.05882353  4.94117647],1
p2,1,0.000233,13.547547,[78 37] ; [12 24],[68.54304636 46.45695364] ; [21.45695364 14.54304636],1
s6,1,0.000277,13.222648,[81 33] ; [13 22],[71.91946309 42.08053691] ; [22.08053691 12.91946309],1
r2,1,0.000849,11.131776,[114   3] ; [27  6],[109.98   7.02] ; [31.02  1.98],1
s8,1,0.001704,9.844073,[49 66] ; [ 5 31],[41.12582781 73.87417219] ; [12.87417219 23.12582781],0
a7,1,0.004269,8.165555,[93 24] ; [20 16],[86.41176471 30.58823529] ; [26.58823529  9.41176471],0
p10,1,0.004319,8.144758,[69 45] ; [12 24],[61.56 52.44] ; [19.44 16.56],0
s7,1,0.005652,7.65812,[57 51] ; [ 8 24],[50.14285714 57.85714286] ; [14.85714286 17.14285714],0
v3,1,0.008858,6.851326,[46 65] ; [ 6 29],[39.53424658 71.46575342] ; [12.46575342 22.53424658],0
v2,1,0.011432,6.39694,[65 48] ; [12 24],[58.39597315 54.60402685] ; [18.60402685 17.39597315],0
d4,1,0.031563,4.622102,[99 17] ; [25 11],[94.63157895 21.36842105] ; [29.36842105  6.63157895],0
v1,1,0.03335,4.527731,[56 61] ; [10 26],[50.47058824 66.52941176] ; [15.52941176 20.47058824],0
p8,1,0.038537,4.281142,[42 73] ; [ 6 28],[37.04697987 77.95302013] ; [10.95302013 23.04697987],0
n3,1,0.04255,4.11318,[33 11] ; [7 8],[29.83050847 14.16949153] ; [10.16949153  4.83050847],0
p6,1,0.044044,4.054856,[41 73] ; [ 6 28],[36.2027027 77.7972973] ; [10.7972973 23.2027027],0
n4,1,0.044464,4.038865,[85 31] ; [20 16],[80.13157895 35.86842105] ; [24.86842105 11.13157895],0
b2,1,0.04744,3.929714,[18 42] ; [10  8],[21.53846154 38.46153846] ; [ 6.46153846 11.53846154],0
b3,1,0.04744,3.929714,[18 42] ; [10  8],[21.53846154 38.46153846] ; [ 6.46153846 11.53846154],0
u1,1,0.066691,3.362637,[30 87] ; [ 4 32],[26. 91.] ; [ 8. 28.],0
s2,1,0.084043,2.984927,[61 55] ; [13 23],[56.47368421 59.52631579] ; [17.52631579 18.47368421],0
d3,1,0.106029,2.612427,[87 29] ; [22 14],[83.18421053 32.81578947] ; [25.81578947 10.18421053],0
a2,1,0.11749,2.450467,[46 71] ; [ 9 27],[42.05882353 74.94117647] ; [12.94117647 23.05882353],0
b4,1,0.121182,2.401976,[66 51] ; [15 21],[61.94117647 55.05882353] ; [19.05882353 16.94117647],0
p1,1,0.126829,2.330889,[  7 109] ; [ 5 31],[  9.15789474 106.84210526] ; [ 2.84210526 33.15789474],0
b1,1,0.132348,2.26475,[58 59] ; [23 13],[61.94117647 55.05882353] ; [19.05882353 16.94117647],0
n2,1,0.170346,1.879892,[34 13] ; [8 7],[31.83870968 15.16129032] ; [10.16129032  4.83870968],0
p9,1,0.236017,1.40423,[77 38] ; [19 15],[74.09395973 40.90604027] ; [21.90604027 12.09395973],0
n6,1,0.262256,1.256809,[81 33] ; [22 14],[78.28 35.72] ; [24.72 11.28],0
s3,1,0.292743,1.106965,[62 55] ; [15 20],[59.26973684 57.73026316] ; [17.73026316 17.26973684],0
u2,1,0.301611,1.067058,[ 7 13] ; [1 6],[ 5.92592593 14.07407407] ; [2.07407407 4.92592593],0
p7,1,0.3126,1.019657,[58 55] ; [15 21],[55.36241611 57.63758389] ; [17.63758389 18.36241611],0
p4,1,0.321009,0.98483,[57 58] ; [14 21],[54.43333333 60.56666667] ; [16.56666667 18.43333333],0
n5,1,0.342263,0.901938,[74 41] ; [20 16],[71.58940397 43.41059603] ; [22.41059603 13.58940397],0
a1,1,0.404273,0.695581,[  8 109] ; [ 4 32],[  9.17647059 107.82352941] ; [ 2.82352941 33.17647059],0
d5,1,0.408464,0.683266,[100  16] ; [29  7],[98.44736842 17.55263158] ; [30.55263158  5.44736842],0
p5,1,0.451003,0.568129,[  7 107] ; [ 1 34],[  6.12080537 107.87919463] ; [ 1.87919463 33.12080537],0
n1,1,0.455806,0.556174,[23 22] ; [6 9],[21.75 23.25] ; [7.25 7.75],0
d2,1,0.48351,0.490936,[72 44] ; [24 11],[73.74834437 42.25165563] ; [22.25165563 12.74834437],0
s5,1,0.500446,0.453989,[40 69] ; [10 23],[38.38028169 70.61971831] ; [11.61971831 21.38028169],0
a8,1,0.590466,0.289617,[15 87] ; [ 4 32],[14.04347826 87.95652174] ; [ 4.95652174 31.04347826],0
d1,1,0.595078,0.282483,[74 43] ; [21 15],[72.64705882 44.35294118] ; [22.35294118 13.64705882],0
a3,1,0.669629,0.182037,[97 19] ; [29  7],[96.15789474 19.84210526] ; [29.84210526  6.15789474],0
p3,1,0.69354,0.15528,[47 68] ; [13 22],[46. 69.] ; [14. 21.],0
s4,1,0.705792,0.142517,[26 90] ; [ 7 29],[25.18421053 90.81578947] ; [ 7.81578947 28.18421053],0
b5,1,0.730513,0.118641,[72 45] ; [21 15],[71.11764706 45.88235294] ; [21.88235294 14.11764706],0
s1,1,0.761273,0.0923,[  8 109] ; [ 3 33],[  8.41176471 108.58823529] ; [ 2.58823529 33.41176471],0
a6,1,0.795462,0.067197,[80 36] ; [24 12],[79.36842105 36.63157895] ; [24.63157895 11.36842105],0
a4,1,0.966465,0.001768,[74 43] ; [22 13],[73.89473684 43.10526316] ; [22.10526316 12.89473684],0
u3,1,0.972542,0.001185,[ 8 11] ; [3 4],[ 8.03846154 10.96153846] ; [2.96153846 4.03846154],0
