Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,25.351945,[ 77 201] ; [122 127],[104.97533207 173.02466793] ; [ 94.02466793 154.97533207],1
v2,1,2.1e-05,18.125272,[121 156] ; [155  94],[145.3460076 131.6539924] ; [130.6539924 118.3460076],1
p3,1,4.5e-05,16.631885,[ 90 200] ; [124 134],[113.24817518 176.75182482] ; [100.75182482 157.24817518],1
n5,1,9.2e-05,15.290344,[181 107] ; [201  56],[201.86422018  86.13577982] ; [180.13577982  76.86422018],1
p9,1,0.000153,14.333156,[201  83] ; [217  40],[219.43068392  64.56931608] ; [198.56931608  58.43068392],1
p2,1,0.00039,12.578951,[203  87] ; [214  44],[220.67518248  69.32481752] ; [196.32481752  61.67518248],1
p4,1,0.00298,8.81947,[112 176] ; [133 125],[129.23076923 158.76923077] ; [115.76923077 142.23076923],0
s8,1,0.003431,8.562567,[ 86 204] ; [107 150],[102.32175503 187.67824497] ; [ 90.67824497 166.32175503],0
s6,1,0.005008,7.876691,[157 130] ; [169  85],[172.94269871 114.05730129] ; [153.05730129 100.94269871],0
b3,1,0.005767,7.621735,[ 39 118] ; [64 99],[ 50.534375 106.465625] ; [ 52.465625 110.534375],0
b2,1,0.005767,7.621735,[ 39 118] ; [64 99],[ 50.534375 106.465625] ; [ 52.465625 110.534375],0
p5,1,0.006508,7.404042,[ 10 280] ; [ 23 232],[ 17.55963303 272.44036697] ; [ 15.44036697 239.55963303],0
a5,1,0.009489,6.728331,[192  99] ; [197  62],[205.81636364  85.18363636] ; [183.18363636  75.81636364],0
n4,1,0.012366,6.257584,[193  97] ; [196  61],[206.23400366  83.76599634] ; [182.76599634  74.23400366],0
b5,1,0.014216,6.011065,[160 131] ; [169  90],[174.07090909 116.92909091] ; [154.92909091 104.07090909],0
n2,1,0.014305,6.00005,[59 32] ; [46  9],[65.44520548 25.55479452] ; [39.55479452 15.44520548],0
v4,1,0.014599,5.964258,[266  23] ; [249   8],[272.59157509  16.40842491] ; [242.40842491  14.59157509],0
s2,1,0.014864,5.932518,[115 174] ; [128 127],[129.09375 159.90625] ; [113.90625 141.09375],0
r1,1,0.020349,5.381697,[223  67] ; [217  39],[233.6996337  56.3003663] ; [206.3003663  49.6996337],0
p10,1,0.020381,5.379002,[203  84] ; [204  53],[214.72242647  72.27757353] ; [192.27757353  64.72242647],0
a8,1,0.027628,4.851136,[ 25 243] ; [ 37 197],[ 33.09960159 234.90039841] ; [ 28.90039841 205.09960159],0
s7,1,0.031952,4.601073,[ 99 178] ; [111 136],[111.01145038 165.98854962] ; [ 98.98854962 148.01145038],0
n6,1,0.032727,4.560014,[220  70] ; [214  43],[230.09140768  59.90859232] ; [203.90859232  53.09140768],0
p8,1,0.038793,4.269892,[105 182] ; [116 140],[116.80847145 170.19152855] ; [104.19152855 151.80847145],0
a3,1,0.045854,3.98694,[189 102] ; [188  70],[199.83060109  91.16939891] ; [177.16939891  80.83060109],0
p7,1,0.050421,3.827416,[128 157] ; [135 118],[139.32156134 145.67843866] ; [123.67843866 129.32156134],0
r4,1,0.055162,3.677194,[254  37] ; [239  20],[260.84181818  30.15818182] ; [232.15818182  26.84181818],0
p12,1,0.059665,3.546685,[ 10 280] ; [ 18 239],[ 14.84460695 275.15539305] ; [ 13.15539305 243.84460695],0
s5,1,0.063372,3.446864,[ 70 214] ; [ 80 171],[ 79.62616822 204.37383178] ; [ 70.37383178 180.62616822],0
a4,1,0.07071,3.26645,[111 179] ; [118 139],[121.40767824 168.59232176] ; [107.59232176 149.40767824],0
p11,1,0.108342,2.578242,[206  85] ; [199  60],[214.28181818  76.71818182] ; [190.71818182  68.28181818],0
u4,1,0.111141,2.537917,[  2 289] ; [  6 253],[  4.23272727 286.76727273] ; [  3.76727273 255.23272727],0
n3,1,0.127109,2.327462,[57 31] ; [43 13],[61.11111111 26.88888889] ; [38.88888889 17.11111111],0
r3,1,0.157869,1.994525,[264  26] ; [244  15],[268.3424408  21.6575592] ; [239.6575592  19.3424408],0
a2,1,0.178121,1.813234,[ 58 233] ; [ 64 195],[ 64.54909091 226.45090909] ; [ 57.45090909 201.54909091],0
s3,1,0.210562,1.56756,[145 142] ; [142 112],[152.25323475 134.74676525] ; [134.74676525 119.25323475],0
p1,1,0.224831,1.473267,[ 14 274] ; [ 19 240],[ 17.37477148 270.62522852] ; [ 15.62522852 243.37477148],0
u1,1,0.240866,1.37552,[ 39 252] ; [ 44 215],[ 43.91454545 247.08545455] ; [ 39.08545455 219.91454545],0
u2,1,0.246281,1.344275,[46 54] ; [38 31],[49.70414201 50.29585799] ; [34.29585799 34.70414201],0
n1,1,0.290699,1.116379,[31 58] ; [24 31],[33.99305556 55.00694444] ; [21.00694444 33.99305556],0
u3,1,0.291418,1.113057,[51 49] ; [42 29],[54.38596491 45.61403509] ; [38.61403509 32.38596491],0
b1,1,0.351049,0.869661,[110 181] ; [ 88 171],[104.76 186.24] ; [ 93.24 165.76],0
s1,1,0.372862,0.794104,[ 12 276] ; [  7 247],[ 10.09594096 277.90405904] ; [  8.90405904 245.09594096],0
d4,1,0.401634,0.703429,[224  64] ; [209  50],[227.97806216  60.02193784] ; [205.02193784  53.97806216],0
d5,1,0.425441,0.635236,[226  64] ; [209  50],[229.78142077  60.21857923] ; [205.21857923  53.78142077],0
a7,1,0.518707,0.416463,[211  79] ; [182  77],[207.59562842  82.40437158] ; [185.40437158  73.59562842],0
a1,1,0.553269,0.351493,[ 13 278] ; [  9 250],[ 11.64 279.36] ; [ 10.36 248.64],0
d1,1,0.576262,0.312317,[156 135] ; [145 114],[159.25636364 131.74363636] ; [141.74363636 117.25636364],0
b4,1,0.577311,0.310602,[172 119] ; [147 112],[168.78 122.22] ; [150.22 108.78],0
d2,1,0.607664,0.263591,[130 157] ; [123 136],[132.98717949 154.01282051] ; [120.01282051 138.98717949],0
a6,1,0.673977,0.176985,[203  87] ; [177  82],[200.72859745  89.27140255] ; [179.27140255  79.72859745],0
s4,1,0.85292,0.034371,[ 47 243] ; [ 40 216],[ 46.20879121 243.79120879] ; [ 40.79120879 215.20879121],0
d3,1,0.892431,0.018287,[191  99] ; [172  87],[191.74863388  98.25136612] ; [171.25136612  87.74863388],0
