Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5.9e-05,16.120633,[20 49] ; [17  5],[28.05494505 40.94505495] ; [ 8.94505495 13.05494505],1
s8,1,0.000286,13.162188,[11 58] ; [12 10],[17.43956044 51.56043956] ; [ 5.56043956 16.43956044],1
s2,1,0.000286,13.157211,[15 53] ; [14  8],[21.91111111 46.08888889] ; [ 7.08888889 14.91111111],1
s4,1,0.000517,12.053148,[ 8 61] ; [10 12],[13.64835165 55.35164835] ; [ 4.35164835 17.64835165],1
s3,1,0.003876,8.341242,[28 39] ; [17  5],[33.87640449 33.12359551] ; [11.12359551 10.87640449],0
p8,1,0.006305,7.461002,[16 52] ; [12 10],[21.15555556 46.84444444] ; [ 6.84444444 15.15555556],0
p6,1,0.009863,6.659451,[10 57] ; [ 9 13],[14.30337079 52.69662921] ; [ 4.69662921 17.30337079],0
d3,1,0.010144,6.609467,[30 38] ; [16  5],[35.14606742 32.85393258] ; [10.85393258 10.14606742],0
s5,1,0.012494,6.239363,[ 9 58] ; [ 8 13],[12.94318182 54.05681818] ; [ 4.05681818 16.94318182],0
v4,1,0.016531,5.745508,[48 21] ; [20  1],[52.13333333 16.86666667] ; [15.86666667  5.13333333],0
n1,1,0.017884,5.607462,[ 7 18] ; [6 2],[ 9.84848485 15.15151515] ; [3.15151515 4.84848485],0
p2,1,0.029184,4.756718,[38 30] ; [18  4],[42.31111111 25.68888889] ; [13.68888889  8.31111111],0
p9,1,0.03765,4.32076,[36 33] ; [17  5],[40.18681319 28.81318681] ; [12.81318681  9.18681319],0
v1,1,0.044564,4.035079,[18 49] ; [11 11],[21.83146067 45.16853933] ; [ 7.16853933 14.83146067],0
p4,1,0.056417,3.639706,[19 49] ; [11 11],[22.66666667 45.33333333] ; [ 7.33333333 14.66666667],0
p10,1,0.057479,3.608683,[31 38] ; [15  7],[34.87912088 34.12087912] ; [11.12087912 10.87912088],0
d2,1,0.06572,3.386819,[32 37] ; [ 5 16],[28.36666667 40.63333333] ; [ 8.63333333 12.36666667],0
n2,1,0.073679,3.199096,[13 12] ; [7 1],[15.15151515  9.84848485] ; [4.84848485 3.15151515],0
u2,1,0.07668,3.133903,[17 16] ; [9 2],[19.5 13.5] ; [6.5 4.5],0
u3,1,0.07668,3.133903,[17 16] ; [9 2],[19.5 13.5] ; [6.5 4.5],0
p5,1,0.083492,2.995574,[ 1 67] ; [ 2 20],[ 2.26666667 65.73333333] ; [ 0.73333333 21.26666667],0
a6,1,0.089925,2.875719,[42 27] ; [17  4],[45.23333333 23.76666667] ; [13.76666667  7.23333333],0
p11,1,0.099451,2.714326,[30 39] ; [14  8],[33.36263736 35.63736264] ; [10.63736264 11.36263736],0
b4,1,0.100481,2.697893,[42 27] ; [ 9 13],[38.67032967 30.32967033] ; [12.32967033  9.67032967],0
p7,1,0.104031,2.642637,[26 40] ; [12  8],[29.1627907 36.8372093] ; [ 8.8372093 11.1627907],0
p3,1,0.141268,2.164097,[17 52] ; [ 9 13],[19.71428571 49.28571429] ; [ 6.28571429 15.71428571],0
r3,1,0.175515,1.835192,[46 23] ; [18  4],[48.52747253 20.47252747] ; [15.47252747  6.52747253],0
a1,1,0.267099,1.231584,[ 9 60] ; [ 1 21],[ 7.58241758 61.41758242] ; [ 2.41758242 19.58241758],0
r4,1,0.332282,0.939984,[39 30] ; [15  7],[40.94505495 28.05494505] ; [13.05494505  8.94505495],0
d4,1,0.346116,0.887648,[45 24] ; [16  5],[46.76666667 22.23333333] ; [14.23333333  6.76666667],0
a2,1,0.364699,0.821646,[10 59] ; [ 5 17],[11.37362637 57.62637363] ; [ 3.62637363 18.37362637],0
d5,1,0.408064,0.684433,[39 30] ; [14  7],[40.63333333 28.36666667] ; [12.36666667  8.63333333],0
s1,1,0.410182,0.678272,[ 7 61] ; [ 1 21],[ 6.04444444 61.95555556] ; [ 1.95555556 20.04444444],0
n3,1,0.414216,0.666667,[13 11] ; [3 5],[12. 12.] ; [4. 4.],0
