Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4e-06,21.338246,[106  21] ; [26 26],[93.65363128 33.34636872] ; [38.34636872 13.65363128],1
p8,1,4e-06,21.210309,[96 31] ; [20 31],[82.76404494 44.23595506] ; [33.23595506 17.76404494],1
p3,1,7e-06,20.187251,[92 35] ; [19 33],[78.75418994 48.24581006] ; [32.24581006 19.75418994],1
p6,1,9e-06,19.821569,[79 46] ; [13 37],[65.71428571 59.28571429] ; [26.28571429 23.71428571],1
p7,1,4.3e-05,16.755263,[107  19] ; [28 22],[96.64772727 29.35227273] ; [38.35227273 11.64772727],1
d1,1,0.000216,13.683764,[99 28] ; [26 26],[88.68715084 38.31284916] ; [36.31284916 15.68715084],1
p2,1,0.00188,9.66315,[117  10] ; [39 13],[110.68156425  16.31843575] ; [45.31843575  6.68156425],0
v3,1,0.002201,9.374174,[74 52] ; [17 34],[64.77966102 61.22033898] ; [26.22033898 24.77966102],0
p5,1,0.002924,8.854453,[39 88] ; [ 5 47],[31.21787709 95.78212291] ; [12.78212291 39.21787709],0
n6,1,0.006434,7.424528,[116   9] ; [40 11],[110.79545455  14.20454545] ; [45.20454545  5.79545455],0
s7,1,0.008751,6.872916,[87 33] ; [27 25],[79.53488372 40.46511628] ; [34.46511628 17.53488372],0
u1,1,0.034321,4.478635,[36 91] ; [ 7 45],[30.50837989 96.49162011] ; [12.49162011 39.50837989],0
a7,1,0.054488,3.697679,[92 35] ; [30 22],[86.55865922 40.44134078] ; [35.44134078 16.55865922],0
d5,1,0.065583,3.390253,[116  10] ; [43  9],[112.5505618  13.4494382] ; [46.4494382  5.5505618],0
b5,1,0.07422,3.187145,[67 60] ; [35 17],[72.36871508 54.63128492] ; [29.63128492 22.36871508],0
n4,1,0.0757,3.154881,[108  18] ; [38 13],[103.93220339  22.06779661] ; [42.06779661  8.93220339],0
s8,1,0.095298,2.782524,[89 37] ; [30 22],[84.23595506 41.76404494] ; [34.76404494 17.23595506],0
n5,1,0.102264,2.669883,[109  17] ; [39 12],[105.3559322  20.6440678] ; [42.6440678  8.3559322],0
p11,1,0.111641,2.530834,[106  21] ; [38 14],[102.16759777  24.83240223] ; [41.83240223 10.16759777],0
a2,1,0.136476,2.217244,[41 86] ; [11 41],[36.89385475 90.10614525] ; [15.10614525 36.89385475],0
a8,1,0.152836,2.043711,[ 15 105] ; [10 37],[ 17.96407186 102.03592814] ; [ 7.03592814 39.96407186],0
b2,1,0.175544,1.83495,[35 45] ; [18 13],[38.1981982 41.8018018] ; [14.8018018 16.1981982],0
b3,1,0.175544,1.83495,[35 45] ; [18 13],[38.1981982 41.8018018] ; [14.8018018 16.1981982],0
v2,1,0.215212,1.536017,[87 39] ; [29 20],[83.52 42.48] ; [32.48 16.52],0
a6,1,0.230177,1.43977,[82 45] ; [28 23],[78.48314607 48.51685393] ; [31.51685393 19.48314607],0
p9,1,0.242185,1.36783,[118   8] ; [46  6],[116.08988764   9.91011236] ; [47.91011236  4.08988764],0
d4,1,0.242185,1.36783,[118   8] ; [46  6],[116.08988764   9.91011236] ; [47.91011236  4.08988764],0
p10,1,0.254079,1.300734,[116  10] ; [45  7],[113.96629213  12.03370787] ; [47.03370787  4.96629213],0
a1,1,0.327944,0.956999,[ 10 117] ; [ 2 50],[  8.51396648 118.48603352] ; [ 3.48603352 48.51396648],0
s6,1,0.347473,0.882664,[110  15] ; [43  9],[108.05084746  16.94915254] ; [44.94915254  7.05084746],0
a5,1,0.385548,0.752938,[107  20] ; [41 11],[105.00558659  21.99441341] ; [42.99441341  9.00558659],0
s2,1,0.387377,0.747159,[101  24] ; [39 13],[98.8700565 26.1299435] ; [41.1299435 10.8700565],0
a4,1,0.391452,0.734428,[70 57] ; [25 27],[67.40223464 59.59776536] ; [27.59776536 24.40223464],0
r3,1,0.41174,0.67377,[123   4] ; [49  3],[122.03351955   4.96648045] ; [49.96648045  2.03351955],0
d2,1,0.439197,0.598379,[71 55] ; [26 26],[68.66292135 57.33707865] ; [28.33707865 23.66292135],0
n1,1,0.548997,0.359118,[11 11] ; [9 6],[11.89189189 10.10810811] ; [8.10810811 6.89189189],0
s1,1,0.609617,0.260733,[  3 120] ; [ 2 50],[  3.51428571 119.48571429] ; [ 1.48571429 50.51428571],0
n3,1,0.665671,0.186708,[13  8] ; [11  5],[13.62162162  7.37837838] ; [10.37837838  5.62162162],0
p12,1,0.726158,0.122669,[ 17 110] ; [ 8 44],[ 17.73743017 109.26256983] ; [ 7.26256983 44.73743017],0
s4,1,0.729215,0.119834,[30 95] ; [11 40],[29.11931818 95.88068182] ; [11.88068182 39.11931818],0
u3,1,0.735785,0.113866,[16  6] ; [6 3],[15.61290323  6.38709677] ; [6.38709677 2.61290323],0
u2,1,0.778746,0.078935,[11 11] ; [5 4],[11.35483871 10.64516129] ; [4.64516129 4.35483871],0
a3,1,0.791998,0.069546,[105  22] ; [43  8],[105.59550562  21.40449438] ; [42.40449438  8.59550562],0
b1,1,0.833222,0.04434,[51 76] ; [20 32],[50.37430168 76.62569832] ; [20.62569832 31.37430168],0
v4,1,0.8616,0.030394,[124   2] ; [50  1],[123.86440678   2.13559322] ; [50.13559322  0.86440678],0
r1,1,0.870288,0.026665,[107  18] ; [45  7],[107.34463277  17.65536723] ; [44.65536723  7.34463277],0
b4,1,0.874658,0.024883,[79 48] ; [33 19],[79.46368715 47.53631285] ; [32.53631285 19.46368715],0
p1,1,0.885569,0.020711,[ 18 108] ; [ 7 45],[ 17.69662921 108.30337079] ; [ 7.30337079 44.69662921],0
s3,1,0.910894,0.012524,[90 33] ; [37 13],[90.29479769 32.70520231] ; [36.70520231 13.29479769],0
r4,1,0.945721,0.004635,[120   7] ; [49  3],[119.90502793   7.09497207] ; [49.09497207  2.90502793],0
