Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,38.383706,[ 22 109] ; [78 71],[46.78571429 84.21428571] ; [53.21428571 95.78571429],1
r1,1,6.8e-05,15.853745,[81 52] ; [124  27],[96.00352113 36.99647887] ; [108.99647887  42.00352113],1
v1,1,0.000203,13.805844,[44 86] ; [82 64],[59.34782609 70.65217391] ; [66.65217391 79.34782609],1
r3,1,0.000217,13.674454,[116  16] ; [148   2],[123.57446809   8.42553191] ; [140.42553191   9.57446809],1
r2,1,0.001552,10.015602,[117  15] ; [144   3],[123.48387097   8.51612903] ; [137.51612903   9.48387097],0
s8,1,0.002063,9.492404,[38 95] ; [70 81],[50.57746479 82.42253521] ; [57.42253521 93.57746479],0
p7,1,0.008439,6.937963,[51 75] ; [83 64],[61.84615385 64.15384615] ; [72.15384615 74.84615385],0
s7,1,0.014542,5.971073,[43 89] ; [69 78],[52.98924731 79.01075269] ; [59.01075269 87.98924731],0
n6,1,0.021324,5.300135,[98 34] ; [127  22],[105.69395018  26.30604982] ; [119.30604982  29.69395018],0
n1,1,0.022722,5.189618,[19 24] ; [ 8 31],[14.15853659 28.84146341] ; [12.84146341 26.15853659],0
a5,1,0.023265,5.148594,[80 53] ; [110  41],[88.97887324 44.02112676] ; [101.02112676  49.97887324],0
s2,1,0.025974,4.957735,[49 84] ; [75 75],[58.27561837 74.72438163] ; [65.72438163 84.27561837],0
d5,1,0.027411,4.864757,[90 41] ; [121  30],[98.0177305 32.9822695] ; [112.9822695  38.0177305],0
d4,1,0.028732,4.783604,[96 36] ; [126  25],[103.54770318  28.45229682] ; [118.45229682  32.54770318],0
v4,1,0.032292,4.58294,[118  14] ; [143   6],[122.60498221   9.39501779] ; [138.39501779  10.60498221],0
r4,1,0.033938,4.497845,[107  26] ; [135  16],[113.33098592  19.66901408] ; [128.66901408  22.33098592],0
n4,1,0.035475,4.422147,[81 52] ; [109  41],[89.29328622 43.70671378] ; [100.70671378  49.29328622],0
d1,1,0.040116,4.212986,[56 77] ; [82 69],[64.62676056 68.37323944] ; [73.37323944 77.62676056],0
p11,1,0.062969,3.4574,[97 36] ; [124  27],[103.49647887  29.50352113] ; [117.50352113  33.49647887],0
p10,1,0.073432,3.204596,[107  25] ; [133  17],[112.34042553  19.65957447] ; [127.65957447  22.34042553],0
p5,1,0.09181,2.842354,[  9 122] ; [  4 147],[  6.03900709 124.96099291] ; [  6.96099291 144.03900709],0
a3,1,0.092832,2.824572,[82 49] ; [108  42],[88.57651246 42.42348754] ; [101.42348754  48.57651246],0
a7,1,0.097317,2.748971,[85 47] ; [111  40],[91.4204947 40.5795053] ; [104.5795053  46.4204947],0
s1,1,0.107106,2.596418,[  6 126] ; [  2 147],[  3.75800712 128.24199288] ; [  4.24199288 144.75800712],0
d3,1,0.141178,2.165069,[75 55] ; [100  51],[80.96085409 49.03914591] ; [94.03914591 56.96085409],0
a4,1,0.146558,2.107714,[44 88] ; [63 88],[49.90812721 82.09187279] ; [57.09187279 93.90812721],0
d2,1,0.167089,1.908869,[45 86] ; [64 87],[50.63475177 80.36524823] ; [58.36524823 92.63475177],0
p3,1,0.188307,1.730815,[ 27 105] ; [ 41 110],[ 31.71731449 100.28268551] ; [ 36.28268551 114.71731449],0
s3,1,0.190575,1.713169,[64 67] ; [85 65],[69.46263345 61.53736655] ; [79.53736655 70.46263345],0
a6,1,0.239715,1.382269,[80 52] ; [101  49],[84.72340426 47.27659574] ; [96.27659574 53.72340426],0
s5,1,0.287767,1.13004,[33 98] ; [44 98],[36.94871795 94.05128205] ; [ 40.05128205 101.94871795],0
b5,1,0.294759,1.097754,[89 44] ; [92 59],[84.76408451 48.23591549] ; [96.23591549 54.76408451],0
s6,1,0.306952,1.043745,[73 58] ; [92 57],[77.19642857 53.80357143] ; [87.80357143 61.19642857],0
u4,1,0.378195,0.77656,[  1 132] ; [  3 148],[  1.87323944 131.12676056] ; [  2.12676056 148.87323944],0
a8,1,0.378977,0.774017,[ 16 106] ; [ 24 117],[ 18.55513308 103.44486692] ; [ 21.44486692 119.55513308],0
b2,1,0.384002,0.75785,[23 48] ; [34 53],[25.61392405 45.38607595] ; [31.38607595 55.61392405],0
b3,1,0.384002,0.75785,[23 48] ; [34 53],[25.61392405 45.38607595] ; [31.38607595 55.61392405],0
n2,1,0.408687,0.682616,[37  7] ; [30  9],[35.51807229  8.48192771] ; [31.48192771  7.51807229],0
u1,1,0.530481,0.39347,[ 16 117] ; [ 22 129],[ 17.79577465 115.20422535] ; [ 20.20422535 130.79577465],0
p6,1,0.545801,0.364893,[ 22 109] ; [ 29 119],[ 23.94623656 107.05376344] ; [ 27.05376344 120.94623656],0
p8,1,0.660347,0.193102,[51 82] ; [53 95],[49.22419929 83.77580071] ; [54.77580071 93.22419929],0
n5,1,0.693887,0.15491,[86 47] ; [99 49],[87.56227758 45.43772242] ; [97.43772242 50.56227758],0
u3,1,0.71739,0.131007,[23 28] ; [21 22],[23.87234043 27.12765957] ; [20.12765957 22.87234043],0
a1,1,0.759908,0.093393,[  6 127] ; [  8 143],[  6.55633803 126.44366197] ; [  7.44366197 143.55633803],0
p1,1,0.767977,0.087038,[  9 123] ; [  9 142],[  8.39575972 123.60424028] ; [  9.60424028 141.39575972],0
n3,1,0.866506,0.028257,[32 12] ; [29 10],[32.3373494 11.6626506] ; [28.6626506 10.3373494],0
b1,1,0.922085,0.009566,[43 90] ; [ 48 103],[42.61619718 90.38380282] ; [ 48.38380282 102.61619718],0
b4,1,0.935886,0.006471,[76 57] ; [87 64],[76.33450704 56.66549296] ; [86.66549296 64.33450704],0
p2,1,0.93923,0.005812,[102  29] ; [117  34],[101.73404255  29.26595745] ; [117.26595745  33.73404255],0
s4,1,0.96361,0.002082,[ 23 109] ; [ 26 125],[ 22.85512367 109.14487633] ; [ 26.14487633 124.85512367],0
a2,1,0.971283,0.001296,[ 24 109] ; [ 27 124],[ 23.88380282 109.11619718] ; [ 27.11619718 123.88380282],0
p12,1,0.982281,0.000493,[  6 125] ; [  7 144],[  6.03900709 124.96099291] ; [  6.96099291 144.03900709],0
u2,1,0.989224,0.000182,[23 28] ; [19 23],[23.03225806 27.96774194] ; [18.96774194 23.03225806],0
