Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,51.808233,[135  28] ; [30 51],[110.22540984  52.77459016] ; [54.77459016 26.22540984],1
n6,1,4e-06,21.061248,[133  29] ; [44 37],[118.  44.] ; [59. 22.],1
a6,1,0.000546,11.952443,[110  53] ; [36 45],[97.53278689 65.46721311] ; [48.46721311 32.53278689],1
n1,1,0.000921,10.980142,[27 24] ; [ 5 26],[19.90243902 31.09756098] ; [12.09756098 18.90243902],1
a5,1,0.005916,7.575594,[112  51] ; [41 40],[102.20901639  60.79098361] ; [50.79098361 30.20901639],0
p9,1,0.021058,5.321986,[115  44] ; [46 34],[107.10878661  51.89121339] ; [53.89121339 26.10878661],0
p5,1,0.027253,4.874734,[ 17 144] ; [ 2 79],[ 12.64049587 148.35950413] ; [ 6.35950413 74.64049587],0
u1,1,0.041103,4.171768,[ 19 144] ; [ 3 78],[ 14.69672131 148.30327869] ; [ 7.30327869 73.69672131],0
v1,1,0.0416,4.151393,[ 57 104] ; [18 62],[ 50.10373444 110.89626556] ; [24.89626556 55.10373444],0
a2,1,0.057727,3.601515,[ 29 134] ; [ 7 74],[ 24.04918033 138.95081967] ; [11.95081967 69.04918033],0
u3,1,0.078243,3.101017,[26 41] ; [21 16],[30.27884615 36.72115385] ; [16.72115385 20.27884615],0
p10,1,0.104026,2.642706,[104  57] ; [43 37],[98.2033195 62.7966805] ; [48.7966805 31.2033195],0
u2,1,0.106995,2.598052,[27 40] ; [21 16],[30.92307692 36.07692308] ; [17.07692308 19.92307692],0
r2,1,0.115465,2.477787,[142  20] ; [64 16],[137.90082645  24.09917355] ; [68.09917355 11.90082645],0
s6,1,0.116184,2.468016,[68 90] ; [26 54],[62.40336134 95.59663866] ; [31.59663866 48.40336134],0
p1,1,0.122902,2.379941,[ 18 145] ; [ 4 76],[ 14.75720165 148.24279835] ; [ 7.24279835 72.75720165],0
a8,1,0.126162,2.339101,[ 20 130] ; [ 5 71],[ 16.59292035 133.40707965] ; [ 8.40707965 67.59292035],0
p4,1,0.14026,2.175105,[72 90] ; [28 53],[66.66666667 95.33333333] ; [33.33333333 47.66666667],0
